Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.75,100,673,308,7.677078247070312e-05,4,"{10, 44, 77, 39}"
graph_size_200_k_0.75,200,1537,315,0.00013256072998046875,4,"{37, 10, 3, 77}"
graph_size_300_k_0.75,300,2479,368,0.00019812583923339844,5,"{196, 201, 10, 237, 54}"
graph_size_400_k_0.75,400,3468,454,0.0002696514129638672,5,"{323, 296, 10, 55, 317}"
graph_size_500_k_0.75,500,4493,428,0.0003368854522705078,5,"{422, 327, 10, 334, 119}"
graph_size_600_k_0.75,600,5550,402,0.0004162788391113281,6,"{386, 10, 304, 369, 119, 474}"
graph_size_700_k_0.75,700,6626,382,0.00046062469482421875,5,"{166, 10, 308, 342, 56}"
graph_size_800_k_0.75,800,7724,394,0.0005171298980712891,4,"{56, 10, 459, 462}"
graph_size_900_k_0.75,900,8845,492,0.0006365776062011719,6,"{10, 428, 813, 879, 56, 27}"
graph_size_1000_k_0.75,1000,9976,450,0.0006515979766845703,5,"{929, 580, 296, 10, 974}"
graph_size_1100_k_0.75,1100,11126,447,0.0007338523864746094,6,"{963, 579, 10, 884, 1048, 127}"
graph_size_1200_k_0.75,1200,12285,484,0.0007460117340087891,5,"{10, 629, 56, 541, 1086}"
graph_size_1300_k_0.75,1300,13460,551,0.0009031295776367188,6,"{710, 10, 273, 119, 376, 827}"
graph_size_1400_k_0.75,1400,14644,546,0.0010254383087158203,6,"{10, 811, 588, 594, 917, 63}"
graph_size_1500_k_0.75,1500,15839,497,0.0011115074157714844,6,"{10, 369, 786, 691, 56, 283}"
graph_size_1600_k_0.75,1600,17041,472,0.001027822494506836,5,"{1065, 10, 811, 1432, 283}"
graph_size_1700_k_0.75,1700,18256,518,0.0011222362518310547,6,"{963, 10, 394, 152, 698, 1694}"
graph_size_1800_k_0.75,1800,19477,482,0.001367807388305664,6,"{10, 172, 694, 119, 56, 216}"
graph_size_1900_k_0.75,1900,20707,536,0.001440286636352539,6,"{10, 459, 172, 815, 56, 761}"
graph_size_2000_k_0.75,2000,21944,515,0.0013327598571777344,6,"{545, 10, 1775, 1170, 119, 989}"
graph_size_2100_k_0.75,2100,23188,551,0.0014004707336425781,6,"{1256, 10, 811, 784, 113, 1308}"
graph_size_2200_k_0.75,2200,24440,495,0.001659393310546875,6,"{2120, 10, 1709, 1715, 1045, 152}"
graph_size_2300_k_0.75,2300,25698,514,0.0017421245574951172,6,"{933, 10, 206, 1397, 1724, 317}"
graph_size_2400_k_0.75,2400,26964,536,0.0016663074493408203,7,"{10, 1166, 273, 2196, 598, 119, 1567}"
graph_size_2500_k_0.75,2500,28232,523,0.002009868621826172,6,"{967, 1513, 10, 1236, 2261, 119}"
graph_size_2600_k_0.75,2600,29508,552,0.0016927719116210938,6,"{10, 335, 2387, 56, 731, 127}"
graph_size_2700_k_0.75,2700,30791,620,0.0019834041595458984,7,"{2563, 10, 2156, 431, 2160, 1397, 439}"
graph_size_2800_k_0.75,2800,32076,507,0.0018222332000732422,6,"{422, 1030, 1385, 10, 2649, 2170}"
graph_size_2900_k_0.75,2900,33368,540,0.0021097660064697266,6,"{1952, 2022, 10, 811, 1715, 1499}"
graph_size_3000_k_0.75,3000,34667,656,0.002045869827270508,7,"{2503, 10, 554, 2156, 715, 1877, 731}"
graph_size_3100_k_0.75,3100,35964,491,0.0019910335540771484,5,"{2563, 1990, 10, 1401, 731}"
graph_size_3200_k_0.75,3200,37273,572,0.0022945404052734375,6,"{2697, 10, 619, 1938, 56, 1502}"
graph_size_3300_k_0.75,3300,38586,553,0.0021827220916748047,7,"{2724, 1317, 1033, 10, 1001, 56, 731}"
graph_size_3400_k_0.75,3400,39899,512,0.002225160598754883,6,"{864, 323, 2661, 5, 10, 811}"
graph_size_3500_k_0.75,3500,41218,545,0.002264261245727539,6,"{98, 963, 10, 2283, 56, 2557}"
