Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.125,1,1,15,1.33514404296875e-05,1,{0}
graph_size_2_k_0.125,2,3,52,1.3828277587890625e-05,1,{1}
graph_size_3_k_0.125,3,6,86,1.9550323486328125e-05,2,"{1, 2}"
graph_size_4_k_0.125,4,12,159,3.218650817871094e-05,3,"{1, 2, 3}"
graph_size_5_k_0.125,5,24,179,7.653236389160156e-05,4,"{1, 2, 3, 4}"
graph_size_6_k_0.125,6,42,159,8.749961853027344e-05,3,"{1, 2, 3}"
graph_size_7_k_0.125,7,72,221,0.00014162063598632812,4,"{1, 2, 3, 6}"
graph_size_8_k_0.125,8,129,248,0.000278472900390625,5,"{0, 3, 4, 6, 7}"
graph_size_9_k_0.125,9,288,282,0.0005197525024414062,6,"{0, 3, 4, 6, 7, 8}"
graph_size_10_k_0.125,10,388,296,0.0006921291351318359,6,"{0, 2, 3, 6, 7, 8}"
graph_size_11_k_0.125,11,567,337,0.0009210109710693359,5,"{1, 3, 7, 8, 10}"
graph_size_12_k_0.125,12,776,300,0.0012497901916503906,5,"{0, 2, 3, 7, 10}"
graph_size_13_k_0.125,13,1112,326,0.0018508434295654297,6,"{0, 3, 8, 10, 11, 12}"
graph_size_14_k_0.125,14,1600,474,0.0027854442596435547,7,"{1, 3, 5, 7, 9, 10, 13}"
graph_size_15_k_0.125,15,3074,451,0.00493168830871582,7,"{6, 7, 8, 9, 10, 13, 14}"
graph_size_16_k_0.125,16,5262,537,0.0095672607421875,9,"{6, 7, 8, 10, 11, 12, 13, 14, 15}"
graph_size_17_k_0.125,17,8060,612,0.015784025192260742,11,"{1, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16}"
graph_size_18_k_0.125,18,18820,571,0.03408050537109375,11,"{1, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16}"
graph_size_19_k_0.125,19,33158,583,0.0549321174621582,10,"{1, 5, 6, 7, 8, 10, 11, 12, 13, 15}"
graph_size_20_k_0.125,20,33022,546,0.06095719337463379,11,"{1, 5, 6, 7, 9, 10, 13, 14, 17, 18, 19}"
graph_size_21_k_0.125,21,58900,594,0.10913538932800293,13,"{4, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 19, 20}"
graph_size_22_k_0.125,22,90222,609,0.17161226272583008,12,"{3, 4, 6, 7, 10, 11, 13, 15, 17, 19, 20, 21}"
graph_size_23_k_0.125,23,150322,611,0.26253628730773926,12,"{1, 4, 6, 7, 8, 9, 11, 13, 15, 17, 19, 22}"
graph_size_24_k_0.125,24,246586,691,0.3952763080596924,13,"{3, 5, 8, 9, 10, 11, 13, 16, 18, 19, 20, 22, 23}"
graph_size_25_k_0.125,25,323202,602,0.526378870010376,11,"{3, 4, 6, 10, 12, 13, 16, 20, 21, 22, 23}"
graph_size_26_k_0.125,26,376956,580,0.6301796436309814,13,"{0, 3, 5, 8, 9, 10, 11, 12, 15, 18, 19, 22, 24}"
graph_size_27_k_0.125,27,692992,795,1.172325849533081,14,"{3, 5, 6, 7, 8, 10, 13, 16, 18, 19, 20, 22, 23, 25}"
graph_size_28_k_0.125,28,987908,679,1.5746018886566162,13,"{3, 4, 7, 10, 12, 14, 15, 17, 18, 22, 23, 24, 25}"
graph_size_29_k_0.125,29,1335051,653,2.1305596828460693,15,"{4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 18, 21, 23, 24, 26}"
graph_size_30_k_0.125,30,1854723,720,2.9672820568084717,14,"{4, 5, 6, 7, 8, 9, 13, 14, 15, 19, 22, 23, 25, 27}"
graph_size_31_k_0.125,31,2193772,769,3.526284694671631,14,"{2, 3, 4, 6, 7, 8, 11, 12, 13, 19, 23, 25, 27, 29}"
graph_size_32_k_0.125,32,2909242,763,4.716951608657837,14,"{3, 7, 8, 11, 13, 15, 18, 20, 21, 22, 23, 25, 28, 30}"
graph_size_33_k_0.125,33,3549325,757,5.486152172088623,14,"{0, 32, 2, 3, 6, 7, 8, 10, 12, 17, 22, 23, 28, 31}"
graph_size_34_k_0.125,34,3058530,748,4.738260746002197,12,"{32, 3, 4, 7, 10, 12, 13, 15, 16, 20, 23, 25}"
graph_size_35_k_0.125,35,5798078,843,8.907225847244263,14,"{32, 33, 2, 3, 4, 34, 7, 9, 11, 13, 15, 20, 22, 23}"
graph_size_36_k_0.125,36,5594877,845,8.553264141082764,16,"{0, 2, 3, 4, 7, 9, 10, 12, 22, 23, 24, 27, 29, 31, 32, 35}"
graph_size_37_k_0.125,37,13522058,807,19.6600341796875,14,"{34, 3, 6, 7, 9, 10, 11, 13, 15, 19, 20, 22, 24, 28}"
graph_size_38_k_0.125,38,12841083,908,21.41413688659668,15,"{32, 2, 3, 34, 5, 6, 7, 8, 9, 10, 11, 12, 13, 28, 29}"
graph_size_39_k_0.125,39,19642365,835,33.04491066932678,16,"{3, 8, 9, 11, 12, 21, 22, 23, 25, 27, 28, 29, 31, 33, 34, 37}"
graph_size_40_k_0.125,40,29588656,777,44.00504994392395,15,"{32, 2, 3, 35, 5, 37, 9, 11, 13, 23, 24, 25, 27, 28, 31}"
