Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.25,1,2,15,2.5272369384765625e-05,1,"(0,)"
graph_size_2_k_0.25,2,9,52,2.1457672119140625e-05,1,"(1,)"
graph_size_3_k_0.25,3,33,86,2.5987625122070312e-05,2,"(1, 2)"
graph_size_4_k_0.25,4,101,125,3.933906555175781e-05,2,"(1, 3)"
graph_size_5_k_0.25,5,292,179,7.534027099609375e-05,4,"(1, 2, 3, 4)"
graph_size_6_k_0.25,6,755,159,0.00011777877807617188,3,"(1, 2, 3)"
graph_size_7_k_0.25,7,1954,187,0.00022339820861816406,3,"(1, 3, 6)"
graph_size_8_k_0.25,8,4929,171,0.00038242340087890625,3,"(3, 4, 7)"
graph_size_9_k_0.25,9,12151,262,0.0007872581481933594,5,"(0, 3, 6, 7, 8)"
graph_size_10_k_0.25,10,29306,242,0.0013537406921386719,5,"(1, 2, 3, 4, 9)"
graph_size_11_k_0.25,11,69792,298,0.0025582313537597656,5,"(1, 2, 7, 8, 10)"
graph_size_12_k_0.25,12,164055,255,0.005279541015625,4,"(0, 6, 7, 10)"
graph_size_13_k_0.25,13,381258,286,0.010267257690429688,5,"(0, 3, 8, 10, 11)"
graph_size_14_k_0.25,14,877323,424,0.019985675811767578,6,"(7, 8, 9, 10, 11, 13)"
graph_size_15_k_0.25,15,1999724,353,0.07087254524230957,6,"(0, 6, 7, 8, 10, 11)"
graph_size_16_k_0.25,16,4523146,422,0.08606100082397461,6,"(6, 7, 8, 9, 10, 13)"
graph_size_17_k_0.25,17,10160876,399,0.16770029067993164,7,"(6, 10, 11, 13, 14, 15, 16)"
graph_size_18_k_0.25,18,22680318,423,0.34482812881469727,8,"(5, 9, 10, 11, 13, 14, 15, 16)"
graph_size_19_k_0.25,19,50335925,383,0.654421329498291,7,"(1, 5, 6, 7, 9, 13, 18)"
graph_size_20_k_0.25,20,111155106,377,1.292490005493164,7,"(5, 7, 9, 10, 11, 14, 19)"
graph_size_21_k_0.25,21,244328029,435,2.6240665912628174,8,"(4, 7, 8, 9, 10, 13, 19, 20)"
graph_size_22_k_0.25,22,534786986,445,5.648524522781372,8,"(4, 5, 6, 7, 9, 10, 13, 17)"
graph_size_23_k_0.25,23,1166029433,464,10.887022733688354,9,"(4, 6, 7, 8, 9, 11, 13, 15, 21)"
graph_size_24_k_0.25,24,2533381457,487,21.79338026046753,8,"(3, 10, 11, 13, 15, 16, 18, 23)"
graph_size_25_k_0.25,25,5486174552,461,44.32890462875366,8,"(3, 6, 10, 12, 13, 17, 21, 22)"
