Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.5,100,1323483,564,0.18299150466918945,8,"{32, 99, 9, 76, 15, 81, 29, 63}"
graph_size_200_k_0.5,200,2851816,699,0.34287428855895996,10,"{97, 196, 69, 70, 198, 174, 176, 23, 156, 191}"
graph_size_300_k_0.5,300,4510173,739,0.523841381072998,10,"{98, 101, 70, 139, 273, 93, 189, 121, 58, 253}"
graph_size_400_k_0.5,400,6186486,728,0.7322666645050049,9,"{97, 131, 205, 302, 397, 23, 121, 25, 63}"
graph_size_500_k_0.5,500,7948135,743,0.9321956634521484,9,"{106, 43, 76, 395, 431, 272, 440, 286, 63}"
graph_size_600_k_0.5,600,9700599,758,1.1344971656799316,11,"{544, 356, 422, 71, 103, 361, 300, 77, 239, 344, 121}"
graph_size_700_k_0.5,700,11532734,821,1.326432704925537,12,"{512, 551, 331, 395, 13, 686, 430, 529, 501, 405, 664, 121}"
graph_size_800_k_0.5,800,13408324,844,1.5320701599121094,11,"{705, 777, 137, 172, 302, 50, 755, 53, 470, 151, 286}"
graph_size_900_k_0.5,900,15249025,851,1.8417131900787354,10,"{864, 778, 811, 749, 110, 334, 817, 628, 247, 892}"
graph_size_1000_k_0.5,1000,17127431,829,1.9266836643218994,11,"{837, 102, 808, 623, 272, 209, 112, 529, 342, 726, 318}"
graph_size_1100_k_0.5,1100,19028601,832,2.156931161880493,11,"{711, 106, 234, 1073, 1010, 498, 148, 54, 663, 1087, 191}"
graph_size_1200_k_0.5,1200,20936524,829,2.309644937515259,11,"{932, 582, 1095, 234, 811, 300, 1067, 560, 977, 273, 1175}"
graph_size_1300_k_0.5,1300,22885172,907,2.5258748531341553,12,"{869, 262, 329, 588, 272, 913, 1204, 1142, 25, 890, 1211, 1053}"
graph_size_1400_k_0.5,1400,24807235,882,2.7638192176818848,10,"{550, 750, 113, 787, 468, 1173, 1334, 376, 507, 348}"
graph_size_1500_k_0.5,1500,26766718,900,3.0675673484802246,12,"{1383, 871, 201, 298, 1064, 396, 1325, 309, 632, 1211, 604, 798}"
graph_size_1600_k_0.5,1600,28735670,851,3.1992063522338867,12,"{353, 834, 267, 945, 1011, 1396, 920, 1013, 439, 248, 1274, 191}"
graph_size_1700_k_0.5,1700,30783313,930,3.328681468963623,12,"{1699, 963, 805, 550, 1438, 457, 957, 1618, 1396, 1118, 765, 862}"
graph_size_1800_k_0.5,1800,32702535,888,3.576188325881958,12,"{1155, 1509, 1384, 361, 1033, 1293, 1422, 1071, 628, 1366, 826, 1629}"
graph_size_1900_k_0.5,1900,34656065,912,3.750119209289551,12,"{1024, 900, 1094, 198, 811, 44, 395, 1365, 789, 503, 1366, 1817}"
graph_size_2000_k_0.5,2000,36785547,947,3.9301891326904297,13,"{608, 385, 864, 419, 963, 1352, 296, 459, 462, 1684, 1336, 347, 1503}"
graph_size_2100_k_0.5,2100,38776083,891,4.200186252593994,13,"{1856, 576, 1057, 1922, 1860, 2024, 1641, 554, 10, 653, 85, 602, 1882}"
graph_size_2200_k_0.5,2200,40767025,906,4.31676173210144,13,"{322, 1827, 131, 1030, 1991, 519, 2159, 817, 2162, 789, 1240, 1307, 734}"
graph_size_2300_k_0.5,2300,42828326,915,4.57323431968689,13,"{258, 3, 868, 709, 1349, 2055, 395, 300, 463, 1105, 786, 471, 860}"
graph_size_2400_k_0.5,2400,44848675,888,4.7750773429870605,12,"{1536, 640, 676, 228, 807, 1575, 1833, 588, 2124, 1904, 1176, 2235}"
graph_size_2500_k_0.5,2500,46958183,880,4.934755325317383,11,"{1569, 1923, 1956, 1863, 2092, 1452, 496, 1553, 1465, 698, 2364}"
graph_size_2600_k_0.5,2600,48932696,940,5.251080513000488,12,"{2176, 1472, 1856, 995, 164, 1893, 2022, 400, 2354, 2196, 340, 1087}"
graph_size_2700_k_0.5,2700,51046036,967,5.371435642242432,12,"{1448, 536, 106, 1071, 1424, 1263, 1906, 113, 1013, 120, 2333, 63}"
graph_size_2800_k_0.5,2800,53152766,962,5.555595636367798,13,"{2240, 2372, 196, 1124, 485, 1417, 330, 2290, 499, 2451, 1145, 1370, 2203}"
graph_size_2900_k_0.5,2900,55287901,947,5.81386137008667,14,"{1984, 1603, 1209, 2653, 902, 1324, 205, 1007, 1715, 117, 632, 1401, 637, 1727}"
graph_size_3000_k_0.5,3000,57222158,972,5.971424341201782,14,"{416, 128, 2305, 1669, 1734, 2790, 904, 2698, 2286, 2229, 2837, 1722, 2778, 2655}"
graph_size_3100_k_0.5,3100,59373448,961,6.188112020492554,13,"{386, 643, 1090, 1286, 966, 135, 1606, 3053, 1005, 1903, 784, 1946, 1436}"
graph_size_3200_k_0.5,3200,61569625,944,6.349626779556274,12,"{2341, 2213, 1388, 1179, 2896, 624, 2034, 119, 1432, 825, 1499, 348}"
graph_size_3300_k_0.5,3300,63672281,1008,6.555407524108887,14,"{3162, 1861, 39, 3239, 1352, 2022, 880, 2578, 2133, 3254, 2935, 2490, 1914, 1215}"
graph_size_3400_k_0.5,3400,65671118,1020,6.843789339065552,14,"{2945, 2500, 1383, 1864, 778, 432, 2225, 2706, 242, 2420, 2197, 855, 793, 2395}"
graph_size_3500_k_0.5,3500,67906003,981,7.067512273788452,13,"{1539, 3079, 1545, 314, 77, 1004, 112, 2577, 2290, 3352, 3194, 2717, 3485}"
