Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.75,1,4,15,0.0024063587188720703,1,{0}
graph_size_2_k_0.75,2,20006,52,0.009183168411254883,1,{1}
graph_size_3_k_0.75,3,27505,52,0.010521173477172852,1,{1}
graph_size_4_k_0.75,4,40673,125,0.015640974044799805,2,"{1, 3}"
graph_size_5_k_0.75,5,53853,159,0.019881486892700195,3,"{1, 2, 3}"
graph_size_6_k_0.75,6,58532,86,0.018970966339111328,2,"{1, 2}"
graph_size_7_k_0.75,7,73982,145,0.022313594818115234,3,"{1, 3, 4}"
graph_size_8_k_0.75,8,77408,125,0.022219181060791016,2,"{1, 3}"
graph_size_9_k_0.75,9,87638,135,0.023638248443603516,2,"{3, 6}"
graph_size_10_k_0.75,10,94734,140,0.024505615234375,2,"{6, 7}"
graph_size_11_k_0.75,11,114017,140,0.027740955352783203,3,"{0, 9, 6}"
graph_size_12_k_0.75,12,122123,178,0.029325008392333984,2,"{10, 7}"
graph_size_13_k_0.75,13,132272,196,0.03068399429321289,3,"{8, 10, 6}"
graph_size_14_k_0.75,14,141941,203,0.03253030776977539,3,"{9, 10, 12}"
graph_size_15_k_0.75,15,157556,176,0.03467249870300293,3,"{8, 11, 7}"
graph_size_16_k_0.75,16,164489,178,0.03542828559875488,2,"{10, 7}"
graph_size_17_k_0.75,17,170382,185,0.03666090965270996,2,"{10, 13}"
graph_size_18_k_0.75,18,183407,177,0.038700103759765625,3,"{9, 13, 14}"
graph_size_19_k_0.75,19,204013,222,0.04252457618713379,3,"{3, 11, 13}"
graph_size_20_k_0.75,20,209307,193,0.043254852294921875,3,"{19, 10, 3}"
graph_size_21_k_0.75,21,222595,241,0.045612335205078125,3,"{9, 10, 7}"
graph_size_22_k_0.75,22,229614,202,0.04631805419921875,4,"{8, 9, 4, 13}"
graph_size_23_k_0.75,23,249680,226,0.04869198799133301,3,"{10, 11, 6}"
graph_size_24_k_0.75,24,263810,209,0.050481557846069336,3,"{10, 20, 22}"
graph_size_25_k_0.75,25,262927,214,0.054502248764038086,3,"{10, 12, 22}"
graph_size_26_k_0.75,26,280885,261,0.05314326286315918,4,"{9, 3, 12, 13}"
graph_size_27_k_0.75,27,289451,262,0.05451321601867676,3,"{25, 13, 23}"
graph_size_28_k_0.75,28,302858,233,0.05593371391296387,3,"{13, 6, 23}"
graph_size_29_k_0.75,29,315640,241,0.05760908126831055,4,"{25, 27, 6, 7}"
graph_size_30_k_0.75,30,330325,237,0.059180498123168945,3,"{13, 22, 7}"
graph_size_31_k_0.75,31,331543,271,0.05980324745178223,4,"{25, 13, 5, 29}"
graph_size_32_k_0.75,32,356891,271,0.06322073936462402,4,"{16, 29, 10, 13}"
graph_size_33_k_0.75,33,368775,240,0.0641176700592041,3,"{32, 13, 22}"
graph_size_34_k_0.75,34,368667,294,0.0647268295288086,4,"{32, 9, 29, 7}"
graph_size_35_k_0.75,35,404665,314,0.06791543960571289,5,"{33, 9, 10, 20, 23}"
graph_size_36_k_0.75,36,403615,239,0.06879401206970215,3,"{25, 13, 9}"
graph_size_37_k_0.75,37,418418,277,0.07808423042297363,3,"{25, 10, 23}"
graph_size_38_k_0.75,38,429265,259,0.08829760551452637,3,"{10, 13, 22}"
graph_size_39_k_0.75,39,438173,322,0.07686114311218262,5,"{33, 9, 11, 22, 25}"
graph_size_40_k_0.75,40,445468,255,0.07490181922912598,3,"{25, 7, 23}"
graph_size_41_k_0.75,41,462584,323,0.0766749382019043,4,"{32, 10, 11, 7}"
graph_size_42_k_0.75,42,470507,317,0.07804465293884277,4,"{9, 13, 25, 7}"
graph_size_43_k_0.75,43,491627,241,0.08034992218017578,4,"{39, 7, 29, 15}"
graph_size_44_k_0.75,44,498859,309,0.08115482330322266,4,"{32, 25, 34, 6}"
graph_size_45_k_0.75,45,511229,276,0.08307051658630371,4,"{25, 44, 20, 23}"
graph_size_46_k_0.75,46,528556,283,0.08505034446716309,4,"{10, 11, 22, 15}"
graph_size_47_k_0.75,47,534990,279,0.08562350273132324,5,"{32, 35, 40, 43, 15}"
graph_size_48_k_0.75,48,562075,312,0.08784818649291992,5,"{34, 6, 7, 8, 9}"
graph_size_49_k_0.75,49,564131,273,0.08892560005187988,4,"{29, 10, 5, 7}"
graph_size_50_k_0.75,50,571539,260,0.08980393409729004,4,"{34, 42, 22, 23}"
graph_size_51_k_0.75,51,597355,308,0.09192800521850586,4,"{32, 1, 34, 10}"
graph_size_52_k_0.75,52,594993,310,0.09320664405822754,4,"{10, 44, 29, 22}"
graph_size_53_k_0.75,53,607267,318,0.09467124938964844,4,"{48, 25, 10, 11}"
graph_size_54_k_0.75,54,625960,312,0.09677767753601074,4,"{25, 13, 6, 22}"
graph_size_55_k_0.75,55,637612,297,0.0962669849395752,4,"{34, 3, 53, 6}"
graph_size_56_k_0.75,56,649899,305,0.09892034530639648,4,"{3, 34, 13, 29}"
graph_size_57_k_0.75,57,659988,318,0.09981799125671387,4,"{56, 25, 13, 31}"
graph_size_58_k_0.75,58,673658,310,0.10212993621826172,5,"{3, 41, 11, 44, 25}"
graph_size_59_k_0.75,59,680786,293,0.10268497467041016,5,"{32, 39, 7, 24, 58}"
graph_size_60_k_0.75,60,708863,292,0.10442090034484863,4,"{25, 50, 19, 23}"
graph_size_61_k_0.75,61,712750,296,0.10552787780761719,4,"{8, 10, 34, 53}"
graph_size_62_k_0.75,62,731486,358,0.10790562629699707,5,"{32, 10, 47, 55, 25}"
graph_size_63_k_0.75,63,736142,357,0.10924506187438965,4,"{10, 51, 58, 53}"
graph_size_64_k_0.75,64,763286,350,0.11041021347045898,4,"{56, 25, 13, 22}"
graph_size_65_k_0.75,65,753421,325,0.11134219169616699,4,"{35, 10, 51, 23}"
graph_size_66_k_0.75,66,784644,345,0.11338090896606445,4,"{10, 11, 13, 63}"
graph_size_67_k_0.75,67,794327,354,0.11548566818237305,4,"{10, 3, 13, 63}"
graph_size_68_k_0.75,68,805090,345,0.1172027587890625,5,"{7, 10, 43, 13, 62}"
graph_size_69_k_0.75,69,806717,351,0.11882758140563965,5,"{10, 11, 50, 21, 58}"
graph_size_70_k_0.75,70,837112,326,0.12039542198181152,4,"{50, 35, 53, 63}"
graph_size_71_k_0.75,71,850981,435,0.12210750579833984,5,"{10, 13, 48, 25, 63}"
graph_size_72_k_0.75,72,852380,317,0.12319540977478027,4,"{10, 13, 53, 15}"
graph_size_73_k_0.75,73,861591,318,0.12457942962646484,5,"{70, 45, 52, 25, 63}"
graph_size_74_k_0.75,74,886174,326,0.1255207061767578,4,"{32, 11, 13, 63}"
graph_size_75_k_0.75,75,901848,360,0.12822508811950684,5,"{70, 45, 23, 59, 63}"
graph_size_76_k_0.75,76,906656,441,0.12966609001159668,5,"{10, 13, 51, 23, 58}"
graph_size_77_k_0.75,77,933673,343,0.1320345401763916,5,"{3, 10, 13, 45, 48}"
graph_size_78_k_0.75,78,919943,353,0.13257384300231934,4,"{32, 25, 50, 23}"
graph_size_79_k_0.75,79,946724,353,0.13579034805297852,5,"{65, 40, 12, 50, 23}"
graph_size_80_k_0.75,80,962203,354,0.13706517219543457,5,"{70, 11, 44, 48, 56}"
graph_size_81_k_0.75,81,981649,325,0.13881969451904297,4,"{10, 35, 58, 77}"
graph_size_82_k_0.75,82,991766,371,0.14066815376281738,4,"{25, 77, 63, 23}"
graph_size_83_k_0.75,83,1004371,374,0.14036178588867188,5,"{32, 35, 6, 77, 13}"
graph_size_84_k_0.75,84,1015378,353,0.14331364631652832,4,"{56, 32, 77, 22}"
graph_size_85_k_0.75,85,1022958,396,0.14413666725158691,5,"{18, 53, 56, 59, 63}"
graph_size_86_k_0.75,86,1039179,374,0.14536809921264648,4,"{32, 10, 56, 83}"
graph_size_87_k_0.75,87,1052174,353,0.1468198299407959,5,"{37, 77, 52, 23, 58}"
graph_size_88_k_0.75,88,1063536,362,0.1493513584136963,5,"{67, 10, 76, 83, 58}"
graph_size_89_k_0.75,89,1084188,366,0.15137577056884766,5,"{39, 9, 44, 56, 59}"
graph_size_90_k_0.75,90,1094155,380,0.15288043022155762,5,"{77, 47, 51, 25, 29}"
graph_size_91_k_0.75,91,1107302,342,0.15442800521850586,5,"{65, 47, 50, 22, 58}"
graph_size_92_k_0.75,92,1134910,406,0.15629863739013672,5,"{6, 10, 80, 83, 23}"
graph_size_93_k_0.75,93,1128737,377,0.15679049491882324,4,"{56, 58, 10, 77}"
graph_size_94_k_0.75,94,1165038,344,0.15979528427124023,4,"{10, 50, 70, 23}"
graph_size_95_k_0.75,95,1166552,368,0.16016530990600586,5,"{42, 77, 80, 83, 53}"
graph_size_96_k_0.75,96,1180615,381,0.16141247749328613,5,"{77, 50, 82, 86, 58}"
graph_size_97_k_0.75,97,1191854,376,0.16168928146362305,5,"{32, 6, 81, 51, 53}"
graph_size_98_k_0.75,98,1201481,385,0.16462135314941406,5,"{33, 3, 76, 50, 56}"
graph_size_99_k_0.75,99,1216277,373,0.16597652435302734,5,"{6, 39, 10, 80, 56}"
graph_size_100_k_0.75,100,1225712,334,0.16754961013793945,4,"{32, 50, 6, 63}"
graph_size_101_k_0.75,101,1238388,341,0.1684436798095703,5,"{67, 7, 40, 77, 63}"
graph_size_102_k_0.75,102,1252146,395,0.1702101230621338,5,"{99, 71, 77, 51, 53}"
graph_size_103_k_0.75,103,1265969,386,0.17153358459472656,5,"{32, 6, 7, 22, 25}"
graph_size_104_k_0.75,104,1280625,365,0.1724531650543213,5,"{7, 76, 47, 84, 56}"
graph_size_105_k_0.75,105,1289430,376,0.1741318702697754,5,"{32, 73, 77, 50, 63}"
graph_size_106_k_0.75,106,1317921,352,0.17585277557373047,5,"{100, 37, 6, 84, 59}"
graph_size_107_k_0.75,107,1322745,367,0.17696261405944824,6,"{32, 6, 43, 83, 60, 31}"
graph_size_108_k_0.75,108,1330454,458,0.1792283058166504,6,"{1, 65, 70, 83, 51, 59}"
graph_size_109_k_0.75,109,1340104,415,0.17923855781555176,5,"{40, 50, 84, 23, 63}"
graph_size_110_k_0.75,110,1359800,455,0.18030953407287598,5,"{101, 77, 50, 56, 58}"
graph_size_111_k_0.75,111,1375577,369,0.18306851387023926,5,"{104, 108, 53, 22, 90}"
graph_size_112_k_0.75,112,1392820,394,0.18445611000061035,5,"{96, 32, 101, 6, 108}"
graph_size_113_k_0.75,113,1410592,358,0.18601298332214355,5,"{10, 107, 76, 22, 23}"
graph_size_114_k_0.75,114,1415860,385,0.18711590766906738,5,"{32, 1, 6, 83, 93}"
graph_size_115_k_0.75,115,1429983,395,0.18891525268554688,5,"{3, 100, 70, 108, 25}"
graph_size_116_k_0.75,116,1450705,406,0.19103670120239258,5,"{112, 83, 51, 56, 31}"
graph_size_117_k_0.75,117,1462989,370,0.191267728805542,5,"{96, 97, 50, 84, 88}"
graph_size_118_k_0.75,118,1487255,405,0.19464588165283203,5,"{98, 101, 76, 50, 51}"
graph_size_119_k_0.75,119,1492623,425,0.19413542747497559,5,"{97, 76, 13, 59, 29}"
graph_size_120_k_0.75,120,1501798,399,0.1957848072052002,6,"{40, 50, 52, 55, 25, 62}"
graph_size_121_k_0.75,121,1512959,363,0.19687271118164062,5,"{1, 113, 53, 55, 29}"
graph_size_122_k_0.75,122,1525456,408,0.19951987266540527,5,"{39, 106, 53, 56, 58}"
graph_size_123_k_0.75,123,1546248,350,0.20219182968139648,5,"{44, 19, 119, 56, 121}"
graph_size_124_k_0.75,124,1572313,369,0.20261526107788086,5,"{97, 98, 99, 113, 117}"
graph_size_125_k_0.75,125,1582526,405,0.20482087135314941,5,"{113, 50, 83, 117, 60}"
graph_size_126_k_0.75,126,1578452,380,0.20399117469787598,4,"{25, 50, 77, 63}"
graph_size_127_k_0.75,127,1601947,419,0.20671510696411133,6,"{37, 7, 106, 81, 84, 22}"
