Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.125,100,1105260,1525,0.056867122650146484,25,"{7, 8, 12, 13, 15, 30, 32, 40, 44, 50, 55, 60, 62, 65, 70, 71, 76, 81, 84, 86, 91, 92, 96, 98, 99}"
graph_size_200_k_0.125,200,2394966,1794,0.10002899169921875,26,"{128, 8, 9, 138, 13, 17, 148, 162, 36, 168, 43, 179, 52, 58, 59, 187, 191, 196, 69, 77, 82, 86, 102, 108, 117, 127}"
graph_size_300_k_0.125,300,3846612,2090,0.15924978256225586,29,"{128, 7, 12, 145, 22, 281, 29, 286, 34, 293, 171, 44, 48, 50, 58, 196, 197, 200, 79, 81, 217, 97, 99, 100, 236, 237, 109, 113, 127}"
graph_size_400_k_0.125,400,5347335,2206,0.2112593650817871,32,"{128, 260, 6, 10, 396, 271, 274, 23, 25, 29, 162, 292, 171, 306, 185, 58, 317, 318, 65, 69, 197, 329, 205, 214, 220, 349, 225, 358, 359, 104, 109, 119}"
graph_size_500_k_0.125,500,6936601,2340,0.27078747749328613,33,"{390, 138, 140, 272, 152, 284, 290, 164, 422, 297, 298, 43, 430, 186, 323, 457, 331, 205, 206, 211, 340, 216, 344, 90, 96, 357, 361, 234, 365, 109, 117, 121, 378}"
graph_size_600_k_0.125,600,8506400,2441,0.33292198181152344,33,"{390, 138, 396, 525, 533, 23, 151, 281, 411, 541, 31, 300, 303, 177, 50, 53, 311, 313, 187, 316, 572, 446, 59, 191, 451, 71, 209, 342, 492, 364, 112, 369, 509}"
graph_size_700_k_0.125,700,10172974,2568,0.3823380470275879,34,"{128, 386, 9, 10, 33, 674, 162, 676, 37, 303, 48, 306, 53, 56, 440, 191, 65, 329, 462, 84, 597, 348, 476, 96, 354, 623, 369, 113, 499, 628, 500, 245, 242, 632}"
graph_size_800_k_0.125,800,11868618,2710,0.4480264186859131,37,"{128, 768, 386, 649, 266, 657, 662, 667, 542, 547, 420, 422, 550, 678, 306, 438, 56, 317, 575, 451, 453, 455, 463, 208, 84, 341, 214, 601, 97, 354, 359, 620, 494, 495, 496, 751, 239}"
graph_size_900_k_0.125,900,13592235,2850,0.4961884021759033,40,"{640, 261, 390, 392, 396, 400, 406, 535, 283, 284, 32, 162, 302, 51, 820, 437, 313, 65, 709, 710, 326, 200, 459, 205, 208, 593, 724, 212, 473, 221, 607, 225, 356, 742, 746, 106, 235, 379, 628, 123}"
graph_size_1000_k_0.125,1000,15290258,2679,0.560901403427124,36,"{258, 642, 645, 518, 9, 395, 396, 148, 411, 546, 810, 554, 44, 813, 685, 689, 178, 52, 58, 706, 323, 837, 458, 845, 462, 974, 597, 862, 479, 864, 863, 994, 232, 873, 368, 371}"
graph_size_1100_k_0.125,1100,17080557,2930,0.6242470741271973,40,"{768, 386, 770, 900, 135, 778, 907, 911, 785, 1045, 918, 151, 418, 1064, 815, 691, 693, 439, 59, 60, 706, 1093, 711, 327, 841, 714, 200, 462, 335, 207, 340, 606, 361, 621, 113, 501, 1014, 891, 892, 1022}"
graph_size_1200_k_0.125,1200,18849256,2865,0.6814603805541992,38,"{891, 390, 8, 137, 1162, 395, 655, 531, 667, 412, 29, 798, 286, 544, 420, 805, 940, 172, 814, 1081, 316, 580, 710, 841, 329, 971, 339, 724, 468, 734, 615, 1002, 621, 369, 883, 1014, 507, 380}"
graph_size_1300_k_0.125,1300,20667520,2993,0.7466237545013428,39,"{771, 10, 778, 654, 916, 662, 23, 922, 547, 1060, 167, 555, 300, 177, 1078, 1213, 1215, 1092, 459, 331, 461, 976, 597, 599, 87, 985, 601, 604, 991, 485, 1000, 1128, 361, 1260, 748, 113, 1010, 1142, 127}"
graph_size_1400_k_0.125,1400,22446044,3055,0.80470871925354,37,"{256, 897, 1287, 1036, 1308, 1053, 32, 546, 547, 168, 302, 689, 947, 1334, 438, 440, 1337, 191, 1216, 841, 201, 980, 597, 342, 731, 220, 613, 357, 742, 234, 108, 1010, 1011, 1141, 1014, 1273, 765}"
graph_size_1500_k_0.125,1500,24351936,3152,0.8903231620788574,43,"{1024, 386, 903, 395, 396, 141, 1039, 789, 1045, 1050, 161, 1185, 1194, 814, 689, 187, 705, 577, 1096, 77, 339, 724, 1237, 1107, 1492, 1494, 1114, 1244, 221, 351, 608, 865, 994, 1124, 230, 232, 1130, 108, 237, 620, 1263, 624, 1266}"
graph_size_1600_k_0.125,1600,26164320,3031,0.942058801651001,41,"{768, 1285, 1543, 266, 395, 1036, 653, 1039, 286, 547, 1190, 552, 1066, 1195, 1453, 815, 50, 179, 1593, 1465, 1210, 314, 1212, 1342, 319, 64, 840, 714, 335, 1104, 1105, 1234, 468, 852, 216, 731, 1378, 997, 101, 369, 501}"
graph_size_1700_k_0.125,1700,28032414,3169,0.9918689727783203,41,"{516, 1540, 1286, 1285, 650, 138, 652, 535, 25, 666, 667, 164, 805, 1060, 427, 172, 1582, 50, 948, 820, 1591, 1211, 1472, 577, 710, 711, 455, 201, 1355, 588, 335, 976, 1618, 467, 595, 218, 90, 357, 879, 1653, 378}"
graph_size_1800_k_0.125,1800,29904117,3089,1.0460984706878662,39,"{643, 9, 1295, 914, 789, 919, 1435, 411, 683, 1711, 1456, 50, 318, 707, 582, 839, 714, 842, 1743, 850, 1624, 601, 348, 1244, 1251, 100, 1509, 1126, 872, 746, 106, 748, 1773, 1263, 242, 1142, 376, 1147, 1660}"
graph_size_1900_k_0.125,1900,31792729,3117,1.110525369644165,44,"{1795, 1028, 260, 1543, 905, 10, 1421, 1677, 1021, 1427, 275, 150, 1175, 1692, 1308, 1183, 1569, 675, 934, 1456, 560, 698, 710, 966, 201, 970, 1868, 1626, 218, 1754, 351, 867, 1124, 1508, 1126, 485, 1256, 611, 493, 1775, 374, 502, 1788, 765}"
graph_size_2000_k_0.125,2000,33750445,3161,1.1974995136260986,44,"{1536, 1161, 1546, 1675, 917, 25, 1050, 793, 1440, 421, 1447, 296, 1838, 945, 50, 1724, 1856, 706, 966, 711, 71, 77, 1486, 724, 1241, 90, 1754, 990, 1375, 993, 871, 877, 495, 368, 1904, 1264, 500, 1781, 629, 1271, 506, 252, 1021, 1279}"
graph_size_2100_k_0.125,2100,35611291,3302,1.2544059753417969,45,"{1798, 525, 1423, 655, 401, 922, 29, 1821, 159, 671, 41, 813, 46, 1327, 815, 51, 1592, 827, 317, 575, 1987, 710, 1737, 1611, 77, 206, 1486, 1487, 601, 1243, 2013, 990, 1503, 353, 1378, 1892, 1004, 879, 1138, 499, 628, 501, 2034, 498, 755}"
graph_size_2200_k_0.125,2200,37535328,3235,1.3114004135131836,43,"{2049, 386, 1285, 6, 1161, 395, 651, 269, 1163, 922, 1694, 2169, 162, 1697, 1452, 431, 1968, 2098, 1091, 323, 197, 1097, 1738, 77, 2125, 1872, 593, 850, 1626, 1373, 221, 735, 2019, 361, 1258, 494, 2033, 753, 755, 2167, 633, 762, 1148}"
graph_size_2300_k_0.125,2300,39542030,3335,1.3805348873138428,43,"{258, 262, 1162, 2059, 653, 1681, 1939, 412, 2208, 1057, 547, 293, 935, 1451, 1196, 1835, 2094, 177, 1465, 1081, 59, 187, 1213, 2118, 1863, 1862, 715, 205, 593, 1494, 1241, 218, 1887, 225, 1383, 1386, 106, 749, 877, 368, 1398, 1528, 1662}"
graph_size_2400_k_0.125,2400,41457186,3347,1.4301486015319824,46,"{128, 386, 266, 1295, 1169, 275, 148, 918, 1303, 665, 2074, 922, 1308, 1438, 286, 674, 935, 427, 1708, 1325, 434, 2226, 819, 1466, 2106, 2367, 2368, 197, 966, 588, 1741, 2385, 1618, 1626, 1503, 1631, 1761, 230, 1260, 877, 1007, 1903, 1267, 1014, 247, 638}"
