Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.25,1,1,15,3.170967102050781e-05,1,{0}
graph_size_2_k_0.25,2,19988,52,0.005272865295410156,1,{1}
graph_size_3_k_0.25,3,19998,86,0.004420757293701172,2,"{1, 2}"
graph_size_4_k_0.25,4,28850,125,0.006224393844604492,2,"{1, 3}"
graph_size_5_k_0.25,5,30308,179,0.005295515060424805,4,"{1, 2, 3, 4}"
graph_size_6_k_0.25,6,47204,159,0.006299495697021484,3,"{1, 2, 3}"
graph_size_7_k_0.25,7,55383,187,0.0068929195404052734,3,"{1, 3, 6}"
graph_size_8_k_0.25,8,75205,171,0.008657455444335938,3,"{3, 4, 7}"
graph_size_9_k_0.25,9,80142,262,0.008438587188720703,5,"{0, 3, 6, 7, 8}"
graph_size_10_k_0.25,10,98079,242,0.009949445724487305,5,"{1, 2, 3, 4, 9}"
graph_size_11_k_0.25,11,107211,298,0.010077238082885742,5,"{1, 2, 7, 8, 10}"
graph_size_12_k_0.25,12,117105,255,0.010385751724243164,4,"{0, 10, 6, 7}"
graph_size_13_k_0.25,13,127191,286,0.011149883270263672,5,"{0, 3, 8, 10, 11}"
graph_size_14_k_0.25,14,135611,424,0.012499094009399414,6,"{7, 8, 9, 10, 11, 13}"
graph_size_15_k_0.25,15,144473,353,0.012859582901000977,6,"{0, 6, 7, 8, 10, 11}"
graph_size_16_k_0.25,16,153604,422,0.013183355331420898,6,"{6, 7, 8, 9, 10, 13}"
graph_size_17_k_0.25,17,166784,399,0.013411521911621094,7,"{6, 10, 11, 13, 14, 15, 16}"
graph_size_18_k_0.25,18,174896,423,0.013823986053466797,8,"{5, 9, 10, 11, 13, 14, 15, 16}"
graph_size_19_k_0.25,19,183219,383,0.01394200325012207,7,"{1, 5, 6, 7, 9, 13, 18}"
graph_size_20_k_0.25,20,195962,377,0.014825105667114258,7,"{5, 7, 9, 10, 11, 14, 19}"
graph_size_21_k_0.25,21,210064,435,0.014883041381835938,8,"{4, 7, 8, 9, 10, 13, 19, 20}"
graph_size_22_k_0.25,22,216508,445,0.016594648361206055,8,"{4, 5, 6, 7, 9, 10, 13, 17}"
graph_size_23_k_0.25,23,229757,464,0.01680779457092285,9,"{4, 6, 7, 8, 9, 11, 13, 15, 21}"
graph_size_24_k_0.25,24,243490,487,0.01760244369506836,8,"{3, 10, 11, 13, 15, 16, 18, 23}"
graph_size_25_k_0.25,25,239490,461,0.017807483673095703,8,"{3, 6, 10, 12, 13, 17, 21, 22}"
graph_size_26_k_0.25,26,255437,462,0.01783895492553711,8,"{3, 5, 9, 10, 11, 15, 19, 22}"
graph_size_27_k_0.25,27,275109,548,0.018804550170898438,9,"{6, 7, 10, 11, 14, 18, 20, 22, 23}"
graph_size_28_k_0.25,28,284013,500,0.019096851348876953,8,"{6, 7, 10, 12, 13, 16, 20, 23}"
graph_size_29_k_0.25,29,291211,476,0.019771099090576172,7,"{3, 6, 10, 13, 15, 18, 25}"
graph_size_30_k_0.25,30,304077,522,0.01969456672668457,8,"{5, 7, 10, 13, 15, 17, 23, 25}"
graph_size_31_k_0.25,31,310467,532,0.0200040340423584,8,"{5, 7, 9, 10, 13, 18, 25, 29}"
graph_size_32_k_0.25,32,325324,523,0.02197098731994629,10,"{2, 13, 14, 15, 18, 20, 22, 23, 25, 28}"
graph_size_33_k_0.25,33,339736,578,0.022051095962524414,10,"{2, 3, 4, 7, 10, 15, 25, 28, 29, 30}"
graph_size_34_k_0.25,34,354761,588,0.022005558013916016,9,"{32, 4, 6, 7, 11, 13, 20, 25, 29}"
graph_size_35_k_0.25,35,367827,578,0.023581266403198242,11,"{32, 2, 4, 7, 9, 11, 13, 15, 16, 19, 22}"
graph_size_36_k_0.25,36,374678,569,0.022353172302246094,9,"{32, 34, 10, 14, 22, 23, 27, 29, 31}"
graph_size_37_k_0.25,37,378590,592,0.023843765258789062,9,"{32, 3, 9, 10, 13, 18, 22, 28, 29}"
graph_size_38_k_0.25,38,398066,654,0.02410101890563965,11,"{2, 3, 37, 6, 10, 13, 18, 20, 23, 25, 28}"
graph_size_39_k_0.25,39,405312,611,0.02661609649658203,10,"{33, 3, 8, 11, 15, 22, 23, 25, 29, 31}"
graph_size_40_k_0.25,40,415798,654,0.0228421688079834,10,"{32, 3, 35, 7, 9, 10, 22, 23, 26, 31}"
graph_size_41_k_0.25,41,438480,749,0.025326013565063477,12,"{32, 3, 7, 39, 10, 11, 20, 22, 25, 28, 30, 31}"
graph_size_42_k_0.25,42,459362,807,0.02739405632019043,12,"{32, 3, 37, 7, 40, 9, 11, 13, 20, 23, 25, 30}"
graph_size_43_k_0.25,43,454845,603,0.02664041519165039,11,"{33, 34, 3, 37, 8, 40, 42, 11, 10, 19, 29}"
graph_size_44_k_0.25,44,466423,636,0.02691173553466797,12,"{32, 35, 3, 5, 38, 7, 9, 10, 19, 21, 23, 28}"
graph_size_45_k_0.25,45,479872,694,0.02609109878540039,10,"{3, 7, 40, 41, 10, 9, 8, 13, 23, 25}"
graph_size_46_k_0.25,46,484019,687,0.02720928192138672,11,"{32, 34, 37, 7, 8, 9, 10, 21, 23, 29, 30}"
graph_size_47_k_0.25,47,509428,780,0.026735782623291016,12,"{32, 33, 1, 3, 7, 40, 9, 44, 23, 25, 28, 29}"
graph_size_48_k_0.25,48,501402,669,0.02733635902404785,10,"{3, 37, 7, 9, 10, 18, 23, 25, 29, 31}"
