Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.75,100,8718945,334,0.35443663597106934,4,"{32, 50, 6, 63}"
graph_size_200_k_0.75,200,36844937,282,1.2633795738220215,5,"{98, 55, 156, 173, 127}"
graph_size_300_k_0.75,300,84763977,386,2.184798240661621,6,"{114, 51, 245, 41, 29, 63}"
graph_size_400_k_0.75,400,146703398,498,4.413480758666992,6,"{199, 70, 119, 361, 314, 77}"
graph_size_500_k_0.75,500,224788971,397,6.8786914348602295,6,"{227, 440, 395, 140, 414, 431}"
graph_size_600_k_0.75,600,338280504,443,8.044561386108398,6,"{545, 65, 166, 317, 93, 526}"
graph_size_700_k_0.75,700,472683707,407,12.013392210006714,6,"{131, 52, 261, 629, 348, 687}"
graph_size_800_k_0.75,800,606946138,426,29.67910408973694,7,"{514, 242, 678, 502, 331, 187, 175}"
graph_size_900_k_0.75,900,741180951,432,19.146433353424072,6,"{128, 817, 728, 811, 494, 367}"
graph_size_1000_k_0.75,1000,935979974,381,21.57337760925293,6,"{758, 743, 456, 58, 971, 316}"
graph_size_1100_k_0.75,1100,1093890284,444,29.70129108428955,6,"{290, 166, 471, 284, 782, 798}"
graph_size_1200_k_0.75,1200,1348758087,464,34.73744773864746,6,"{169, 1096, 25, 1053, 302, 728}"
graph_size_1300_k_0.75,1300,1544627676,473,31.15165686607361,7,"{32, 256, 738, 208, 1030, 633, 623}"
graph_size_1400_k_0.75,1400,1851761971,497,56.02489471435547,7,"{1216, 1393, 802, 1091, 1124, 1135, 1007}"
graph_size_1500_k_0.75,1500,2135410328,374,41.51845121383667,7,"{320, 918, 695, 1159, 556, 525, 431}"
graph_size_1600_k_0.75,1600,2367756518,476,54.63110089302063,6,"{1482, 613, 1591, 873, 762, 862}"
