Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.75,100,218767,1268,0.04042220115661621,31,"{51, 19, 55, 30, 23, 10, 27, 1, 6, 34, 39, 8, 9, 44, 45, 50, 75, 64, 16, 67, 82, 17, 69, 92, 68, 88, 89, 70, 94, 14, 99}"
graph_size_200_k_0.75,200,393141,0,0.04978537559509277,0,set()
graph_size_300_k_0.75,300,573291,1520,0.06128883361816406,36,"{256, 0, 1, 259, 258, 5, 267, 271, 19, 24, 287, 37, 39, 40, 38, 44, 48, 66, 71, 83, 109, 153, 163, 165, 173, 174, 189, 190, 203, 227, 231, 232, 235, 240, 242, 251}"
graph_size_400_k_0.75,400,736726,323,0.07031750679016113,5,"{56, 324, 206, 104, 253}"
graph_size_500_k_0.75,500,910563,2374,0.08211064338684082,49,"{260, 5, 19, 288, 301, 54, 57, 70, 75, 76, 333, 81, 86, 93, 350, 348, 352, 353, 356, 364, 372, 374, 124, 382, 131, 133, 136, 139, 142, 409, 419, 164, 424, 172, 178, 180, 191, 193, 198, 456, 202, 204, 471, 221, 222, 482, 491, 239, 248}"
graph_size_600_k_0.75,600,1112389,1871,0.09733843803405762,36,"{1, 9, 272, 546, 291, 48, 308, 58, 573, 66, 581, 334, 83, 344, 381, 383, 133, 391, 397, 403, 408, 410, 161, 423, 425, 448, 196, 210, 470, 478, 231, 235, 247, 249, 250, 253}"
graph_size_700_k_0.75,700,1365155,45,0.13392233848571777,1,{269}
graph_size_800_k_0.75,800,1546995,1600,0.15133881568908691,33,"{1, 519, 16, 275, 797, 31, 569, 580, 583, 347, 96, 352, 109, 622, 111, 630, 126, 642, 663, 156, 165, 175, 434, 177, 696, 442, 180, 468, 478, 226, 491, 505, 511}"
graph_size_900_k_0.75,900,1693525,2674,0.14830470085144043,48,"{256, 9, 782, 531, 284, 555, 556, 303, 48, 60, 585, 589, 341, 354, 101, 358, 875, 876, 879, 113, 114, 629, 379, 126, 128, 391, 656, 147, 151, 664, 410, 419, 421, 425, 688, 434, 437, 438, 447, 709, 201, 714, 205, 491, 751, 754, 245, 254}"
graph_size_1000_k_0.75,1000,1868209,1882,0.15462160110473633,35,"{2, 777, 267, 531, 793, 288, 802, 296, 808, 811, 826, 343, 606, 115, 888, 890, 899, 650, 160, 929, 168, 941, 439, 959, 456, 200, 458, 465, 973, 721, 978, 486, 232, 749, 254}"
graph_size_1100_k_0.75,1100,2010244,137,0.14899921417236328,2,"{327, 1005}"
graph_size_1200_k_0.75,1200,2321389,3882,0.19948983192443848,78,"{512, 513, 1034, 524, 1040, 1050, 1054, 36, 557, 47, 1071, 1080, 570, 60, 1097, 1108, 94, 1119, 97, 614, 615, 617, 620, 623, 112, 117, 630, 1143, 1148, 138, 1163, 1166, 659, 662, 1180, 168, 171, 691, 702, 217, 229, 237, 760, 255, 259, 266, 794, 800, 804, 805, 293, 809, 816, 822, 824, 325, 332, 854, 865, 887, 378, 384, 913, 404, 408, 410, 939, 431, 433, 949, 439, 952, 954, 447, 966, 458, 500, 1016}"
graph_size_1300_k_0.75,1300,2407207,988,0.2089090347290039,15,"{704, 642, 1156, 782, 1170, 851, 1240, 1246, 30, 226, 994, 1258, 1066, 1142, 381}"
graph_size_1400_k_0.75,1400,2617082,958,0.2261962890625,17,"{775, 268, 1038, 34, 573, 895, 130, 164, 1196, 428, 1211, 455, 456, 987, 1244, 253, 238}"
graph_size_1500_k_0.75,1500,2862309,905,0.2543830871582031,22,"{527, 786, 276, 21, 1316, 41, 46, 570, 831, 838, 80, 336, 1367, 122, 895, 1164, 653, 1169, 696, 712, 1481, 985}"
graph_size_1600_k_0.75,1600,2904744,158,0.23693370819091797,3,"{517, 536, 831}"
graph_size_1700_k_0.75,1700,3069757,372,0.25441837310791016,6,"{1241, 1510, 1162, 123, 1356, 593}"
