Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.125,100,713,1025,0.0001518726348876953,24,"{8, 18, 19, 27, 30, 40, 44, 48, 54, 60, 62, 63, 65, 66, 67, 68, 70, 71, 72, 76, 84, 88, 90, 99}"
graph_size_200_k_0.125,200,1587,1063,0.000244140625,29,"{4, 13, 143, 147, 24, 28, 36, 166, 41, 170, 43, 47, 58, 59, 62, 192, 67, 68, 73, 84, 89, 95, 97, 99, 100, 107, 111, 116, 120}"
graph_size_300_k_0.125,300,2533,1237,0.0003540515899658203,32,"{130, 4, 264, 137, 21, 22, 277, 284, 286, 159, 288, 33, 160, 163, 299, 49, 180, 196, 68, 70, 69, 74, 79, 84, 95, 103, 232, 104, 237, 116, 118, 254}"
graph_size_400_k_0.125,400,3526,1663,0.000476837158203125,34,"{260, 395, 270, 24, 153, 25, 283, 292, 171, 172, 173, 175, 182, 191, 65, 321, 68, 69, 329, 203, 79, 210, 214, 220, 349, 223, 228, 231, 105, 364, 109, 366, 245, 248}"
graph_size_500_k_0.125,500,4547,1583,0.0005612373352050781,32,"{129, 272, 19, 20, 148, 290, 173, 175, 436, 312, 441, 318, 198, 328, 456, 331, 77, 78, 79, 213, 469, 216, 89, 218, 482, 483, 102, 103, 489, 493, 114, 117}"
graph_size_600_k_0.125,600,5614,1775,0.0007097721099853516,38,"{128, 4, 390, 7, 525, 270, 16, 405, 410, 411, 284, 287, 163, 548, 35, 295, 41, 44, 429, 303, 435, 309, 440, 317, 579, 580, 71, 459, 207, 469, 344, 364, 118, 503, 374, 246, 508, 509}"
graph_size_700_k_0.125,700,6692,1854,0.000823974609375,38,"{128, 1, 258, 132, 262, 391, 647, 134, 265, 525, 142, 146, 404, 159, 161, 296, 554, 51, 564, 442, 314, 61, 191, 328, 591, 465, 338, 216, 601, 476, 96, 229, 487, 622, 367, 111, 376, 637}"
graph_size_800_k_0.125,800,7798,1847,0.0009615421295166016,41,"{518, 264, 396, 141, 654, 527, 532, 660, 279, 666, 30, 420, 678, 684, 560, 306, 307, 52, 308, 441, 188, 190, 582, 71, 70, 329, 716, 84, 212, 474, 222, 354, 610, 612, 487, 748, 109, 367, 503, 760, 763}"
graph_size_900_k_0.125,900,8915,2242,0.00130462646484375,41,"{129, 514, 7, 649, 10, 777, 655, 534, 152, 538, 28, 800, 40, 297, 682, 560, 691, 51, 64, 193, 834, 578, 452, 199, 74, 715, 205, 77, 212, 222, 223, 228, 869, 101, 620, 495, 368, 757, 758, 761, 123}"
graph_size_1000_k_0.125,1000,10040,1476,0.0016319751739501953,37,"{896, 388, 646, 264, 911, 274, 915, 534, 791, 796, 669, 544, 805, 41, 561, 694, 57, 570, 697, 828, 323, 843, 716, 205, 207, 848, 850, 211, 343, 223, 229, 746, 236, 109, 368, 250, 764}"
graph_size_1100_k_0.125,1100,11200,2387,0.0013561248779296875,43,"{512, 764, 516, 393, 650, 919, 151, 284, 413, 288, 804, 168, 938, 172, 560, 1073, 50, 307, 52, 567, 572, 322, 198, 839, 584, 459, 335, 80, 88, 987, 96, 481, 736, 101, 873, 748, 124, 244, 628, 375, 380, 892, 1022}"
graph_size_1200_k_0.125,1200,12361,1985,0.001428842544555664,43,"{896, 257, 1153, 131, 519, 399, 20, 1174, 1176, 409, 30, 1184, 672, 677, 166, 170, 172, 46, 693, 828, 702, 447, 832, 192, 584, 1099, 720, 1106, 84, 853, 469, 89, 474, 866, 738, 997, 614, 875, 749, 625, 757, 505, 639}"
graph_size_1300_k_0.125,1300,13540,2231,0.0016045570373535156,46,"{129, 897, 134, 391, 7, 654, 143, 658, 1170, 18, 797, 1186, 164, 294, 42, 303, 692, 1213, 194, 67, 324, 837, 196, 842, 74, 1229, 1106, 210, 342, 473, 605, 1118, 1245, 1124, 1126, 1127, 231, 615, 876, 236, 1261, 879, 1268, 506, 252, 1022}"
graph_size_1400_k_0.125,1400,14714,2382,0.0016820430755615234,41,"{903, 1161, 270, 1167, 400, 1170, 275, 916, 1052, 1184, 801, 810, 685, 691, 1339, 62, 319, 1342, 328, 75, 972, 588, 587, 209, 341, 1112, 987, 606, 481, 98, 1124, 1382, 1130, 240, 1138, 1396, 1397, 502, 122, 766, 1023}"
graph_size_1500_k_0.125,1500,15917,2262,0.001847982406616211,45,"{516, 260, 1160, 522, 396, 780, 528, 1177, 669, 671, 805, 43, 1070, 821, 1463, 187, 1341, 1469, 450, 1219, 195, 453, 70, 206, 212, 724, 88, 986, 1498, 734, 990, 480, 353, 1247, 95, 1257, 622, 625, 502, 118, 758, 122, 251, 253, 767}"
graph_size_1600_k_0.125,1600,17117,2346,0.0020024776458740234,43,"{1408, 390, 647, 7, 1034, 1419, 654, 1045, 22, 406, 1304, 536, 279, 156, 1053, 161, 1191, 1582, 815, 1070, 945, 436, 185, 698, 1087, 321, 65, 963, 325, 453, 715, 844, 203, 1486, 80, 1489, 599, 123, 751, 116, 118, 251, 1277}"
graph_size_1700_k_0.125,1700,18328,2490,0.0020935535430908203,42,"{770, 1028, 1285, 774, 1414, 1289, 1675, 1555, 789, 1688, 1563, 1435, 32, 33, 1440, 296, 945, 1205, 61, 191, 1604, 329, 458, 1100, 847, 80, 593, 976, 980, 727, 218, 1243, 1116, 1628, 226, 621, 750, 1519, 1271, 1020, 1661, 1534}"
graph_size_1800_k_0.125,1800,19555,2167,0.002114534378051758,45,"{1539, 136, 659, 661, 923, 283, 30, 31, 1573, 295, 681, 814, 1459, 52, 692, 825, 1466, 1605, 1478, 582, 1608, 969, 204, 1485, 1613, 716, 1488, 721, 850, 852, 981, 1109, 599, 120, 349, 222, 1375, 480, 1120, 476, 1125, 1638, 887, 1528, 255}"
graph_size_1900_k_0.125,1900,20785,2308,0.002264261245727539,45,"{1027, 261, 1672, 649, 782, 528, 1298, 18, 1404, 1817, 538, 792, 1693, 803, 1060, 294, 1322, 1581, 565, 1721, 1081, 1476, 1862, 1095, 1100, 977, 850, 1234, 1751, 217, 1625, 729, 90, 1500, 1505, 610, 997, 870, 869, 1776, 113, 1523, 117, 380, 636}"
graph_size_2000_k_0.125,2000,22016,2052,0.002531290054321289,42,"{128, 1670, 1289, 658, 914, 1172, 1300, 1149, 789, 27, 1308, 1405, 1314, 675, 162, 1575, 1449, 1833, 943, 1201, 564, 1335, 1216, 455, 1223, 969, 1490, 1748, 724, 990, 351, 995, 1509, 102, 870, 1643, 1650, 756, 246, 634, 1404, 509}"
graph_size_2100_k_0.125,2100,23266,2371,0.002671480178833008,45,"{256, 1537, 1027, 135, 1162, 1296, 1940, 1435, 1308, 1053, 799, 1567, 35, 1322, 1708, 815, 1848, 184, 699, 1723, 1728, 1089, 1344, 450, 1223, 1609, 842, 1613, 1998, 975, 974, 1363, 85, 1877, 985, 603, 1884, 1761, 1377, 99, 2020, 1259, 1264, 1526, 887}"
graph_size_2200_k_0.125,2200,24522,2343,0.0028390884399414062,47,"{388, 649, 778, 270, 655, 271, 403, 659, 1813, 662, 1815, 1430, 25, 275, 1691, 2080, 549, 37, 1451, 1328, 1969, 1842, 821, 2175, 321, 450, 323, 709, 1992, 585, 1996, 1356, 81, 851, 213, 858, 1114, 1883, 1757, 484, 1509, 108, 1773, 757, 762, 766, 255}"
graph_size_2300_k_0.125,2300,25788,2258,0.002941608428955078,51,"{644, 8, 780, 1294, 15, 2193, 2195, 916, 24, 1820, 2076, 802, 547, 808, 1449, 1705, 1200, 1330, 2229, 826, 1725, 1344, 1728, 1733, 2246, 1994, 716, 77, 460, 1487, 2124, 596, 2005, 854, 472, 602, 1755, 735, 1762, 614, 2282, 1771, 1901, 756, 1140, 2038, 375, 884, 765, 766, 2175}"
graph_size_2400_k_0.125,2400,27050,2330,0.003126382827758789,50,"{2305, 2049, 1799, 1032, 647, 391, 1930, 1549, 1806, 274, 789, 1558, 1050, 927, 1056, 1190, 295, 1319, 425, 1322, 1335, 2104, 314, 1595, 1218, 2115, 450, 2247, 74, 1867, 720, 724, 853, 729, 859, 477, 735, 863, 866, 1378, 482, 2018, 2279, 622, 1135, 112, 1653, 1142, 2171, 2046}"
graph_size_2500_k_0.125,2500,28316,2383,0.003207683563232422,48,"{1027, 1284, 1925, 1285, 1933, 400, 660, 278, 2454, 2328, 1949, 1437, 797, 1821, 159, 2339, 680, 2472, 1197, 2222, 2349, 1842, 52, 192, 706, 453, 1864, 1232, 2000, 215, 984, 2139, 862, 2270, 1760, 1893, 1384, 1257, 2280, 2029, 1647, 885, 374, 1913, 1786, 2428, 1917, 511}"
graph_size_2600_k_0.125,2600,29590,2553,0.0034983158111572266,47,"{129, 2434, 1411, 2563, 645, 1540, 1544, 2313, 137, 525, 1295, 1168, 21, 789, 405, 792, 1436, 672, 549, 2342, 1705, 2096, 1843, 948, 1079, 445, 1984, 68, 1478, 2374, 2251, 1869, 977, 2517, 1239, 1498, 2021, 615, 2159, 367, 497, 2546, 2419, 886, 763, 1277, 127}"
graph_size_2700_k_0.125,2700,30873,2202,0.003484964370727539,48,"{1920, 641, 1156, 773, 260, 5, 1673, 649, 2060, 664, 1434, 1310, 2209, 36, 165, 555, 1068, 815, 2608, 1329, 1077, 437, 2357, 1595, 1986, 1734, 583, 584, 969, 2506, 1864, 2121, 2637, 851, 735, 1375, 1377, 2020, 871, 1256, 872, 491, 2417, 2546, 631, 2040, 763, 1405}"
graph_size_2800_k_0.125,2800,32154,2319,0.003536701202392578,45,"{2176, 1921, 1283, 901, 1414, 2056, 1657, 2326, 153, 2077, 1186, 1315, 549, 2599, 2729, 298, 1453, 2735, 434, 2746, 59, 1087, 2239, 1729, 1220, 2502, 1865, 969, 1359, 2257, 1237, 475, 861, 2785, 610, 2403, 612, 1385, 877, 2157, 885, 886, 1017, 1150, 1279}"
