Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.5,1,2,15,4.649162292480469e-05,1,{0}
graph_size_2_k_0.5,2,4,15,3.0279159545898438e-05,1,{0}
graph_size_3_k_0.5,3,9,86,3.5762786865234375e-05,2,"{1, 2}"
graph_size_4_k_0.5,4,12,88,3.1948089599609375e-05,2,"{0, 3}"
graph_size_5_k_0.5,5,18,159,3.337860107421875e-05,3,"{1, 2, 3}"
graph_size_6_k_0.5,6,22,106,3.337860107421875e-05,3,"{1, 2, 4}"
graph_size_7_k_0.5,7,26,145,3.504753112792969e-05,3,"{1, 3, 4}"
graph_size_8_k_0.5,8,28,38,3.5762786865234375e-05,2,"{0, 5}"
graph_size_9_k_0.5,9,35,150,3.600120544433594e-05,3,"{0, 3, 6}"
graph_size_10_k_0.5,10,40,127,3.647804260253906e-05,3,"{0, 8, 7}"
graph_size_11_k_0.5,11,45,127,3.838539123535156e-05,3,"{0, 8, 7}"
graph_size_12_k_0.5,12,50,140,3.933906555175781e-05,3,"{0, 9, 6}"
graph_size_13_k_0.5,13,57,236,3.9577484130859375e-05,4,"{8, 10, 12, 6}"
graph_size_14_k_0.5,14,64,285,4.029273986816406e-05,5,"{6, 8, 11, 12, 13}"
graph_size_15_k_0.5,15,67,288,4.267692565917969e-05,4,"{9, 13, 6, 7}"
graph_size_16_k_0.5,16,72,325,4.1961669921875e-05,4,"{10, 13, 6, 7}"
graph_size_17_k_0.5,17,82,195,5.650520324707031e-05,6,"{4, 5, 11, 14, 15, 16}"
graph_size_18_k_0.5,18,88,304,4.6253204345703125e-05,6,"{5, 9, 11, 12, 13, 14}"
graph_size_19_k_0.5,19,89,227,4.38690185546875e-05,4,"{10, 4, 14, 7}"
graph_size_20_k_0.5,20,99,181,6.318092346191406e-05,6,"{3, 4, 8, 17, 18, 19}"
graph_size_21_k_0.5,21,105,263,5.245208740234375e-05,6,"{4, 6, 8, 9, 11, 19}"
graph_size_22_k_0.5,22,109,247,4.76837158203125e-05,5,"{3, 4, 6, 7, 16}"
graph_size_23_k_0.5,23,113,171,4.863739013671875e-05,4,"{19, 9, 3, 0}"
graph_size_24_k_0.5,24,123,262,5.1975250244140625e-05,6,"{0, 3, 6, 7, 16, 18}"
graph_size_25_k_0.5,25,125,181,4.9591064453125e-05,4,"{19, 17, 3, 22}"
graph_size_26_k_0.5,26,135,315,5.650520324707031e-05,6,"{3, 5, 9, 15, 19, 25}"
graph_size_27_k_0.5,27,139,181,5.435943603515625e-05,5,"{3, 5, 15, 18, 19}"
graph_size_28_k_0.5,28,147,288,5.555152893066406e-05,6,"{2, 12, 13, 14, 17, 23}"
graph_size_29_k_0.5,29,151,154,6.556510925292969e-05,5,"{5, 8, 11, 18, 21}"
graph_size_30_k_0.5,30,160,254,5.698204040527344e-05,6,"{2, 4, 13, 19, 23, 24}"
graph_size_31_k_0.5,31,166,258,7.152557373046875e-05,6,"{2, 4, 11, 12, 25, 26}"
graph_size_32_k_0.5,32,170,319,6.985664367675781e-05,5,"{2, 4, 10, 22, 25}"
graph_size_33_k_0.5,33,179,226,8.487701416015625e-05,6,"{2, 4, 8, 12, 22, 28}"
graph_size_34_k_0.5,34,183,297,6.341934204101562e-05,5,"{2, 6, 9, 11, 22}"
graph_size_35_k_0.5,35,192,297,6.246566772460938e-05,6,"{2, 4, 9, 19, 22, 23}"
graph_size_36_k_0.5,36,197,263,6.103515625e-05,5,"{35, 9, 10, 27, 31}"
graph_size_37_k_0.5,37,207,312,6.628036499023438e-05,7,"{3, 6, 8, 10, 17, 19, 24}"
graph_size_38_k_0.5,38,214,261,6.628036499023438e-05,7,"{2, 37, 8, 16, 17, 20, 23}"
graph_size_39_k_0.5,39,221,451,6.604194641113281e-05,7,"{32, 3, 37, 11, 22, 25, 28}"
graph_size_40_k_0.5,40,227,406,7.009506225585938e-05,7,"{32, 2, 3, 35, 7, 9, 14}"
graph_size_41_k_0.5,41,230,320,7.104873657226562e-05,5,"{3, 37, 7, 8, 25}"
