Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.5,100,677,498,0.0002624988555908203,6,"{97, 70, 10, 77, 55, 25}"
graph_size_200_k_0.5,200,1543,554,0.0005118846893310547,7,"{64, 139, 172, 22, 56, 152, 127}"
graph_size_300_k_0.5,300,2487,648,0.0006971359252929688,9,"{99, 293, 202, 108, 273, 242, 119, 58, 60}"
graph_size_400_k_0.5,400,3476,782,0.0009565353393554688,9,"{130, 323, 296, 138, 10, 335, 186, 123, 317}"
graph_size_500_k_0.5,500,4501,695,0.0012502670288085938,9,"{1, 312, 323, 135, 296, 23, 440, 283, 476}"
graph_size_600_k_0.5,600,5560,794,0.001547098159790039,11,"{323, 39, 10, 459, 314, 173, 239, 19, 214, 184, 538}"
graph_size_700_k_0.5,700,6636,822,0.0017428398132324219,10,"{610, 547, 356, 296, 172, 369, 601, 283, 31, 191}"
graph_size_800_k_0.5,800,7732,748,0.001974821090698242,8,"{97, 711, 746, 335, 628, 538, 411, 348}"
graph_size_900_k_0.5,900,8853,897,0.002263307571411133,10,"{676, 837, 520, 10, 172, 306, 887, 792, 665, 538}"
graph_size_1000_k_0.5,1000,9988,862,0.0026063919067382812,11,"{353, 963, 676, 261, 765, 432, 273, 119, 569, 93, 191}"
graph_size_1100_k_0.5,1100,11136,959,0.002730846405029297,11,"{98, 422, 711, 811, 588, 12, 500, 53, 119, 317, 191}"
graph_size_1200_k_0.5,1200,12293,736,0.0029904842376708984,9,"{963, 361, 242, 787, 1079, 119, 56, 313, 1021}"
graph_size_1300_k_0.5,1300,13472,979,0.0033893585205078125,12,"{514, 422, 967, 742, 1097, 106, 727, 1135, 1077, 23, 601, 218}"
graph_size_1400_k_0.5,1400,14650,853,0.0034902095794677734,9,"{963, 1382, 237, 1359, 283, 1397, 949, 1370, 731}"
graph_size_1500_k_0.5,1500,15847,942,0.0037012100219726562,10,"{1185, 1251, 711, 1097, 1482, 1100, 1457, 1013, 1430, 1401}"
graph_size_1600_k_0.5,1600,17051,952,0.004100799560546875,10,"{97, 963, 1540, 837, 138, 883, 948, 955, 1438, 1567}"
graph_size_1700_k_0.5,1700,18264,903,0.004197120666503906,10,"{1600, 1509, 967, 554, 842, 1326, 119, 56, 60, 541}"
graph_size_1800_k_0.5,1800,19483,842,0.004490375518798828,9,"{1251, 1124, 1669, 746, 106, 298, 529, 948, 731}"
graph_size_1900_k_0.5,1900,20721,1146,0.004806041717529297,13,"{1251, 867, 1861, 1766, 1591, 842, 1452, 1359, 1744, 113, 119, 1466, 311}"
graph_size_2000_k_0.5,2000,21952,907,0.004906654357910156,10,"{1987, 963, 1251, 1063, 459, 302, 51, 471, 1626, 1245}"
graph_size_2100_k_0.5,2100,23200,956,0.005238056182861328,12,"{224, 1090, 520, 746, 554, 877, 1454, 273, 2003, 1716, 119, 731}"
graph_size_2200_k_0.5,2200,24450,1050,0.005523681640625,11,"{1472, 1856, 1697, 1830, 1511, 1352, 10, 76, 1877, 376, 93}"
graph_size_2300_k_0.5,2300,25710,1045,0.00579380989074707,12,"{1830, 967, 1511, 1161, 2221, 607, 1614, 2290, 1397, 920, 2013, 127}"
graph_size_2400_k_0.5,2400,26972,958,0.006192922592163086,11,"{354, 422, 10, 554, 138, 2251, 302, 369, 1974, 1180, 1567}"
graph_size_2500_k_0.5,2500,28244,1060,0.006369113922119141,12,"{1697, 963, 293, 902, 1511, 2119, 2097, 1715, 56, 2169, 1245, 1662}"
graph_size_2600_k_0.5,2600,29518,1045,0.006717681884765625,11,"{1830, 198, 459, 428, 237, 2095, 529, 1811, 1397, 792, 2013}"
graph_size_2700_k_0.5,2700,30801,1045,0.007094383239746094,12,"{323, 2312, 2445, 273, 1779, 1013, 1974, 1687, 1976, 1145, 90, 2267}"
graph_size_2800_k_0.5,2800,32084,923,0.006921052932739258,10,"{257, 1251, 1540, 1639, 2218, 817, 411, 1974, 2649, 731}"
graph_size_2900_k_0.5,2900,33380,1070,0.007431983947753906,12,"{2848, 676, 902, 2216, 1384, 10, 811, 2416, 2133, 152, 2265, 574}"
graph_size_3000_k_0.5,3000,34673,927,0.007391929626464844,10,"{2848, 2945, 2081, 2341, 1830, 2661, 1926, 2064, 1245, 1567}"
graph_size_3100_k_0.5,3100,35980,1132,0.008093595504760742,13,"{1600, 1761, 811, 2283, 1549, 1775, 2612, 1397, 1366, 152, 1241, 1467, 1308}"
graph_size_3200_k_0.5,3200,37283,989,0.007984399795532227,11,"{323, 967, 1352, 1916, 138, 3068, 302, 2320, 1459, 1048, 1308}"
graph_size_3300_k_0.5,3300,38594,1016,0.008876323699951172,11,"{1669, 358, 1161, 2156, 237, 2542, 3218, 2841, 2169, 3101, 1913}"
graph_size_3400_k_0.5,3400,39909,1034,0.00870203971862793,11,"{904, 10, 3374, 2013, 1424, 1715, 2237, 56, 2971, 2556, 541}"
graph_size_3500_k_0.5,3500,41228,1035,0.008701801300048828,11,"{3233, 1669, 390, 1738, 2610, 1715, 3218, 3091, 2649, 1594, 731}"
