Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.25,1,2,15,4.792213439941406e-05,1,{0}
graph_size_2_k_0.25,2,4,52,3.457069396972656e-05,1,{1}
graph_size_3_k_0.25,3,9,86,3.4332275390625e-05,2,"{1, 2}"
graph_size_4_k_0.25,4,14,122,3.504753112792969e-05,3,"{0, 2, 3}"
graph_size_5_k_0.25,5,20,179,3.7670135498046875e-05,4,"{1, 2, 3, 4}"
graph_size_6_k_0.25,6,22,159,3.9577484130859375e-05,3,"{1, 2, 3}"
graph_size_7_k_0.25,7,26,187,4.458427429199219e-05,3,"{1, 3, 6}"
graph_size_8_k_0.25,8,30,171,4.482269287109375e-05,3,"{3, 4, 7}"
graph_size_9_k_0.25,9,39,262,4.76837158203125e-05,5,"{0, 3, 6, 7, 8}"
graph_size_10_k_0.25,10,44,242,5.245208740234375e-05,5,"{1, 2, 3, 4, 9}"
graph_size_11_k_0.25,11,49,298,5.364418029785156e-05,5,"{1, 2, 7, 8, 10}"
graph_size_12_k_0.25,12,52,226,5.2928924560546875e-05,4,"{1, 2, 6, 7}"
graph_size_13_k_0.25,13,59,286,5.459785461425781e-05,5,"{0, 3, 8, 10, 11}"
graph_size_14_k_0.25,14,66,424,5.7220458984375e-05,6,"{7, 8, 9, 10, 11, 13}"
graph_size_15_k_0.25,15,71,352,6.079673767089844e-05,6,"{0, 6, 7, 8, 9, 10}"
graph_size_16_k_0.25,16,76,422,6.151199340820312e-05,6,"{6, 7, 8, 9, 10, 13}"
graph_size_17_k_0.25,17,84,399,8.034706115722656e-05,7,"{6, 10, 11, 13, 14, 15, 16}"
graph_size_18_k_0.25,18,92,423,6.866455078125e-05,8,"{5, 9, 10, 11, 13, 14, 15, 16}"
graph_size_19_k_0.25,19,95,332,7.033348083496094e-05,7,"{0, 5, 6, 7, 10, 12, 16}"
graph_size_20_k_0.25,20,99,360,7.2479248046875e-05,6,"{7, 9, 10, 13, 16, 18}"
graph_size_21_k_0.25,21,105,333,7.295608520507812e-05,6,"{3, 7, 9, 11, 19, 20}"
graph_size_22_k_0.25,22,115,436,7.963180541992188e-05,8,"{4, 6, 7, 9, 10, 13, 16, 17}"
graph_size_23_k_0.25,23,123,464,7.915496826171875e-05,9,"{4, 6, 7, 8, 9, 11, 13, 15, 21}"
graph_size_24_k_0.25,24,127,479,8.177757263183594e-05,8,"{3, 7, 10, 11, 13, 15, 16, 18}"
graph_size_25_k_0.25,25,133,461,8.273124694824219e-05,8,"{3, 6, 10, 12, 13, 17, 21, 22}"
graph_size_26_k_0.25,26,139,453,8.630752563476562e-05,8,"{3, 9, 10, 11, 15, 17, 19, 22}"
graph_size_27_k_0.25,27,147,455,8.702278137207031e-05,9,"{3, 4, 5, 6, 9, 14, 18, 22, 25}"
graph_size_28_k_0.25,28,151,486,8.893013000488281e-05,8,"{0, 6, 7, 10, 12, 16, 23, 25}"
graph_size_29_k_0.25,29,155,476,8.96453857421875e-05,7,"{3, 6, 10, 13, 15, 18, 25}"
graph_size_30_k_0.25,30,164,522,9.393692016601562e-05,8,"{5, 7, 10, 13, 15, 17, 23, 25}"
