Algorithm,Average Deviation,Maximum Deviation,Accuracy,k
WDMix - Weight to Degree,17.76923076923077,142,0.48717948717948717,0.125
Monte Carlo,0.0,0,1.0,0.125
PHMC,4.051282051282051,36,0.6666666666666666,0.125
Simulated Annealing,26.28205128205128,128,0.5641025641025641,0.125
WDMix - Weight to Degree,26.581818181818182,200,0.43636363636363634,0.25
Monte Carlo,1.5272727272727273,26,0.9090909090909091,0.25
PHMC,1.4363636363636363,24,0.9090909090909091,0.25
Simulated Annealing,47.81818181818182,232,0.41818181818181815,0.25
WDMix - Weight to Degree,46.720338983050844,197,0.23728813559322035,0.5
Monte Carlo,3.4915254237288136,41,0.7542372881355932,0.5
PHMC,0.9491525423728814,29,0.8983050847457628,0.5
Simulated Annealing,63.17796610169491,224,0.2542372881355932,0.5
WDMix - Weight to Degree,58.88235294117647,207,0.17647058823529413,0.75
Monte Carlo,4.487394957983193,88,0.8151260504201681,0.75
PHMC,0.8319327731092437,63,0.9453781512605042,0.75
Simulated Annealing,61.89915966386555,232,0.18907563025210083,0.75
