Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
100,689,987,0.0019996166229248047,"{70, 39, 10, 44, 77, 13, 80, 50, 83, 51, 53, 56}"
200,1551,980,0.0009996891021728516,"{97, 162, 101, 6, 168, 10, 138, 108, 83, 148, 119}"
300,2499,1233,0.0030002593994140625,"{196, 69, 296, 10, 235, 273, 113, 242, 51, 53, 55, 119, 56, 151, 152}"
400,3490,1379,0.004000663757324219,"{131, 376, 166, 70, 296, 10, 138, 140, 108, 273, 93, 56, 186, 123, 152, 383}"
500,4519,1583,0.00400090217590332,"{161, 323, 420, 422, 198, 10, 138, 459, 205, 381, 371, 23, 119, 152, 281, 59, 93, 63}"
600,5570,1372,0.0039980411529541016,"{257, 162, 323, 516, 296, 10, 300, 46, 208, 529, 369, 371, 433, 119, 56, 152}"
700,6648,1373,0.0039997100830078125,"{257, 386, 422, 10, 555, 172, 493, 140, 141, 273, 564, 53, 119, 56, 538, 283}"
800,7758,1778,0.003000020980834961,"{642, 10, 138, 270, 532, 152, 538, 283, 667, 296, 56, 71, 588, 77, 83, 601, 731, 97, 361, 234, 249}"
900,8869,1536,0.0039997100830078125,"{608, 610, 392, 10, 811, 459, 237, 880, 529, 145, 309, 406, 119, 56, 538, 187, 286, 127}"
1000,10008,1648,0.0054666996002197266,"{768, 258, 10, 138, 639, 792, 152, 929, 676, 933, 422, 811, 444, 323, 594, 83, 741, 102, 493, 369, 127}"
1100,11160,1898,0.004997730255126953,"{10, 653, 923, 288, 932, 554, 428, 689, 50, 56, 963, 580, 334, 731, 604, 475, 106, 879, 369, 499, 630, 376, 124}"
1200,12315,1658,0.009254693984985352,"{1155, 10, 273, 152, 283, 160, 801, 676, 811, 431, 56, 1097, 853, 218, 731, 739, 752, 119, 376, 895}"
1300,13490,1702,0.003762960433959961,"{255, 1161, 10, 1036, 538, 541, 422, 811, 685, 177, 698, 578, 963, 468, 214, 731, 485, 1135, 119, 377, 511}"
1400,14676,1852,0.004999399185180664,"{1284, 10, 140, 401, 1308, 1183, 422, 296, 53, 1080, 1342, 578, 967, 1227, 588, 1104, 723, 731, 1251, 1014, 119, 381}"
1500,15871,1811,0.004001617431640625,"{902, 519, 10, 273, 662, 547, 1317, 172, 822, 56, 186, 323, 201, 331, 731, 607, 225, 487, 1013, 501, 373, 127}"
1600,17075,1878,0.00580596923828125,"{1281, 10, 273, 152, 27, 1308, 422, 428, 431, 1590, 1336, 1340, 317, 63, 1094, 1352, 462, 731, 1383, 1385, 370, 127}"
