Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.5,1,2,15,5.1021575927734375e-05,1,{0}
graph_size_2_k_0.5,2,4,52,1.0967254638671875e-05,1,{1}
graph_size_3_k_0.5,3,9,86,9.775161743164062e-06,2,"{1, 2}"
graph_size_4_k_0.5,4,12,125,9.775161743164062e-06,2,"{1, 3}"
graph_size_5_k_0.5,5,18,159,1.1682510375976562e-05,3,"{1, 2, 3}"
graph_size_6_k_0.5,6,20,125,1.0251998901367188e-05,2,"{1, 3}"
graph_size_7_k_0.5,7,26,187,1.3589859008789062e-05,3,"{1, 3, 6}"
graph_size_8_k_0.5,8,28,112,1.2159347534179688e-05,2,"{2, 7}"
graph_size_9_k_0.5,9,35,155,1.2874603271484375e-05,3,"{0, 6, 7}"
graph_size_10_k_0.5,10,40,155,1.2874603271484375e-05,3,"{0, 6, 7}"
graph_size_11_k_0.5,11,47,264,1.4066696166992188e-05,4,"{8, 1, 10, 7}"
graph_size_12_k_0.5,12,50,240,1.5497207641601562e-05,3,"{10, 6, 7}"
graph_size_13_k_0.5,13,55,207,1.430511474609375e-05,3,"{8, 10, 3}"
graph_size_14_k_0.5,14,62,326,1.5497207641601562e-05,4,"{9, 10, 13, 7}"
graph_size_15_k_0.5,15,67,303,1.7404556274414062e-05,4,"{9, 10, 6, 7}"
graph_size_16_k_0.5,16,72,325,1.6450881958007812e-05,4,"{10, 13, 6, 7}"
graph_size_17_k_0.5,17,78,320,1.71661376953125e-05,4,"{10, 3, 13, 6}"
graph_size_18_k_0.5,18,86,288,1.9550323486328125e-05,5,"{3, 5, 9, 10, 14}"
graph_size_19_k_0.5,19,89,235,1.9073486328125e-05,4,"{10, 2, 5, 7}"
graph_size_20_k_0.5,20,97,312,2.6702880859375e-05,5,"{3, 4, 8, 10, 13}"
graph_size_21_k_0.5,21,101,314,2.4318695068359375e-05,4,"{9, 10, 3, 7}"
graph_size_22_k_0.5,22,107,212,2.2172927856445312e-05,4,"{16, 10, 4, 7}"
graph_size_23_k_0.5,23,113,260,2.193450927734375e-05,4,"{10, 4, 6, 7}"
graph_size_24_k_0.5,24,121,350,3.266334533691406e-05,5,"{3, 7, 10, 13, 16}"
graph_size_25_k_0.5,25,127,349,2.288818359375e-05,5,"{3, 6, 10, 12, 22}"
graph_size_26_k_0.5,26,129,251,2.7179718017578125e-05,3,"{10, 3, 7}"
graph_size_27_k_0.5,27,139,338,2.956390380859375e-05,5,"{3, 5, 7, 10, 11}"
graph_size_28_k_0.5,28,143,313,2.5987625122070312e-05,4,"{10, 3, 6, 7}"
graph_size_29_k_0.5,29,151,297,2.6941299438476562e-05,5,"{2, 6, 10, 25, 27}"
graph_size_30_k_0.5,30,158,255,2.6464462280273438e-05,5,"{2, 10, 19, 25, 27}"
graph_size_31_k_0.5,31,164,364,3.147125244140625e-05,5,"{7, 10, 13, 25, 27}"
graph_size_32_k_0.5,32,172,397,3.0040740966796875e-05,6,"{7, 10, 13, 14, 16, 25}"
graph_size_33_k_0.5,33,177,301,3.1948089599609375e-05,5,"{10, 15, 25, 28, 30}"
graph_size_34_k_0.5,34,181,316,3.075599670410156e-05,4,"{10, 15, 13, 23}"
graph_size_35_k_0.5,35,190,382,4.00543212890625e-05,5,"{4, 10, 13, 23, 25}"
graph_size_36_k_0.5,36,197,349,5.1021575927734375e-05,5,"{9, 10, 23, 24, 25}"
graph_size_37_k_0.5,37,201,291,3.123283386230469e-05,4,"{25, 10, 17, 23}"
graph_size_38_k_0.5,38,212,353,3.147125244140625e-05,6,"{2, 8, 10, 11, 20, 23}"
graph_size_39_k_0.5,39,217,346,3.2901763916015625e-05,5,"{3, 10, 13, 16, 22}"
graph_size_40_k_0.5,40,225,436,3.886222839355469e-05,6,"{3, 35, 7, 9, 10, 22}"
graph_size_41_k_0.5,41,232,457,3.361701965332031e-05,6,"{32, 3, 7, 8, 10, 25}"
graph_size_42_k_0.5,42,237,406,3.314018249511719e-05,5,"{34, 6, 7, 10, 25}"
graph_size_43_k_0.5,43,246,360,3.457069396972656e-05,6,"{3, 10, 15, 24, 25, 31}"
graph_size_44_k_0.5,44,253,394,3.528594970703125e-05,6,"{3, 37, 7, 10, 21, 23}"
graph_size_45_k_0.5,45,262,536,3.528594970703125e-05,7,"{3, 7, 39, 9, 10, 13, 25}"
graph_size_46_k_0.5,46,267,427,3.743171691894531e-05,6,"{32, 7, 10, 45, 22, 29}"
graph_size_47_k_0.5,47,272,267,3.552436828613281e-05,5,"{35, 10, 46, 20, 22}"
graph_size_48_k_0.5,48,279,348,3.6716461181640625e-05,5,"{3, 4, 10, 11, 25}"
graph_size_49_k_0.5,49,288,334,3.9577484130859375e-05,6,"{32, 4, 10, 47, 17, 25}"
graph_size_50_k_0.5,50,295,391,3.886222839355469e-05,6,"{32, 34, 6, 10, 46, 48}"
graph_size_51_k_0.5,51,302,424,3.933906555175781e-05,6,"{32, 34, 35, 7, 10, 31}"
graph_size_52_k_0.5,52,307,349,3.8623809814453125e-05,5,"{3, 10, 50, 24, 29}"
graph_size_53_k_0.5,53,316,448,3.838539123535156e-05,6,"{5, 10, 13, 48, 23, 25}"
graph_size_54_k_0.5,54,323,354,5.4836273193359375e-05,6,"{7, 8, 10, 53, 21, 31}"
graph_size_55_k_0.5,55,328,386,3.981590270996094e-05,5,"{10, 12, 44, 50, 53}"
graph_size_56_k_0.5,56,334,361,3.933906555175781e-05,4,"{25, 10, 50, 34}"
graph_size_57_k_0.5,57,345,383,4.172325134277344e-05,6,"{36, 10, 44, 16, 50, 56}"
graph_size_58_k_0.5,58,352,425,4.172325134277344e-05,6,"{34, 37, 40, 10, 15, 50}"
graph_size_59_k_0.5,59,356,277,4.100799560546875e-05,4,"{40, 10, 28, 53}"
graph_size_60_k_0.5,60,367,379,4.315376281738281e-05,6,"{35, 10, 45, 51, 52, 29}"
graph_size_61_k_0.5,61,376,493,4.363059997558594e-05,7,"{5, 9, 10, 50, 56, 25, 57}"
graph_size_62_k_0.5,62,382,544,4.506111145019531e-05,6,"{10, 22, 23, 56, 25, 59}"
graph_size_63_k_0.5,63,387,346,4.3392181396484375e-05,5,"{33, 10, 14, 53, 56}"
graph_size_64_k_0.5,64,396,429,4.649162292480469e-05,6,"{1, 10, 43, 48, 58, 63}"
graph_size_65_k_0.5,65,402,407,4.506111145019531e-05,5,"{10, 53, 23, 25, 62}"
graph_size_66_k_0.5,66,409,463,4.696846008300781e-05,5,"{32, 10, 50, 25, 63}"
graph_size_67_k_0.5,67,419,429,4.673004150390625e-05,6,"{41, 10, 53, 23, 63, 31}"
graph_size_68_k_0.5,68,426,405,4.76837158203125e-05,6,"{1, 4, 39, 10, 25, 63}"
graph_size_69_k_0.5,69,432,406,4.887580871582031e-05,5,"{10, 11, 52, 56, 63}"
graph_size_70_k_0.5,70,442,517,5.0067901611328125e-05,6,"{10, 11, 51, 53, 58, 63}"
graph_size_71_k_0.5,71,449,535,4.887580871582031e-05,6,"{10, 13, 48, 56, 25, 63}"
graph_size_72_k_0.5,72,457,436,4.863739013671875e-05,6,"{2, 4, 10, 23, 56, 63}"
graph_size_73_k_0.5,73,464,447,4.935264587402344e-05,6,"{37, 9, 10, 11, 13, 25}"
graph_size_74_k_0.5,74,472,458,5.3882598876953125e-05,6,"{65, 10, 11, 43, 59, 63}"
graph_size_75_k_0.5,75,482,566,5.245208740234375e-05,7,"{70, 10, 22, 23, 56, 59, 60}"
graph_size_76_k_0.5,76,485,410,5.1975250244140625e-05,5,"{1, 9, 10, 50, 56}"
graph_size_77_k_0.5,77,493,449,5.269050598144531e-05,5,"{9, 10, 50, 51, 56}"
graph_size_78_k_0.5,78,503,464,5.412101745605469e-05,6,"{9, 10, 51, 22, 59, 62}"
graph_size_79_k_0.5,79,510,446,5.316734313964844e-05,6,"{10, 44, 15, 50, 56, 31}"
graph_size_80_k_0.5,80,518,412,5.4836273193359375e-05,6,"{1, 10, 76, 48, 56, 61}"
graph_size_81_k_0.5,81,524,378,5.412101745605469e-05,5,"{10, 51, 21, 22, 56}"
graph_size_82_k_0.5,82,536,449,5.698204040527344e-05,7,"{66, 7, 9, 10, 51, 56, 26}"
graph_size_83_k_0.5,83,542,493,5.6743621826171875e-05,6,"{40, 10, 77, 56, 58, 60}"
graph_size_84_k_0.5,84,547,382,5.5789947509765625e-05,5,"{36, 10, 50, 23, 25}"
graph_size_85_k_0.5,85,559,454,5.817413330078125e-05,7,"{34, 10, 42, 76, 77, 80, 54}"
graph_size_86_k_0.5,86,565,467,5.841255187988281e-05,6,"{32, 3, 10, 83, 19, 56}"
graph_size_87_k_0.5,87,575,581,5.8650970458984375e-05,7,"{32, 3, 40, 10, 76, 22, 56}"
graph_size_88_k_0.5,88,581,420,5.91278076171875e-05,6,"{67, 10, 76, 83, 30, 63}"
graph_size_89_k_0.5,89,591,487,7.033348083496094e-05,7,"{10, 79, 81, 50, 19, 56, 59}"
graph_size_90_k_0.5,90,597,440,6.532669067382812e-05,6,"{32, 10, 20, 86, 56, 62}"
graph_size_91_k_0.5,91,605,455,6.461143493652344e-05,6,"{10, 77, 81, 50, 17, 59}"
graph_size_92_k_0.5,92,615,467,7.176399230957031e-05,7,"{10, 74, 80, 83, 21, 56, 59}"
graph_size_93_k_0.5,93,623,589,7.62939453125e-05,7,"{3, 10, 77, 50, 86, 56, 31}"
graph_size_94_k_0.5,94,629,442,7.176399230957031e-05,6,"{10, 77, 46, 50, 83, 52}"
graph_size_95_k_0.5,95,637,535,6.890296936035156e-05,6,"{7, 10, 22, 23, 56, 93}"
graph_size_96_k_0.5,96,647,522,9.012222290039062e-05,7,"{3, 9, 10, 73, 13, 50, 56}"
graph_size_97_k_0.5,97,653,456,6.723403930664062e-05,6,"{37, 70, 7, 10, 22, 93}"
graph_size_98_k_0.5,98,659,425,6.413459777832031e-05,5,"{10, 77, 86, 60, 63}"
graph_size_99_k_0.5,99,671,568,6.794929504394531e-05,7,"{65, 7, 10, 50, 53, 56, 31}"
graph_size_100_k_0.5,100,679,512,6.747245788574219e-05,7,"{97, 66, 70, 10, 44, 77, 25}"
