Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
1,2,15,0.0,{0}
2,4,52,0.0,{1}
3,9,86,0.0,"{1, 2}"
4,12,125,0.0,"{1, 3}"
5,18,159,0.0,"{1, 2, 3}"
6,20,125,0.0,"{1, 3}"
7,26,187,0.0,"{1, 3, 6}"
8,28,112,0.0,"{2, 7}"
9,35,155,0.0,"{0, 6, 7}"
10,40,155,0.0,"{0, 6, 7}"
11,47,264,0.0,"{8, 1, 10, 7}"
12,50,240,0.0,"{10, 6, 7}"
13,55,207,0.0,"{8, 10, 3}"
14,62,326,0.0,"{9, 10, 13, 7}"
15,67,303,0.0,"{9, 10, 6, 7}"
16,72,325,0.0,"{10, 13, 6, 7}"
17,78,320,0.0,"{10, 3, 13, 6}"
18,86,288,0.0,"{3, 5, 9, 10, 14}"
19,89,235,0.0,"{10, 2, 5, 7}"
20,97,312,0.0009989738464355469,"{3, 4, 8, 10, 13}"
21,101,314,0.0,"{9, 10, 3, 7}"
22,107,212,0.0,"{16, 10, 4, 7}"
23,113,260,0.0,"{10, 4, 6, 7}"
24,121,350,0.0,"{3, 7, 10, 13, 16}"
25,127,349,0.0,"{3, 6, 10, 12, 22}"
26,129,251,0.0,"{10, 3, 7}"
27,139,338,0.0,"{3, 5, 7, 10, 11}"
28,143,313,0.0,"{10, 3, 6, 7}"
29,151,297,0.0,"{2, 6, 10, 25, 27}"
30,158,255,0.0,"{2, 10, 19, 25, 27}"
31,164,364,0.0,"{7, 10, 13, 25, 27}"
32,172,397,0.0,"{7, 10, 13, 14, 16, 25}"
33,177,301,0.0,"{10, 15, 25, 28, 30}"
34,181,316,0.0,"{10, 15, 13, 23}"
35,190,382,0.0,"{4, 10, 13, 23, 25}"
36,197,349,0.0,"{9, 10, 23, 24, 25}"
37,201,291,0.0,"{25, 10, 17, 23}"
38,212,353,0.0,"{2, 8, 10, 11, 20, 23}"
39,217,346,0.0,"{3, 10, 13, 16, 22}"
40,225,436,0.0,"{3, 35, 7, 9, 10, 22}"
41,232,457,0.0,"{32, 3, 7, 8, 10, 25}"
42,237,406,0.0,"{34, 6, 7, 10, 25}"
43,246,360,0.0009999275207519531,"{3, 10, 15, 24, 25, 31}"
44,253,394,0.0,"{3, 37, 7, 10, 21, 23}"
45,262,536,0.0,"{3, 7, 39, 9, 10, 13, 25}"
46,267,427,0.0,"{32, 7, 10, 45, 22, 29}"
47,272,267,0.0,"{35, 10, 46, 20, 22}"
48,279,348,0.0,"{3, 4, 10, 11, 25}"
49,288,334,0.0,"{32, 4, 10, 47, 17, 25}"
50,295,391,0.0,"{32, 34, 6, 10, 46, 48}"
51,302,424,0.0,"{32, 34, 35, 7, 10, 31}"
52,307,349,0.0,"{3, 10, 50, 24, 29}"
53,316,448,0.0,"{5, 10, 13, 48, 23, 25}"
54,323,354,0.0,"{7, 8, 10, 53, 21, 31}"
55,328,386,0.0,"{10, 12, 44, 50, 53}"
56,334,361,0.0,"{25, 10, 50, 34}"
57,345,383,0.0,"{36, 10, 44, 16, 50, 56}"
58,352,425,0.0,"{34, 37, 40, 10, 15, 50}"
59,356,277,0.0,"{40, 10, 28, 53}"
60,367,379,0.0,"{35, 10, 45, 51, 52, 29}"
61,376,493,0.0,"{5, 9, 10, 50, 56, 25, 57}"
62,382,544,0.0,"{10, 22, 23, 56, 25, 59}"
63,387,346,0.0,"{33, 10, 14, 53, 56}"
64,396,429,0.0,"{1, 10, 43, 48, 58, 63}"
65,402,407,0.0,"{10, 53, 23, 25, 62}"
66,409,463,0.0,"{32, 10, 50, 25, 63}"
67,419,429,0.0,"{41, 10, 53, 23, 63, 31}"
68,426,405,0.0,"{1, 4, 39, 10, 25, 63}"
69,432,406,0.0,"{10, 11, 52, 56, 63}"
70,442,517,0.0,"{10, 11, 51, 53, 58, 63}"
71,449,535,0.0,"{10, 13, 48, 56, 25, 63}"
72,457,436,0.0,"{2, 4, 10, 23, 56, 63}"
73,464,447,0.0,"{37, 9, 10, 11, 13, 25}"
74,472,458,0.0,"{65, 10, 11, 43, 59, 63}"
75,482,566,0.0,"{70, 10, 22, 23, 56, 59, 60}"
76,485,410,0.0009992122650146484,"{1, 9, 10, 50, 56}"
77,493,449,0.0,"{9, 10, 50, 51, 56}"
78,503,464,0.0,"{9, 10, 51, 22, 59, 62}"
79,510,446,0.0,"{10, 44, 15, 50, 56, 31}"
80,518,412,0.0,"{1, 10, 76, 48, 56, 61}"
81,524,378,0.0,"{10, 51, 21, 22, 56}"
82,536,449,0.0,"{66, 7, 9, 10, 51, 56, 26}"
83,542,493,0.0,"{40, 10, 77, 56, 58, 60}"
84,547,382,0.0,"{36, 10, 50, 23, 25}"
85,559,454,0.0,"{34, 10, 42, 76, 77, 80, 54}"
86,565,467,0.0,"{32, 3, 10, 83, 19, 56}"
87,575,581,0.0,"{32, 3, 40, 10, 76, 22, 56}"
88,581,420,0.0,"{67, 10, 76, 83, 30, 63}"
89,591,487,0.0,"{10, 79, 81, 50, 19, 56, 59}"
90,597,440,0.0010001659393310547,"{32, 10, 20, 86, 56, 62}"
91,605,455,0.0,"{10, 77, 81, 50, 17, 59}"
92,615,467,0.0,"{10, 74, 80, 83, 21, 56, 59}"
93,623,589,0.0,"{3, 10, 77, 50, 86, 56, 31}"
94,629,442,0.0,"{10, 77, 46, 50, 83, 52}"
95,637,535,0.0,"{7, 10, 22, 23, 56, 93}"
96,647,522,0.0,"{3, 9, 10, 73, 13, 50, 56}"
97,653,456,0.0,"{37, 70, 7, 10, 22, 93}"
98,659,425,0.0,"{10, 77, 86, 60, 63}"
99,671,568,0.0,"{65, 7, 10, 50, 53, 56, 31}"
100,679,512,0.0,"{97, 66, 70, 10, 44, 77, 25}"
101,683,410,0.0,"{32, 8, 10, 50, 56}"
102,693,472,0.0,"{3, 10, 77, 50, 19, 23}"
103,699,427,0.0,"{32, 10, 55, 25, 93}"
104,707,417,0.0,"{32, 10, 77, 15, 83}"
105,717,419,0.0,"{3, 68, 10, 13, 80, 50}"
106,724,427,0.0,"{10, 25, 93, 62, 63}"
107,736,485,0.0,"{2, 71, 10, 45, 50, 53, 59}"
108,744,502,0.0,"{64, 97, 10, 106, 50, 24, 93}"
109,752,480,0.0,"{10, 51, 84, 54, 56, 25, 92}"
110,760,584,0.0,"{102, 10, 106, 77, 51, 56, 30}"
111,767,440,0.0,"{10, 108, 56, 60, 93, 95}"
112,779,481,0.0,"{101, 8, 10, 45, 61, 59, 93, 31}"
113,783,368,0.0,"{72, 73, 10, 11, 51, 56}"
114,789,461,0.0,"{97, 10, 113, 56, 58}"
115,804,509,0.0,"{97, 10, 107, 77, 48, 114, 56, 24}"
116,808,465,0.0,"{10, 77, 113, 22, 94, 63}"
117,816,439,0.0,"{1, 101, 7, 10, 77, 82}"
118,825,480,0.0,"{100, 7, 10, 106, 42, 56}"
119,835,546,0.0,"{70, 10, 106, 113, 81, 31, 63}"
120,841,464,0.0,"{104, 10, 108, 15, 80, 119}"
121,850,535,0.0,"{65, 34, 10, 77, 119, 63}"
122,860,502,0.0,"{34, 67, 39, 10, 76, 51, 119}"
123,868,427,0.0,"{96, 69, 72, 10, 106, 56, 89}"
124,875,555,0.0,"{104, 10, 50, 56, 93, 63}"
125,885,568,0.0,"{37, 59, 10, 113, 117, 22, 123}"
126,894,480,0.0,"{10, 11, 108, 77, 79, 49, 63}"
127,900,513,0.0,"{38, 10, 77, 50, 56, 59}"
128,908,563,0.0,"{96, 10, 77, 53, 56, 93}"
129,919,585,0.0,"{96, 8, 10, 76, 13, 77, 119}"
130,925,397,0.0,"{36, 7, 10, 106, 21, 119}"
131,936,516,0.0,"{105, 10, 106, 50, 23, 56, 57}"
132,944,507,0.0,"{130, 10, 75, 50, 52, 86, 56}"
133,953,474,0.0,"{40, 10, 46, 18, 86, 56, 93}"
134,959,475,0.0,"{32, 10, 46, 113, 119, 123}"
135,970,542,0.0,"{128, 132, 10, 109, 51, 56, 59}"
136,976,469,0.0,"{96, 100, 72, 10, 119, 56}"
137,985,528,0.0,"{97, 10, 109, 119, 56, 58}"
138,995,517,0.0,"{105, 10, 43, 83, 22, 119, 59}"
139,1002,484,0.0,"{135, 10, 106, 77, 113, 26}"
140,1013,496,0.0,"{37, 10, 138, 20, 56, 120, 63}"
141,1021,623,0.0,"{97, 10, 140, 44, 112, 119, 93}"
