Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
1,1,15,0.0,{0}
2,3,52,0.0,{1}
3,6,86,0.0,"{1, 2}"
4,10,125,0.0,"{1, 3}"
5,21,159,0.0,"{1, 2, 3}"
6,31,125,0.0,"{1, 3}"
7,49,187,0.0010197162628173828,"{1, 3, 6}"
8,65,125,0.0,"{1, 3}"
9,101,169,0.0,"{2, 3, 6}"
10,100,155,0.0,"{0, 6, 7}"
11,133,264,0.0,"{8, 1, 10, 7}"
12,192,240,0.0009999275207519531,"{10, 6, 7}"
13,302,236,0.0009770393371582031,"{8, 10, 12, 6}"
14,389,326,0.0009970664978027344,"{9, 10, 13, 7}"
15,564,303,0.0009961128234863281,"{9, 10, 6, 7}"
16,655,325,0.0019996166229248047,"{10, 13, 6, 7}"
17,772,320,0.0029985904693603516,"{10, 3, 13, 6}"
18,1485,304,0.004000663757324219,"{5, 9, 11, 12, 13, 14}"
19,1351,247,0.004996299743652344,"{4, 8, 10, 11, 14}"
20,1470,312,0.0039975643157958984,"{3, 4, 8, 10, 13}"
21,2126,314,0.00600123405456543,"{9, 10, 3, 7}"
22,2468,299,0.009000301361083984,"{17, 3, 4, 6, 13, 15}"
23,2910,279,0.008020162582397461,"{19, 6, 7, 22, 15}"
24,4266,360,0.013000249862670898,"{3, 7, 10, 11, 15}"
25,3626,349,0.011971235275268555,"{3, 6, 22, 10, 12}"
26,4711,366,0.0200040340423584,"{3, 19, 22, 9, 25, 15}"
27,7498,377,0.03199887275695801,"{1, 23, 9, 13, 25}"
28,7421,313,0.026999235153198242,"{10, 3, 6, 7}"
29,7130,328,0.022000551223754883,"{25, 13, 22, 7}"
30,9433,370,0.029999494552612305,"{2, 19, 23, 10, 13, 15}"
31,9975,387,0.03197121620178223,"{2, 20, 7, 25, 11, 13}"
32,14061,419,0.044997453689575195,"{22, 25, 10, 12, 13, 14}"
33,15631,346,0.05400514602661133,"{32, 28, 22, 12, 13, 31}"
34,13895,358,0.0551607608795166,"{32, 7, 9, 11, 29}"
35,20200,417,0.06206393241882324,"{33, 34, 9, 10, 11, 13}"
36,19521,393,0.06099987030029297,"{2, 3, 22, 9, 11, 13}"
37,28932,334,0.08697247505187988,"{17, 13, 9, 10, 29}"
38,23779,432,0.11200284957885742,"{34, 20, 22, 9, 10, 13}"
39,28403,451,0.10700583457946777,"{32, 3, 37, 22, 25, 11, 28}"
40,32045,436,0.11981558799743652,"{3, 35, 22, 7, 9, 10}"
41,37802,457,0.1369941234588623,"{32, 3, 7, 8, 25, 10}"
42,38227,450,0.11799740791320801,"{33, 35, 6, 7, 25, 10, 30}"
43,57140,409,0.18700075149536133,"{1, 18, 23, 7, 11, 28, 13}"
44,49476,434,0.16402697563171387,"{34, 3, 37, 7, 10, 11}"
45,62934,536,0.21297454833984375,"{3, 39, 7, 9, 10, 13, 25}"
46,58883,427,0.19068288803100586,"{32, 29, 22, 7, 10, 45}"
47,67035,401,0.23404455184936523,"{3, 7, 40, 25, 11, 14}"
48,99057,439,0.3289964199066162,"{32, 1, 34, 18, 6, 23, 9}"
49,95235,489,0.32930874824523926,"{34, 7, 11, 44, 13, 16, 20, 22}"
50,113250,441,0.4009995460510254,"{32, 17, 34, 23, 6, 7, 15}"
51,122660,452,0.4200930595397949,"{32, 35, 23, 5, 7, 25, 15}"
52,136227,441,0.4692833423614502,"{51, 23, 24, 25, 10, 44}"
53,143422,476,0.49542713165283203,"{32, 1, 23, 40, 25, 10}"
54,165100,454,0.6202676296234131,"{6, 23, 40, 25, 44, 13}"
55,157230,423,0.5409963130950928,"{34, 3, 51, 20, 6, 53}"
56,193957,455,0.6732203960418701,"{33, 3, 38, 40, 44, 48, 22, 55}"
57,206706,464,0.7151997089385986,"{16, 56, 25, 10, 44, 13, 46}"
58,212119,465,0.6984760761260986,"{2, 53, 38, 7, 9, 13, 25}"
59,236795,459,0.83803391456604,"{18, 3, 22, 23, 8, 56, 29}"
60,246119,507,0.8812923431396484,"{33, 50, 19, 23, 56, 25, 13}"
61,246828,498,0.8865587711334229,"{50, 35, 5, 7, 9, 10, 25}"
62,244849,544,0.840341329574585,"{22, 23, 56, 25, 10, 59}"
63,347450,498,1.272275686264038,"{34, 3, 22, 25, 10, 13}"
64,296335,460,1.1535775661468506,"{48, 2, 58, 39, 10, 31, 63}"
65,375578,491,1.446077585220337,"{34, 40, 13, 45, 53, 22, 55, 28}"
66,376896,521,1.391176462173462,"{32, 29, 50, 10, 11, 28, 13}"
67,417113,477,1.6956541538238525,"{1, 40, 16, 18, 22, 23, 59, 29}"
68,379562,494,1.379274845123291,"{32, 65, 7, 40, 9, 56, 12}"
69,393248,525,1.7548816204071045,"{1, 51, 52, 22, 40, 10, 63}"
70,488946,534,1.8980779647827148,"{1, 2, 9, 11, 51, 53, 56, 62}"
71,495002,535,1.986217737197876,"{48, 56, 25, 10, 13, 63}"
72,646938,496,2.5304768085479736,"{48, 1, 3, 51, 55, 9, 63}"
73,612474,507,2.346248149871826,"{64, 70, 40, 13, 52, 25, 62, 63}"
74,634856,537,2.536068916320801,"{48, 65, 51, 71, 7, 10, 13}"
75,648603,566,2.711822032928467,"{23, 70, 22, 56, 10, 59, 60}"
76,774836,553,3.0774688720703125,"{3, 51, 58, 23, 10, 43, 13}"
77,692630,498,2.843637704849243,"{64, 1, 50, 51, 58, 10, 44}"
78,811794,543,3.2356324195861816,"{65, 3, 35, 51, 10, 59, 29}"
79,934816,517,3.759765148162842,"{50, 58, 55, 10, 76, 77}"
80,872362,470,3.4550230503082275,"{22, 56, 58, 76, 13, 15}"
81,1073370,486,4.323442459106445,"{3, 56, 40, 43, 12, 29, 63}"
82,1202459,524,4.762818336486816,"{50, 71, 7, 22, 59, 76, 62}"
83,1036228,569,4.313119411468506,"{6, 11, 77, 19, 23, 59, 60, 63}"
84,1332686,535,5.422815322875977,"{34, 3, 50, 53, 20, 29, 77}"
85,1397354,538,5.680261611938477,"{7, 10, 76, 45, 48, 18, 29, 63}"
86,1508498,540,6.257263898849487,"{32, 19, 53, 22, 7, 56, 10}"
87,1355498,604,5.625824451446533,"{32, 3, 40, 10, 76, 80, 22, 55}"
88,1500145,536,6.255784749984741,"{81, 51, 77, 59, 44, 13, 60}"
89,1484360,541,6.228261709213257,"{50, 20, 23, 71, 7, 10, 59}"
90,1617333,524,6.809398412704468,"{70, 7, 11, 13, 47, 51, 25, 28}"
91,1824395,559,7.64317512512207,"{34, 3, 77, 29, 70, 59, 13}"
92,1725013,537,7.244279623031616,"{53, 56, 25, 58, 60, 13, 15}"
93,1729627,600,7.397366523742676,"{65, 50, 3, 53, 86, 56, 77}"
94,2111057,539,8.87761378288269,"{32, 65, 64, 3, 69, 50, 51, 22}"
95,2255686,630,9.560571670532227,"{3, 7, 12, 50, 56, 58, 59, 29}"
96,2285740,602,9.994338035583496,"{32, 44, 13, 77, 84, 86, 28, 93}"
97,2471279,565,10.733683347702026,"{32, 66, 7, 9, 81, 51, 59, 63}"
98,2724985,595,11.856110572814941,"{5, 7, 43, 48, 81, 50, 51, 58, 29}"
99,2735906,617,11.893399715423584,"{65, 50, 83, 53, 7, 56, 77}"
100,2993282,604,12.98639178276062,"{32, 99, 9, 76, 13, 81, 29, 63}"
101,3632958,551,15.701256036758423,"{96, 1, 34, 100, 23, 25, 13}"
102,3186987,559,14.21431589126587,"{98, 7, 44, 77, 15, 87, 59, 93}"
103,3376335,579,14.92833423614502,"{96, 1, 33, 102, 9, 11, 23, 25, 90}"
104,3729508,604,16.425763845443726,"{93, 101, 53, 9, 59, 13, 63}"
