Edge Probability (p),Node Count,Number of Operations,Solution,Execution Time (seconds)
0.125,1,2,"(0,)",0.0
0.125,2,9,"(1,)",0.0
0.125,3,33,"(1, 2)",0.0
0.125,4,104,"(1, 2, 3)",0.0
0.125,5,300,"(1, 2, 3, 4)",0.0
0.125,6,771,"(1, 2, 3)",0.0
0.125,7,1988,"(1, 2, 3, 6)",0.0
0.125,8,5064,"(0, 3, 4, 6, 7)",0.0010008811950683594
0.125,9,12420,"(0, 3, 4, 6, 7, 8)",0.002004861831665039
0.125,10,29672,"(0, 2, 3, 6, 7, 8)",0.002995729446411133
0.125,11,70226,"(1, 3, 7, 8, 10)",0.004998683929443359
0.125,12,164576,"(0, 2, 3, 7, 10)",0.011003971099853516
0.125,13,382304,"(0, 3, 8, 10, 11, 12)",0.01999688148498535
0.125,14,879019,"(1, 3, 5, 7, 9, 10, 13)",0.04200601577758789
0.125,15,2002723,"(6, 7, 8, 9, 10, 13, 14)",0.09000039100646973
0.125,16,4533672,"(6, 7, 8, 10, 11, 12, 13, 14, 15)",0.21257591247558594
0.125,17,10181320,"(1, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16)",0.3804159164428711
0.125,18,22721940,"(1, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16)",0.7139976024627686
0.125,19,50397920,"(1, 5, 6, 7, 8, 10, 11, 12, 13, 15)",1.4918298721313477
0.125,20,111251456,"(1, 5, 6, 7, 9, 10, 13, 14, 17, 18, 19)",2.7027904987335205
0.125,21,244504020,"(4, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 19, 20)",5.973854064941406
0.125,22,535105072,"(3, 4, 6, 7, 10, 11, 13, 15, 17, 19, 20, 21)",12.232860326766968
0.125,23,1166430252,"(1, 4, 6, 7, 8, 9, 11, 13, 15, 17, 19, 22)",24.106677532196045
0.125,24,2533886412,"(3, 5, 8, 9, 10, 11, 13, 16, 18, 19, 20, 22, 23)",49.20201778411865
0.125,25,5486882072,"(3, 4, 6, 10, 12, 13, 16, 20, 21, 22, 23)",95.06161141395569
