Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.125,100,1219264,1458,0.24786758422851562,24,"{7, 11, 13, 15, 23, 30, 32, 40, 44, 50, 56, 60, 64, 67, 69, 70, 71, 84, 86, 91, 94, 96, 97, 98}"
graph_size_200_k_0.125,200,2660570,1755,0.42336130142211914,28,"{128, 9, 138, 142, 145, 148, 152, 47, 176, 179, 52, 55, 56, 187, 188, 191, 196, 69, 198, 73, 81, 110, 112, 116, 117, 122, 125, 127}"
graph_size_300_k_0.125,300,4227813,1966,0.6200525760650635,33,"{266, 272, 273, 149, 278, 21, 152, 29, 286, 162, 35, 40, 42, 47, 177, 179, 59, 62, 193, 70, 199, 206, 84, 213, 214, 87, 221, 101, 229, 106, 118, 246, 120}"
graph_size_400_k_0.125,400,5854868,2129,0.8380081653594971,35,"{0, 262, 10, 394, 397, 273, 19, 280, 25, 282, 283, 287, 32, 288, 34, 164, 40, 53, 309, 182, 313, 316, 317, 320, 325, 204, 77, 332, 84, 214, 218, 228, 113, 374, 123}"
graph_size_500_k_0.125,500,7555589,2267,1.0359430313110352,34,"{262, 140, 397, 13, 402, 152, 290, 291, 162, 293, 422, 296, 430, 435, 312, 185, 189, 324, 198, 456, 205, 77, 334, 80, 468, 344, 217, 218, 89, 93, 113, 243, 245, 379}"
graph_size_600_k_0.125,600,9292702,2330,1.2590765953063965,36,"{259, 263, 520, 266, 138, 147, 279, 409, 544, 547, 551, 428, 45, 305, 434, 56, 317, 190, 446, 451, 196, 72, 329, 459, 208, 83, 597, 89, 91, 220, 224, 101, 110, 376, 378, 251}"
graph_size_700_k_0.125,700,11057737,2403,1.4592704772949219,36,"{257, 392, 648, 13, 272, 279, 541, 32, 288, 166, 682, 557, 306, 440, 314, 189, 575, 462, 335, 591, 594, 468, 85, 86, 472, 351, 96, 608, 611, 228, 100, 230, 625, 629, 503, 253}"
graph_size_800_k_0.125,800,12908606,2427,1.6727893352508545,40,"{2, 138, 650, 400, 20, 149, 534, 278, 408, 539, 161, 163, 37, 424, 428, 176, 305, 58, 701, 574, 63, 323, 588, 206, 208, 724, 734, 735, 101, 359, 744, 489, 620, 240, 114, 498, 502, 119, 248, 378}"
graph_size_900_k_0.125,900,14758506,2549,1.9210076332092285,40,"{778, 10, 653, 398, 143, 400, 403, 532, 276, 793, 289, 38, 39, 40, 807, 811, 172, 51, 567, 440, 59, 193, 456, 843, 459, 83, 467, 212, 91, 731, 95, 483, 101, 742, 232, 106, 494, 623, 759, 123}"
graph_size_1000_k_0.125,1000,16605574,2451,2.0901079177856445,41,"{262, 134, 390, 903, 778, 523, 11, 407, 664, 408, 922, 290, 420, 805, 811, 815, 176, 438, 569, 59, 188, 194, 585, 842, 847, 723, 212, 983, 220, 989, 739, 611, 613, 487, 876, 496, 753, 630, 379, 892, 255}"
