Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.5,1,4,15,0.0026378631591796875,1,{0}
graph_size_2_k_0.5,2,20006,52,0.009148120880126953,1,{1}
graph_size_3_k_0.5,3,32527,86,0.013567924499511719,2,"{1, 2}"
graph_size_4_k_0.5,4,27507,125,0.010610342025756836,2,"{1, 3}"
graph_size_5_k_0.5,5,54684,159,0.021681785583496094,3,"{1, 2, 3}"
graph_size_6_k_0.5,6,62904,125,0.02164006233215332,2,"{1, 3}"
graph_size_7_k_0.5,7,72886,187,0.024958133697509766,3,"{1, 3, 6}"
graph_size_8_k_0.5,8,76619,125,0.023748397827148438,2,"{1, 3}"
graph_size_9_k_0.5,9,98940,169,0.02897930145263672,3,"{2, 3, 6}"
graph_size_10_k_0.5,10,102864,155,0.028845548629760742,3,"{0, 6, 7}"
graph_size_11_k_0.5,11,116682,264,0.0315546989440918,4,"{8, 1, 10, 7}"
graph_size_12_k_0.5,12,127302,240,0.03350710868835449,3,"{10, 6, 7}"
graph_size_13_k_0.5,13,139454,236,0.03662896156311035,4,"{8, 10, 12, 6}"
graph_size_14_k_0.5,14,152914,326,0.041152238845825195,4,"{9, 10, 13, 7}"
graph_size_15_k_0.5,15,158889,303,0.04040122032165527,4,"{9, 10, 6, 7}"
graph_size_16_k_0.5,16,174455,325,0.04244875907897949,4,"{10, 13, 6, 7}"
graph_size_17_k_0.5,17,186895,320,0.05575275421142578,4,"{10, 3, 13, 6}"
graph_size_18_k_0.5,18,203469,304,0.052458763122558594,6,"{5, 9, 11, 12, 13, 14}"
graph_size_19_k_0.5,19,209713,247,0.050774574279785156,5,"{4, 8, 10, 11, 14}"
graph_size_20_k_0.5,20,228178,312,0.053575992584228516,5,"{3, 4, 8, 10, 13}"
graph_size_21_k_0.5,21,232798,314,0.05391955375671387,4,"{9, 10, 3, 7}"
graph_size_22_k_0.5,22,246808,299,0.05543351173400879,6,"{3, 4, 6, 13, 15, 17}"
graph_size_23_k_0.5,23,255152,279,0.0561671257019043,5,"{6, 7, 15, 19, 22}"
graph_size_24_k_0.5,24,281053,360,0.0608828067779541,6,"{3, 10, 11, 16, 20, 22}"
graph_size_25_k_0.5,25,280030,349,0.0609898567199707,5,"{3, 6, 10, 12, 22}"
graph_size_26_k_0.5,26,286614,366,0.061202049255371094,6,"{3, 9, 15, 19, 22, 25}"
graph_size_27_k_0.5,27,317352,377,0.06540536880493164,5,"{1, 9, 13, 23, 25}"
graph_size_28_k_0.5,28,317502,313,0.06454825401306152,4,"{10, 3, 6, 7}"
graph_size_29_k_0.5,29,332137,328,0.06575989723205566,4,"{25, 13, 22, 7}"
graph_size_30_k_0.5,30,348932,370,0.06874275207519531,6,"{2, 10, 13, 15, 19, 23}"
graph_size_31_k_0.5,31,362085,387,0.07023859024047852,6,"{2, 7, 11, 13, 20, 25}"
graph_size_32_k_0.5,32,385298,419,0.07455182075500488,6,"{10, 12, 13, 14, 22, 25}"
graph_size_33_k_0.5,33,382526,346,0.07472085952758789,6,"{32, 12, 13, 22, 28, 31}"
graph_size_34_k_0.5,34,391556,358,0.07571983337402344,5,"{32, 7, 9, 11, 29}"
graph_size_35_k_0.5,35,415660,417,0.07914519309997559,6,"{33, 34, 9, 10, 11, 13}"
graph_size_36_k_0.5,36,418318,393,0.07829904556274414,6,"{2, 3, 9, 11, 13, 22}"
graph_size_37_k_0.5,37,437350,334,0.0801546573638916,5,"{9, 10, 13, 17, 29}"
graph_size_38_k_0.5,38,441000,432,0.08125567436218262,6,"{34, 9, 10, 13, 20, 22}"
graph_size_39_k_0.5,39,467302,451,0.08445405960083008,7,"{32, 3, 37, 11, 22, 25, 28}"
graph_size_40_k_0.5,40,471573,436,0.08506059646606445,6,"{3, 35, 7, 9, 10, 22}"
graph_size_41_k_0.5,41,489299,457,0.08768582344055176,6,"{32, 3, 7, 8, 10, 25}"
graph_size_42_k_0.5,42,499956,450,0.08761405944824219,7,"{33, 35, 6, 7, 10, 25, 30}"
graph_size_43_k_0.5,43,523750,409,0.09297823905944824,7,"{1, 7, 11, 13, 18, 23, 28}"
graph_size_44_k_0.5,44,527390,434,0.09244227409362793,6,"{34, 3, 37, 7, 10, 11}"
graph_size_45_k_0.5,45,542125,536,0.09552431106567383,7,"{3, 39, 7, 9, 10, 13, 25}"
graph_size_46_k_0.5,46,556893,427,0.09717535972595215,6,"{32, 7, 10, 45, 22, 29}"
graph_size_47_k_0.5,47,572481,401,0.09838986396789551,6,"{3, 7, 40, 11, 14, 25}"
graph_size_48_k_0.5,48,597529,428,0.10051703453063965,7,"{34, 37, 6, 7, 9, 18, 23}"
graph_size_49_k_0.5,49,600972,489,0.10028409957885742,8,"{34, 7, 11, 44, 13, 16, 20, 22}"
graph_size_50_k_0.5,50,607895,441,0.10172533988952637,7,"{32, 34, 6, 7, 15, 17, 23}"
graph_size_51_k_0.5,51,623044,452,0.1030435562133789,7,"{32, 35, 5, 7, 15, 23, 25}"
graph_size_52_k_0.5,52,626463,441,0.10445451736450195,6,"{10, 44, 51, 23, 24, 25}"
graph_size_53_k_0.5,53,648205,476,0.10753178596496582,6,"{32, 1, 40, 10, 23, 25}"
graph_size_54_k_0.5,54,670779,454,0.1084451675415039,6,"{6, 40, 44, 13, 23, 25}"
graph_size_55_k_0.5,55,677850,423,0.1097261905670166,6,"{34, 3, 6, 51, 20, 53}"
graph_size_56_k_0.5,56,689456,455,0.112396240234375,8,"{33, 3, 38, 40, 44, 48, 22, 55}"
graph_size_57_k_0.5,57,705222,464,0.11304187774658203,7,"{10, 44, 13, 46, 16, 56, 25}"
graph_size_58_k_0.5,58,717656,465,0.11598563194274902,7,"{2, 38, 7, 9, 13, 53, 25}"
graph_size_59_k_0.5,59,729749,459,0.11533141136169434,7,"{3, 8, 18, 22, 23, 56, 29}"
graph_size_60_k_0.5,60,746448,507,0.11647176742553711,7,"{33, 13, 50, 19, 23, 56, 25}"
graph_size_61_k_0.5,61,751335,498,0.11787533760070801,7,"{35, 5, 7, 9, 10, 50, 25}"
graph_size_62_k_0.5,62,768118,544,0.11919069290161133,6,"{10, 22, 23, 56, 25, 59}"
graph_size_63_k_0.5,63,782451,498,0.12121462821960449,6,"{34, 3, 10, 13, 22, 25}"
graph_size_64_k_0.5,64,795878,448,0.12300300598144531,7,"{39, 10, 45, 48, 58, 63, 31}"
graph_size_65_k_0.5,65,816953,491,0.12514352798461914,8,"{34, 40, 13, 45, 53, 22, 55, 28}"
graph_size_66_k_0.5,66,831431,521,0.12698006629943848,7,"{32, 10, 11, 13, 50, 28, 29}"
graph_size_67_k_0.5,67,838105,477,0.1270151138305664,8,"{1, 40, 16, 18, 22, 23, 59, 29}"
graph_size_68_k_0.5,68,851279,494,0.1290302276611328,7,"{32, 65, 7, 40, 9, 12, 56}"
graph_size_69_k_0.5,69,863161,525,0.13082480430603027,7,"{1, 40, 10, 51, 52, 22, 63}"
graph_size_70_k_0.5,70,873465,534,0.1325845718383789,8,"{1, 2, 9, 11, 51, 53, 56, 62}"
graph_size_71_k_0.5,71,897986,510,0.13531231880187988,6,"{65, 10, 13, 48, 56, 63}"
graph_size_72_k_0.5,72,925437,496,0.13856792449951172,7,"{1, 38, 10, 48, 55, 56, 63}"
graph_size_73_k_0.5,73,922508,507,0.13912320137023926,8,"{64, 70, 40, 13, 52, 25, 62, 63}"
graph_size_74_k_0.5,74,945189,515,0.139678955078125,7,"{37, 7, 71, 10, 13, 48, 51}"
graph_size_75_k_0.5,75,950525,566,0.14060449600219727,7,"{70, 10, 22, 23, 56, 59, 60}"
graph_size_76_k_0.5,76,974204,519,0.1438760757446289,7,"{3, 43, 44, 51, 53, 23, 58}"
graph_size_77_k_0.5,77,989065,498,0.14650702476501465,7,"{64, 1, 10, 44, 50, 51, 58}"
graph_size_78_k_0.5,78,987775,538,0.14698576927185059,7,"{3, 35, 70, 10, 51, 25, 29}"
graph_size_79_k_0.5,79,1015764,517,0.1494767665863037,6,"{10, 76, 77, 50, 55, 58}"
graph_size_80_k_0.5,80,1016403,470,0.14960384368896484,6,"{76, 13, 15, 22, 56, 58}"
graph_size_81_k_0.5,81,1046855,481,0.15370774269104004,6,"{1, 40, 10, 51, 56, 29}"
graph_size_82_k_0.5,82,1059759,524,0.153944730758667,7,"{7, 71, 76, 50, 22, 59, 62}"
graph_size_83_k_0.5,83,1070744,561,0.1552870273590088,8,"{32, 35, 6, 12, 77, 23, 60, 63}"
graph_size_84_k_0.5,84,1091050,532,0.1580336093902588,7,"{12, 77, 50, 56, 59, 61, 63}"
graph_size_85_k_0.5,85,1100210,538,0.15958309173583984,8,"{7, 10, 76, 45, 48, 18, 29, 63}"
graph_size_86_k_0.5,86,1111909,536,0.16008734703063965,8,"{33, 38, 7, 10, 11, 53, 56, 60}"
graph_size_87_k_0.5,87,1126237,604,0.16147112846374512,8,"{32, 3, 40, 10, 76, 80, 22, 55}"
graph_size_88_k_0.5,88,1146457,526,0.16385126113891602,8,"{69, 73, 44, 13, 23, 56, 59, 60}"
graph_size_89_k_0.5,89,1151413,541,0.16387343406677246,7,"{71, 7, 10, 50, 20, 23, 59}"
graph_size_90_k_0.5,90,1171518,524,0.16566824913024902,8,"{70, 7, 11, 13, 47, 51, 25, 28}"
graph_size_91_k_0.5,91,1187256,553,0.16852927207946777,8,"{65, 33, 3, 13, 83, 59, 29, 30}"
graph_size_92_k_0.5,92,1194554,534,0.16911768913269043,8,"{3, 9, 10, 43, 51, 53, 26, 29}"
graph_size_93_k_0.5,93,1205554,598,0.17073988914489746,7,"{65, 3, 77, 50, 53, 56, 58}"
graph_size_94_k_0.5,94,1231898,539,0.17293500900268555,8,"{64, 65, 32, 3, 69, 50, 51, 22}"
graph_size_95_k_0.5,95,1243690,630,0.17467522621154785,8,"{3, 7, 12, 50, 56, 58, 59, 29}"
graph_size_96_k_0.5,96,1261475,587,0.17771315574645996,8,"{32, 65, 71, 77, 53, 90, 91, 93}"
graph_size_97_k_0.5,97,1268267,549,0.17708468437194824,8,"{32, 66, 6, 9, 81, 51, 59, 63}"
graph_size_98_k_0.5,98,1281111,595,0.18004345893859863,9,"{5, 7, 43, 48, 81, 50, 51, 58, 29}"
graph_size_99_k_0.5,99,1297825,617,0.18040871620178223,7,"{65, 7, 77, 50, 83, 53, 56}"
graph_size_100_k_0.5,100,1327587,563,0.18398189544677734,8,"{32, 99, 75, 76, 13, 81, 86, 63}"
graph_size_101_k_0.5,101,1333627,551,0.18566179275512695,7,"{96, 1, 34, 100, 13, 23, 25}"
graph_size_102_k_0.5,102,1343356,556,0.18535256385803223,7,"{7, 11, 44, 76, 51, 56, 29}"
graph_size_103_k_0.5,103,1367967,569,0.18720269203186035,8,"{65, 7, 44, 82, 53, 86, 23, 58}"
graph_size_104_k_0.5,104,1371465,579,0.18817663192749023,7,"{32, 3, 77, 83, 53, 91, 93}"
graph_size_105_k_0.5,105,1391371,609,0.19052410125732422,8,"{32, 100, 101, 7, 8, 77, 55, 63}"
graph_size_106_k_0.5,106,1406935,564,0.19300460815429688,9,"{97, 66, 101, 9, 77, 78, 83, 58, 60}"
graph_size_107_k_0.5,107,1420735,574,0.1928417682647705,8,"{5, 6, 50, 84, 55, 86, 23, 93}"
graph_size_108_k_0.5,108,1426538,619,0.19432377815246582,8,"{97, 101, 40, 10, 93, 25, 92, 29}"
graph_size_109_k_0.5,109,1450449,587,0.19613051414489746,8,"{70, 7, 40, 47, 53, 23, 56, 58}"
graph_size_110_k_0.5,110,1460128,622,0.19834256172180176,8,"{102, 106, 77, 81, 50, 56, 58, 30}"
graph_size_111_k_0.5,111,1478000,568,0.20063018798828125,8,"{104, 12, 108, 53, 22, 25, 60, 29}"
graph_size_112_k_0.5,112,1497254,572,0.20131874084472656,8,"{97, 33, 99, 35, 51, 56, 90, 63}"
graph_size_113_k_0.5,113,1494604,556,0.20115971565246582,8,"{106, 11, 13, 77, 23, 89, 90, 29}"
graph_size_114_k_0.5,114,1521913,582,0.20421719551086426,7,"{70, 108, 50, 84, 22, 56, 25}"
graph_size_115_k_0.5,115,1536825,601,0.20393157005310059,8,"{100, 43, 108, 77, 45, 83, 86, 56}"
graph_size_116_k_0.5,116,1553687,642,0.20962023735046387,9,"{96, 99, 101, 13, 77, 81, 84, 56, 94}"
graph_size_117_k_0.5,117,1573592,618,0.2095177173614502,9,"{34, 99, 6, 91, 86, 23, 24, 59, 93}"
graph_size_118_k_0.5,118,1589583,670,0.21065258979797363,9,"{100, 9, 42, 108, 44, 50, 22, 86, 56}"
graph_size_119_k_0.5,119,1603100,594,0.21225285530090332,8,"{32, 101, 102, 7, 72, 106, 50, 63}"
graph_size_120_k_0.5,120,1600917,597,0.21321582794189453,8,"{97, 37, 44, 13, 84, 55, 23, 56}"
graph_size_121_k_0.5,121,1624145,596,0.24621963500976562,10,"{96, 3, 42, 44, 113, 20, 22, 55, 60, 31}"
graph_size_122_k_0.5,122,1644462,638,0.21561884880065918,9,"{97, 98, 101, 6, 40, 77, 21, 56, 58}"
graph_size_123_k_0.5,123,1653336,607,0.2176494598388672,9,"{96, 101, 69, 15, 113, 50, 85, 25, 29}"
graph_size_124_k_0.5,124,1669473,623,0.2191145420074463,9,"{65, 101, 7, 42, 109, 80, 50, 119, 60}"
graph_size_125_k_0.5,125,1686006,583,0.22205662727355957,7,"{101, 7, 44, 50, 117, 56, 123}"
graph_size_126_k_0.5,126,1700553,593,0.222184419631958,8,"{99, 101, 6, 10, 108, 113, 82, 22}"
graph_size_127_k_0.5,127,1724962,639,0.22388744354248047,9,"{32, 2, 6, 9, 10, 18, 23, 56, 59}"
graph_size_128_k_0.5,128,1741541,599,0.22741246223449707,8,"{9, 81, 51, 23, 119, 88, 25, 58}"
graph_size_129_k_0.5,129,1759405,562,0.2282850742340088,8,"{65, 98, 8, 76, 13, 77, 119, 62}"
graph_size_130_k_0.5,130,1754796,565,0.23006963729858398,8,"{40, 105, 80, 50, 22, 90, 93, 63}"
graph_size_131_k_0.5,131,1772359,612,0.23046493530273438,8,"{7, 123, 108, 86, 22, 56, 26, 59}"
graph_size_132_k_0.5,132,1798050,620,0.2396717071533203,9,"{7, 40, 79, 112, 86, 25, 90, 60, 63}"
graph_size_133_k_0.5,133,1813815,593,0.23496675491333008,9,"{96, 65, 100, 5, 13, 88, 25, 123, 31}"
graph_size_134_k_0.5,134,1834231,569,0.23589372634887695,8,"{96, 6, 113, 50, 19, 121, 90, 93}"
graph_size_135_k_0.5,135,1850477,586,0.2373192310333252,8,"{128, 35, 132, 109, 51, 56, 59, 63}"
graph_size_136_k_0.5,136,1858207,575,0.24055790901184082,8,"{0, 91, 11, 77, 83, 121, 59, 63}"
graph_size_137_k_0.5,137,1861708,624,0.2397749423980713,9,"{99, 133, 39, 10, 108, 84, 86, 90, 123}"
graph_size_138_k_0.5,138,1896209,653,0.24233698844909668,8,"{102, 108, 13, 83, 55, 56, 58, 59}"
graph_size_139_k_0.5,139,1902129,580,0.2444760799407959,8,"{97, 6, 59, 108, 77, 115, 23, 91}"
graph_size_140_k_0.5,140,1921440,639,0.24561285972595215,9,"{2, 131, 34, 135, 76, 113, 115, 119, 59}"
graph_size_141_k_0.5,141,1940461,684,0.24756765365600586,8,"{137, 10, 140, 44, 112, 53, 119, 29}"
graph_size_142_k_0.5,142,1953811,650,0.2497706413269043,8,"{96, 97, 13, 51, 84, 53, 52, 56}"
graph_size_143_k_0.5,143,1967847,683,0.2505919933319092,9,"{96, 72, 106, 77, 142, 50, 123, 93, 127}"
