Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
1,401,15,0.0003056526184082031,1,{0}
2,602,52,0.0004589557647705078,1,{1}
3,1002,86,0.0005824565887451172,2,"{1, 2}"
4,1202,125,0.0006933212280273438,2,"{1, 3}"
5,1676,159,0.0009770393371582031,3,"{1, 2, 3}"
6,1913,125,0.0009601116180419922,2,"{1, 3}"
7,2220,187,0.001039743423461914,3,"{1, 3, 6}"
8,2238,125,0.0010879039764404297,2,"{1, 3}"
9,3030,169,0.0012390613555908203,3,"{2, 3, 6}"
10,3177,155,0.001177072525024414,3,"{0, 6, 7}"
11,3557,264,0.0012865066528320312,4,"{8, 1, 10, 7}"
12,3884,240,0.0014255046844482422,3,"{10, 6, 7}"
13,4242,236,0.0018961429595947266,4,"{8, 10, 12, 6}"
14,4649,326,0.002928495407104492,4,"{9, 10, 13, 7}"
15,4901,303,0.002794981002807617,4,"{9, 10, 6, 7}"
16,5408,292,0.002187490463256836,4,"{10, 13, 6, 15}"
17,5810,320,0.001821279525756836,4,"{10, 3, 13, 6}"
18,6479,304,0.0019485950469970703,6,"{5, 9, 11, 12, 13, 14}"
19,6480,236,0.0020246505737304688,4,"{11, 17, 3, 13}"
20,7181,312,0.0021774768829345703,5,"{3, 4, 8, 10, 13}"
21,7285,295,0.0023872852325439453,5,"{4, 7, 8, 9, 10}"
22,7828,299,0.0022742748260498047,6,"{3, 4, 6, 13, 15, 17}"
23,7885,279,0.002279043197631836,5,"{6, 7, 15, 19, 22}"
24,9025,360,0.0025339126586914062,5,"{3, 7, 10, 11, 15}"
25,8831,349,0.002437591552734375,5,"{3, 6, 10, 12, 22}"
26,8908,366,0.0025284290313720703,6,"{3, 9, 15, 19, 22, 25}"
27,9874,377,0.004202365875244141,5,"{1, 9, 13, 23, 25}"
28,9930,313,0.0025670528411865234,4,"{10, 3, 6, 7}"
29,10592,314,0.0027239322662353516,5,"{1, 7, 13, 21, 23}"
30,11037,334,0.0028913021087646484,6,"{2, 10, 13, 19, 23, 24}"
31,11396,387,0.003056049346923828,6,"{2, 7, 11, 13, 20, 25}"
32,12166,419,0.002998828887939453,6,"{10, 12, 13, 14, 22, 25}"
33,11997,346,0.0030133724212646484,6,"{32, 12, 13, 22, 28, 31}"
34,12417,358,0.0030460357666015625,5,"{32, 7, 9, 11, 29}"
35,13371,417,0.003232240676879883,6,"{33, 34, 9, 10, 11, 13}"
36,13026,393,0.003163576126098633,6,"{2, 3, 9, 11, 13, 22}"
37,13482,334,0.003194093704223633,5,"{9, 10, 13, 17, 29}"
38,13912,432,0.0033626556396484375,6,"{34, 9, 10, 13, 20, 22}"
39,14731,427,0.004530668258666992,7,"{32, 3, 11, 18, 22, 25, 28}"
40,15062,425,0.003871440887451172,7,"{2, 3, 35, 7, 9, 10, 14}"
41,15701,385,0.0036041736602783203,6,"{32, 34, 39, 8, 9, 23}"
42,15846,403,0.0039386749267578125,6,"{33, 7, 9, 10, 25, 30}"
43,16617,364,0.004267692565917969,6,"{1, 39, 7, 13, 14, 22}"
44,16517,434,0.003836393356323242,6,"{34, 3, 37, 7, 10, 11}"
45,17119,418,0.0040645599365234375,6,"{3, 7, 39, 13, 15, 25}"
46,17432,400,0.004048347473144531,7,"{4, 6, 11, 44, 21, 23, 25}"
47,18145,379,0.003949165344238281,7,"{32, 1, 33, 3, 40, 9, 16}"
48,19104,406,0.005414724349975586,6,"{3, 37, 6, 9, 10, 11}"
49,18964,489,0.004216909408569336,8,"{34, 7, 11, 44, 13, 16, 20, 22}"
50,19550,430,0.004271268844604492,7,"{32, 6, 7, 11, 15, 17, 23}"
51,19995,426,0.004439353942871094,7,"{32, 1, 35, 5, 15, 23, 25}"
52,19899,434,0.004326820373535156,7,"{3, 42, 10, 44, 24, 25, 29}"
53,20864,464,0.005846738815307617,7,"{34, 5, 10, 15, 48, 23, 29}"
54,21226,429,0.0052640438079833984,7,"{44, 13, 14, 16, 51, 22, 29}"
55,21726,364,0.004463672637939453,7,"{32, 1, 12, 20, 25, 28, 30}"
56,22052,454,0.004630327224731445,7,"{3, 38, 44, 48, 50, 22, 55}"
57,22269,397,0.004682779312133789,7,"{38, 44, 13, 46, 18, 56, 25}"
58,22740,465,0.0057833194732666016,7,"{2, 38, 7, 9, 13, 53, 25}"
59,23155,448,0.005380153656005859,7,"{3, 8, 48, 18, 23, 56, 29}"
60,24082,427,0.005120754241943359,8,"{1, 11, 12, 16, 19, 22, 25, 29}"
61,23721,449,0.005023002624511719,7,"{5, 10, 45, 50, 20, 22, 56}"
62,24693,481,0.004961729049682617,6,"{10, 47, 50, 51, 22, 59}"
63,24718,400,0.0051724910736083984,7,"{36, 10, 13, 46, 48, 25, 30}"
64,25549,448,0.005393266677856445,7,"{39, 10, 45, 48, 58, 31, 63}"
65,26389,491,0.005193471908569336,8,"{34, 40, 13, 45, 53, 22, 55, 28}"
66,26540,461,0.0053043365478515625,7,"{37, 10, 11, 13, 52, 60, 29}"
67,26848,468,0.005364894866943359,7,"{35, 7, 41, 10, 23, 31, 63}"
68,27035,416,0.006857633590698242,7,"{4, 10, 43, 12, 13, 25, 30}"
69,27520,482,0.005471944808959961,7,"{1, 5, 10, 51, 52, 22, 63}"
70,28425,534,0.0060384273529052734,8,"{1, 2, 9, 11, 51, 53, 56, 62}"
71,28813,482,0.00621342658996582,8,"{64, 4, 9, 10, 13, 48, 25, 62}"
72,30241,464,0.005925655364990234,8,"{1, 66, 38, 40, 11, 48, 51, 59}"
73,29285,425,0.005777835845947266,7,"{6, 39, 8, 40, 13, 25, 30}"
74,30613,429,0.007555723190307617,7,"{35, 13, 17, 50, 51, 53, 24}"
75,30405,414,0.00864267349243164,6,"{10, 14, 18, 22, 56, 25}"
76,31428,504,0.00595855712890625,9,"{33, 37, 12, 44, 53, 23, 56, 61, 62}"
77,32085,423,0.006746768951416016,7,"{64, 70, 9, 10, 75, 50, 29}"
78,31968,440,0.006081342697143555,7,"{64, 39, 71, 13, 15, 56, 59}"
79,33005,405,0.006717681884765625,6,"{70, 76, 47, 51, 59, 62}"
80,32592,454,0.007733345031738281,7,"{71, 9, 10, 75, 15, 23, 59}"
81,33668,423,0.006224393844604492,8,"{65, 36, 37, 70, 73, 77, 15, 25}"
82,33993,438,0.008022308349609375,7,"{42, 43, 44, 15, 50, 51, 58}"
83,34935,463,0.0071258544921875,7,"{11, 77, 60, 19, 59, 31, 63}"
84,35715,532,0.006667137145996094,7,"{12, 77, 50, 56, 59, 61, 63}"
85,35674,500,0.0069675445556640625,7,"{3, 4, 44, 48, 25, 59, 63}"
86,35629,456,0.0069124698638916016,7,"{38, 14, 52, 23, 56, 29, 63}"
87,36526,604,0.0071163177490234375,8,"{32, 3, 40, 10, 76, 80, 22, 55}"
88,37178,491,0.007763385772705078,7,"{1, 34, 3, 50, 53, 22, 87}"
89,37678,510,0.007313251495361328,8,"{34, 6, 71, 13, 46, 23, 31, 63}"
90,37725,486,0.007752656936645508,7,"{3, 35, 71, 9, 10, 13, 48}"
91,38668,438,0.007742881774902344,7,"{0, 35, 77, 81, 50, 88, 59}"
92,38329,491,0.007813692092895508,7,"{2, 40, 9, 10, 53, 56, 30}"
93,39098,592,0.0076677799224853516,8,"{3, 10, 50, 83, 86, 87, 25, 28}"
94,39760,484,0.008339166641235352,8,"{64, 65, 32, 35, 3, 50, 51, 21}"
95,40436,624,0.007597208023071289,8,"{3, 7, 8, 50, 56, 58, 59, 29}"
96,39985,555,0.0074388980865478516,7,"{10, 13, 77, 50, 84, 86, 28}"
97,40707,476,0.007714271545410156,7,"{32, 6, 40, 43, 12, 50, 59}"
98,41300,433,0.008584260940551758,7,"{96, 59, 12, 53, 86, 27, 30}"
99,41545,409,0.0075533390045166016,7,"{32, 97, 7, 72, 40, 81, 88}"
100,43370,532,0.007612466812133789,8,"{99, 8, 10, 42, 13, 81, 29, 63}"
101,43498,506,0.00781559944152832,9,"{38, 7, 39, 73, 77, 16, 51, 22, 29}"
102,42940,507,0.00875544548034668,8,"{90, 7, 39, 71, 46, 23, 56, 58}"
103,44314,509,0.008981466293334961,8,"{33, 97, 98, 6, 102, 15, 23, 25}"
104,44581,509,0.007941484451293945,8,"{1, 97, 8, 79, 22, 23, 90, 93}"
105,45569,569,0.008621454238891602,8,"{100, 6, 7, 74, 55, 56, 25, 63}"
106,45875,489,0.008046865463256836,8,"{32, 65, 34, 75, 45, 15, 25, 63}"
107,45588,495,0.00868988037109375,7,"{100, 71, 84, 53, 54, 56, 93}"
108,45798,539,0.008095264434814453,7,"{97, 100, 13, 83, 54, 25, 93}"
109,46626,520,0.008189916610717773,9,"{70, 40, 42, 45, 48, 51, 53, 59, 61}"
110,47951,519,0.008426666259765625,8,"{39, 10, 106, 77, 14, 17, 81, 86}"
111,47719,554,0.008627891540527344,7,"{106, 109, 77, 51, 86, 88, 59}"
112,48706,500,0.010044336318969727,8,"{4, 101, 6, 8, 10, 44, 50, 31}"
113,48598,420,0.009226799011230469,7,"{102, 10, 44, 79, 48, 80, 52}"
114,49576,512,0.008608341217041016,6,"{3, 113, 84, 53, 23, 56}"
115,49628,498,0.009412527084350586,8,"{32, 5, 6, 40, 45, 77, 81, 25}"
116,50696,477,0.00884699821472168,7,"{97, 98, 34, 6, 12, 84, 25}"
117,51418,455,0.008880138397216797,8,"{97, 102, 104, 45, 79, 84, 86, 62}"
118,53049,592,0.009068965911865234,9,"{100, 9, 42, 44, 50, 86, 22, 24, 56}"
119,52836,524,0.009549379348754883,7,"{101, 7, 83, 86, 22, 29, 62}"
120,52575,510,0.009009838104248047,8,"{103, 77, 80, 113, 82, 83, 23, 31}"
121,53510,489,0.009517431259155273,6,"{100, 102, 76, 77, 110, 119}"
122,54126,581,0.00934910774230957,8,"{98, 101, 40, 77, 83, 21, 56, 58}"
123,53461,533,0.0093841552734375,8,"{5, 70, 71, 6, 7, 80, 50, 83}"
124,53871,495,0.009264945983886719,7,"{5, 10, 12, 80, 83, 86, 59}"
125,54366,519,0.011401176452636719,6,"{113, 83, 119, 22, 23, 29}"
126,55790,593,0.009325027465820312,8,"{32, 37, 76, 81, 50, 84, 53, 29}"
127,55824,593,0.009195327758789062,9,"{32, 2, 6, 9, 48, 49, 23, 56, 59}"
128,57026,494,0.010154962539672852,8,"{65, 37, 7, 77, 20, 117, 91, 60}"
129,57289,604,0.009607315063476562,8,"{8, 10, 76, 13, 77, 111, 119, 58}"
130,56945,499,0.01062774658203125,7,"{64, 106, 76, 77, 111, 53, 59}"
131,57340,548,0.00993037223815918,7,"{100, 11, 108, 109, 123, 59, 29}"
132,59227,472,0.010735750198364258,8,"{32, 73, 83, 19, 117, 23, 124, 63}"
133,59675,546,0.010197639465332031,9,"{96, 97, 65, 13, 115, 122, 123, 92, 62}"
134,59776,511,0.01117706298828125,8,"{96, 128, 44, 113, 93, 54, 61, 127}"
135,60234,471,0.010569334030151367,9,"{65, 107, 76, 75, 110, 79, 113, 57, 123}"
136,61522,499,0.010437726974487305,8,"{97, 38, 44, 117, 118, 123, 30, 127}"
137,60916,475,0.010353326797485352,7,"{98, 101, 44, 14, 56, 90, 63}"
138,62078,533,0.010599851608276367,7,"{96, 70, 11, 83, 86, 55, 59}"
139,62201,519,0.0103607177734375,8,"{0, 130, 135, 9, 108, 77, 112, 124}"
140,62829,634,0.01056218147277832,8,"{3, 137, 138, 77, 86, 56, 123, 95}"
141,63645,585,0.010755538940429688,8,"{34, 10, 44, 109, 112, 55, 91, 93}"
142,63910,501,0.011400699615478516,8,"{65, 35, 5, 137, 44, 13, 47, 56}"
143,64672,621,0.010916471481323242,9,"{1, 5, 40, 8, 138, 50, 23, 56, 121}"
144,63602,528,0.01302337646484375,8,"{1, 134, 139, 108, 142, 51, 117, 63}"
145,65018,517,0.011063337326049805,7,"{98, 131, 77, 51, 117, 22, 58}"
146,65721,510,0.011062145233154297,8,"{65, 2, 98, 137, 77, 48, 55, 122}"
147,65943,658,0.011291742324829102,8,"{32, 97, 100, 7, 114, 93, 63, 127}"
148,66441,559,0.011061429977416992,8,"{47, 83, 53, 86, 119, 58, 60, 30}"
149,66880,502,0.010842084884643555,8,"{15, 145, 83, 52, 53, 123, 92, 30}"
150,67910,557,0.011539459228515625,7,"{97, 7, 106, 11, 108, 138, 15}"
151,69422,462,0.012166976928710938,7,"{35, 100, 140, 141, 145, 85, 56}"
152,70145,589,0.011433124542236328,8,"{71, 7, 76, 50, 83, 52, 23, 60}"
153,70297,550,0.011911392211914062,9,"{136, 75, 76, 20, 56, 123, 60, 29, 31}"
154,68520,563,0.011176109313964844,8,"{102, 71, 104, 48, 148, 84, 55, 152}"
155,71276,550,0.01236104965209961,8,"{130, 136, 138, 142, 83, 84, 154, 63}"
156,70345,554,0.013691902160644531,9,"{96, 1, 100, 135, 11, 155, 45, 154, 123}"
157,71807,544,0.011878728866577148,8,"{97, 5, 101, 9, 79, 148, 119, 29}"
158,72015,522,0.012453556060791016,8,"{5, 7, 137, 108, 78, 81, 152, 123}"
159,72390,537,0.01256871223449707,8,"{3, 109, 111, 53, 121, 154, 93, 127}"
160,73126,565,0.012737751007080078,8,"{136, 59, 11, 140, 77, 44, 91, 30}"
161,74251,671,0.012523174285888672,10,"{6, 9, 76, 145, 113, 51, 84, 87, 124, 29}"
162,75223,545,0.012052297592163086,9,"{96, 65, 135, 104, 142, 148, 150, 90, 28}"
