Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.75,100,1142454,334,0.04719853401184082,4,"{32, 50, 6, 63}"
graph_size_200_k_0.75,200,2476118,484,0.09287691116333008,6,"{137, 138, 43, 108, 58, 59}"
graph_size_300_k_0.75,300,3875923,474,0.14755916595458984,6,"{100, 112, 83, 179, 155, 63}"
graph_size_400_k_0.75,400,5304470,533,0.20192718505859375,6,"{225, 323, 358, 296, 138, 317}"
graph_size_500_k_0.75,500,6806269,521,0.25977110862731934,7,"{96, 132, 455, 493, 77, 80, 58}"
graph_size_600_k_0.75,600,8297989,570,0.319976806640625,7,"{34, 323, 48, 468, 439, 381, 351}"
graph_size_700_k_0.75,700,9829052,549,0.3625481128692627,6,"{323, 550, 198, 302, 657, 63}"
graph_size_800_k_0.75,800,11345157,546,0.41619396209716797,6,"{613, 711, 551, 396, 335, 119}"
graph_size_900_k_0.75,900,12958512,562,0.48580503463745117,6,"{300, 335, 208, 177, 50, 152}"
graph_size_1000_k_0.75,1000,14503434,554,0.5356795787811279,7,"{742, 905, 845, 750, 56, 601, 575}"
graph_size_1100_k_0.75,1100,16080340,594,0.8133487701416016,7,"{904, 810, 234, 529, 890, 507, 922}"
graph_size_1200_k_0.75,1200,17673342,581,0.6481020450592041,7,"{864, 739, 1061, 550, 135, 556, 541}"
graph_size_1300_k_0.75,1300,19314001,635,0.7113523483276367,7,"{707, 708, 840, 1236, 501, 342, 283}"
graph_size_1400_k_0.75,1400,20973469,588,0.7713768482208252,7,"{1, 198, 140, 1236, 342, 376, 607}"
graph_size_1500_k_0.75,1500,22618904,600,0.8356077671051025,7,"{643, 711, 330, 1107, 982, 792, 1086}"
graph_size_1600_k_0.75,1600,24267801,627,0.8858094215393066,7,"{1317, 395, 1355, 112, 51, 789, 190}"
graph_size_1700_k_0.75,1700,25798925,625,0.9416477680206299,7,"{1600, 904, 714, 687, 177, 1591, 798}"
graph_size_1800_k_0.75,1800,27456422,647,1.01981520652771,7,"{1540, 1679, 1779, 982, 792, 668, 1567}"
graph_size_1900_k_0.75,1900,29175004,609,1.053251028060913,7,"{198, 1000, 1161, 1679, 502, 953, 1629}"
graph_size_2000_k_0.75,2000,30854151,627,1.0960919857025146,8,"{225, 1060, 1860, 1382, 305, 340, 217, 29}"
graph_size_2100_k_0.75,2100,32563702,614,1.166839838027954,7,"{1327, 272, 340, 214, 1465, 411, 1503}"
graph_size_2200_k_0.75,2200,34156252,640,1.2292022705078125,7,"{1124, 711, 879, 1268, 500, 342, 1048}"
graph_size_2300_k_0.75,2300,35975463,617,1.2943456172943115,8,"{1732, 1257, 1687, 1245, 1273, 731, 1341, 1662}"
graph_size_2400_k_0.75,2400,37618817,668,1.3501482009887695,8,"{230, 461, 2223, 563, 2228, 2110, 409, 2014}"
graph_size_2500_k_0.75,2500,39187965,636,1.3909516334533691,7,"{1697, 296, 2159, 656, 1396, 948, 1758}"
graph_size_2600_k_0.75,2600,40965465,631,1.4618897438049316,7,"{2496, 2218, 138, 555, 2226, 987, 2270}"
graph_size_2700_k_0.75,2700,42732864,633,1.5168633460998535,7,"{2691, 110, 623, 242, 2611, 948, 2236}"
graph_size_2800_k_0.75,2800,44484788,709,1.623899221420288,9,"{1600, 1097, 1355, 300, 235, 2796, 434, 471, 1469}"
graph_size_2900_k_0.75,2900,46260838,634,1.7801768779754639,8,"{1440, 2213, 1599, 2719, 913, 2104, 190, 383}"
graph_size_3000_k_0.75,3000,47811047,624,1.6948788166046143,8,"{2848, 2248, 2217, 369, 1107, 221, 574, 1599}"
graph_size_3100_k_0.75,3100,49683765,632,1.7674682140350342,7,"{1609, 1386, 2251, 1430, 119, 56, 220}"
graph_size_3200_k_0.75,3200,51287356,618,1.8639893531799316,8,"{1987, 2534, 1065, 2094, 498, 1396, 1590, 2297}"
graph_size_3300_k_0.75,3300,52931621,607,1.8769032955169678,7,"{865, 2265, 1317, 206, 1529, 2908, 2911}"
graph_size_3400_k_0.75,3400,54884464,664,2.014111042022705,8,"{329, 3147, 2988, 3088, 2197, 406, 119, 218}"
graph_size_3500_k_0.75,3500,56490713,656,2.003690004348755,7,"{1347, 200, 2187, 3340, 3247, 177, 2237}"
