Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.75,1,1,15,3.790855407714844e-05,1,{0}
graph_size_2_k_0.75,2,19988,52,0.04407000541687012,1,{1}
graph_size_3_k_0.75,3,27476,52,0.005487918853759766,1,{1}
graph_size_4_k_0.75,4,39908,125,0.0073146820068359375,2,"{1, 3}"
graph_size_5_k_0.75,5,53476,159,0.007731914520263672,3,"{1, 2, 3}"
graph_size_6_k_0.75,6,55648,86,0.006827354431152344,2,"{1, 2}"
graph_size_7_k_0.75,7,67863,145,0.007547616958618164,3,"{1, 3, 4}"
graph_size_8_k_0.75,8,73856,125,0.007406949996948242,2,"{1, 3}"
graph_size_9_k_0.75,9,82595,135,0.007638454437255859,2,"{3, 6}"
graph_size_10_k_0.75,10,92527,140,0.008165121078491211,2,"{6, 7}"
graph_size_11_k_0.75,11,102462,140,0.00825190544128418,3,"{0, 9, 6}"
graph_size_12_k_0.75,12,110987,178,0.008521556854248047,2,"{10, 7}"
graph_size_13_k_0.75,13,123112,196,0.0098876953125,3,"{8, 10, 6}"
graph_size_14_k_0.75,14,136457,203,0.011844158172607422,3,"{9, 10, 12}"
graph_size_15_k_0.75,15,145673,176,0.010033607482910156,3,"{8, 11, 7}"
graph_size_16_k_0.75,16,153553,178,0.010053634643554688,2,"{10, 7}"
graph_size_17_k_0.75,17,159678,185,0.01066732406616211,2,"{10, 13}"
graph_size_18_k_0.75,18,173320,177,0.011289358139038086,3,"{9, 13, 14}"
graph_size_19_k_0.75,19,188411,222,0.012326717376708984,3,"{11, 3, 13}"
graph_size_20_k_0.75,20,196620,193,0.013111352920532227,3,"{9, 13, 15}"
graph_size_21_k_0.75,21,205664,241,0.012825489044189453,3,"{9, 10, 7}"
graph_size_22_k_0.75,22,216316,202,0.013360261917114258,4,"{8, 9, 4, 13}"
graph_size_23_k_0.75,23,233632,226,0.013999700546264648,3,"{10, 11, 6}"
graph_size_24_k_0.75,24,240559,209,0.014430999755859375,3,"{10, 20, 22}"
graph_size_25_k_0.75,25,243112,214,0.015423774719238281,3,"{10, 12, 22}"
graph_size_26_k_0.75,26,266748,261,0.014880180358886719,4,"{9, 3, 12, 13}"
graph_size_27_k_0.75,27,277333,262,0.01588153839111328,3,"{25, 13, 23}"
graph_size_28_k_0.75,28,283610,233,0.01618671417236328,3,"{13, 6, 23}"
graph_size_29_k_0.75,29,291755,241,0.01636815071105957,4,"{25, 27, 6, 7}"
graph_size_30_k_0.75,30,301228,237,0.017328977584838867,3,"{13, 22, 7}"
graph_size_31_k_0.75,31,324394,271,0.01785445213317871,4,"{25, 29, 5, 13}"
graph_size_32_k_0.75,32,338711,271,0.018051862716674805,4,"{16, 10, 13, 29}"
graph_size_33_k_0.75,33,337655,240,0.017392635345458984,3,"{32, 13, 22}"
graph_size_34_k_0.75,34,351136,294,0.019109487533569336,4,"{32, 9, 29, 7}"
graph_size_35_k_0.75,35,380306,314,0.019315242767333984,5,"{33, 9, 10, 20, 23}"
graph_size_36_k_0.75,36,369725,239,0.019711732864379883,3,"{25, 13, 9}"
graph_size_37_k_0.75,37,386719,277,0.01918816566467285,3,"{25, 10, 23}"
graph_size_38_k_0.75,38,395746,259,0.019575119018554688,3,"{10, 13, 22}"
graph_size_39_k_0.75,39,418809,322,0.022044897079467773,5,"{33, 9, 11, 22, 25}"
graph_size_40_k_0.75,40,415085,255,0.02090144157409668,3,"{25, 7, 23}"
graph_size_41_k_0.75,41,433778,323,0.020769834518432617,4,"{32, 10, 11, 7}"
graph_size_42_k_0.75,42,451302,317,0.022576570510864258,4,"{9, 13, 25, 7}"
graph_size_43_k_0.75,43,456353,241,0.022176504135131836,4,"{15, 7, 29, 39}"
graph_size_44_k_0.75,44,470312,309,0.022755146026611328,4,"{32, 25, 34, 6}"
graph_size_45_k_0.75,45,477454,276,0.02337050437927246,4,"{25, 44, 20, 23}"
