Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
1,749,15,0.0016713142395019531,{0}
2,749,52,0.0014035701751708984,{1}
3,749,52,0.001748800277709961,{1}
4,749,125,0.003059864044189453,"{1, 3}"
5,749,159,0.0027379989624023438,"{1, 2, 3}"
6,749,86,0.0027785301208496094,"{1, 2}"
7,749,145,0.003751039505004883,"{1, 3, 4}"
8,749,125,0.0032324790954589844,"{1, 3}"
9,749,135,0.0035369396209716797,"{3, 6}"
10,749,140,0.003750324249267578,"{6, 7}"
11,749,140,0.005462646484375,"{0, 9, 6}"
12,749,178,0.004426240921020508,"{10, 7}"
13,749,196,0.0044956207275390625,"{8, 10, 6}"
14,749,203,0.005578041076660156,"{9, 10, 12}"
15,749,176,0.004985332489013672,"{8, 11, 7}"
16,749,178,0.005218505859375,"{10, 7}"
17,749,185,0.006076812744140625,"{10, 13}"
18,749,177,0.0057446956634521484,"{9, 13, 14}"
19,749,222,0.0066375732421875,"{11, 3, 13}"
20,749,193,0.0065746307373046875,"{3, 10, 19}"
21,749,241,0.006677389144897461,"{9, 10, 7}"
22,749,202,0.007514476776123047,"{8, 9, 4, 13}"
23,749,226,0.0073435306549072266,"{10, 11, 6}"
24,749,209,0.00823354721069336,"{10, 20, 22}"
25,749,214,0.007630825042724609,"{10, 12, 22}"
26,749,261,0.008210420608520508,"{9, 3, 12, 13}"
27,749,262,0.008419513702392578,"{25, 13, 23}"
28,749,233,0.008805513381958008,"{13, 6, 23}"
29,749,241,0.008790254592895508,"{25, 27, 6, 7}"
30,749,237,0.00880742073059082,"{13, 22, 7}"
31,749,271,0.009007930755615234,"{25, 13, 5, 29}"
32,749,271,0.009300470352172852,"{16, 10, 29, 13}"
33,749,240,0.009539365768432617,"{32, 13, 22}"
34,749,294,0.010468244552612305,"{32, 9, 29, 7}"
35,749,314,0.010216474533081055,"{33, 9, 10, 20, 23}"
36,749,239,0.010508298873901367,"{25, 13, 9}"
37,749,277,0.010494709014892578,"{25, 10, 23}"
38,749,259,0.012526273727416992,"{10, 13, 22}"
39,749,322,0.011865854263305664,"{33, 9, 11, 22, 25}"
40,749,255,0.011200666427612305,"{25, 7, 23}"
41,749,323,0.012000083923339844,"{32, 10, 11, 7}"
42,749,317,0.012193441390991211,"{25, 13, 9, 7}"
