Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.125,100,1296155,1239,0.24428749084472656,23,"{65, 3, 70, 7, 72, 11, 76, 77, 14, 12, 17, 84, 86, 88, 90, 27, 30, 98, 40, 44, 53, 54, 55}"
graph_size_200_k_0.125,200,5612593,1544,0.5763547420501709,28,"{2, 130, 3, 195, 135, 74, 139, 10, 81, 19, 84, 21, 150, 22, 154, 30, 159, 95, 35, 100, 38, 167, 168, 108, 48, 51, 189, 127}"
graph_size_300_k_0.125,300,13098817,1763,0.9491982460021973,30,"{64, 130, 2, 198, 74, 205, 141, 15, 272, 147, 83, 149, 119, 220, 222, 33, 162, 168, 40, 41, 171, 104, 173, 238, 177, 242, 55, 56, 58, 188}"
graph_size_400_k_0.125,400,23226819,1765,1.4648241996765137,35,"{129, 258, 130, 387, 5, 261, 135, 155, 289, 301, 304, 180, 182, 55, 310, 320, 323, 324, 200, 332, 335, 213, 86, 214, 216, 344, 348, 353, 226, 229, 358, 235, 364, 240, 373}"
graph_size_500_k_0.125,500,36168538,1808,1.826673984527588,32,"{386, 390, 9, 265, 11, 398, 402, 403, 290, 422, 170, 172, 177, 178, 307, 181, 55, 442, 455, 457, 333, 469, 471, 473, 345, 479, 358, 112, 247, 124, 125, 126}"
graph_size_600_k_0.125,600,52692220,1663,2.018422842025757,34,"{258, 398, 532, 407, 153, 283, 157, 541, 416, 548, 38, 424, 40, 555, 305, 179, 309, 182, 184, 443, 576, 579, 73, 591, 84, 90, 223, 95, 103, 237, 369, 249, 381, 382}"
graph_size_700_k_0.125,700,69839178,2286,2.858043670654297,39,"{130, 133, 135, 521, 649, 657, 19, 403, 533, 535, 538, 29, 158, 290, 549, 680, 552, 554, 43, 691, 313, 318, 323, 328, 591, 340, 216, 601, 603, 354, 99, 486, 231, 488, 617, 618, 116, 500, 381}"
graph_size_800_k_0.125,800,95068065,2039,4.115827560424805,41,"{640, 512, 772, 135, 263, 532, 537, 539, 541, 423, 689, 51, 693, 54, 310, 575, 322, 197, 70, 328, 329, 712, 205, 719, 81, 467, 340, 597, 474, 735, 609, 99, 356, 100, 359, 618, 620, 371, 757, 119, 504}"
graph_size_900_k_0.125,900,116797743,2180,4.4154372215271,41,"{0, 384, 133, 12, 532, 25, 666, 539, 28, 291, 37, 805, 296, 170, 682, 174, 560, 691, 180, 829, 191, 321, 834, 451, 709, 201, 715, 600, 862, 866, 738, 229, 230, 743, 883, 115, 761, 117, 121, 762, 638}"
graph_size_1000_k_0.125,1000,146298492,1999,5.168699741363525,40,"{645, 261, 8, 141, 914, 917, 406, 279, 540, 925, 159, 548, 420, 936, 424, 46, 47, 558, 566, 824, 316, 828, 963, 454, 326, 330, 459, 79, 721, 979, 854, 343, 87, 98, 227, 358, 109, 112, 883, 383}"
graph_size_1100_k_0.125,1100,184109902,2138,6.386902809143066,39,"{140, 396, 269, 22, 282, 539, 284, 668, 412, 927, 1060, 167, 1064, 303, 815, 568, 312, 1082, 1081, 70, 586, 76, 77, 469, 853, 213, 861, 607, 863, 870, 747, 237, 880, 113, 626, 115, 245, 373, 635}"
graph_size_1200_k_0.125,1200,223923141,2212,7.822906494140625,42,"{643, 132, 656, 660, 1045, 20, 409, 153, 924, 415, 1066, 302, 48, 176, 52, 308, 438, 1087, 320, 833, 963, 1093, 326, 709, 841, 332, 333, 469, 854, 348, 1120, 98, 612, 877, 495, 112, 625, 626, 887, 760, 1149, 1022}"
graph_size_1300_k_0.125,1300,262384648,2545,8.283406257629395,46,"{384, 1025, 133, 518, 264, 10, 652, 142, 273, 1172, 1045, 533, 280, 797, 798, 413, 32, 801, 51, 691, 697, 1210, 316, 1213, 63, 452, 713, 586, 977, 85, 855, 1241, 247, 478, 863, 354, 873, 1001, 362, 1258, 110, 879, 1138, 373, 119, 767}"
graph_size_1400_k_0.125,1400,290450118,2524,11.584859609603882,41,"{1153, 1157, 519, 266, 1293, 893, 1044, 278, 1317, 1063, 935, 554, 301, 302, 1199, 698, 1212, 957, 446, 1215, 1216, 577, 449, 841, 842, 204, 463, 207, 336, 341, 348, 479, 353, 1122, 868, 1126, 486, 365, 1389, 1393, 253}"
graph_size_1500_k_0.125,1500,342766236,2674,11.641145706176758,46,"{647, 911, 783, 787, 1302, 22, 283, 156, 674, 931, 1445, 807, 1065, 170, 556, 1326, 1457, 691, 438, 185, 186, 1470, 1087, 321, 194, 971, 974, 464, 210, 1236, 726, 602, 860, 1117, 990, 1253, 489, 362, 236, 748, 750, 110, 1392, 244, 382, 127}"
graph_size_1600_k_0.125,1600,385727944,2289,12.628448486328125,47,"{1154, 1414, 775, 17, 1563, 158, 1054, 414, 1569, 932, 549, 1065, 1453, 48, 305, 308, 1079, 823, 1594, 1213, 703, 447, 194, 1349, 204, 589, 844, 975, 593, 985, 988, 225, 871, 1255, 489, 1386, 619, 1261, 112, 753, 114, 1011, 368, 886, 762, 1019, 763}"
