Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.25,1,10451,15,0.007550239562988281,1,{0}
graph_size_2_k_0.25,2,11811,52,0.009855985641479492,1,{1}
graph_size_3_k_0.25,3,14056,86,0.011114120483398438,2,"{1, 2}"
graph_size_4_k_0.25,4,17607,125,0.012234926223754883,2,"{1, 3}"
graph_size_5_k_0.25,5,20239,179,0.013492584228515625,4,"{1, 2, 3, 4}"
graph_size_6_k_0.25,6,24734,159,0.017172574996948242,3,"{1, 2, 3}"
graph_size_7_k_0.25,7,27676,187,0.01799464225769043,3,"{1, 3, 6}"
graph_size_8_k_0.25,8,27035,171,0.021144628524780273,4,"{1, 2, 5, 6}"
graph_size_9_k_0.25,9,35759,262,0.02164769172668457,5,"{0, 3, 6, 7, 8}"
graph_size_10_k_0.25,10,44301,242,0.02408623695373535,5,"{1, 2, 3, 4, 9}"
graph_size_11_k_0.25,11,53758,298,0.027162551879882812,5,"{1, 2, 7, 8, 10}"
graph_size_12_k_0.25,12,66085,255,0.030208587646484375,4,"{0, 10, 6, 7}"
graph_size_13_k_0.25,13,69608,286,0.032611846923828125,5,"{0, 3, 8, 10, 11}"
graph_size_14_k_0.25,14,72065,424,0.03416800498962402,6,"{7, 8, 9, 10, 11, 13}"
graph_size_15_k_0.25,15,85301,353,0.04002976417541504,6,"{0, 6, 7, 8, 10, 11}"
graph_size_16_k_0.25,16,92488,422,0.04105806350708008,6,"{6, 7, 8, 9, 10, 13}"
graph_size_17_k_0.25,17,89490,356,0.03839921951293945,7,"{16, 5, 6, 9, 11, 13, 15}"
graph_size_18_k_0.25,18,100391,423,0.040546417236328125,8,"{5, 9, 10, 11, 13, 14, 15, 16}"
graph_size_19_k_0.25,19,113338,351,0.0455629825592041,6,"{5, 6, 7, 9, 12, 13}"
graph_size_20_k_0.25,20,121434,374,0.047716617584228516,7,"{18, 19, 7, 9, 10, 11, 14}"
graph_size_21_k_0.25,21,128580,435,0.047532081604003906,8,"{4, 7, 8, 9, 10, 13, 19, 20}"
graph_size_22_k_0.25,22,145945,444,0.07956290245056152,8,"{5, 6, 7, 9, 10, 13, 18, 21}"
graph_size_23_k_0.25,23,155619,448,0.051276445388793945,8,"{4, 6, 7, 11, 13, 15, 19, 22}"
graph_size_24_k_0.25,24,173153,479,0.05466628074645996,8,"{3, 7, 10, 11, 13, 15, 16, 18}"
graph_size_25_k_0.25,25,188148,442,0.05815434455871582,7,"{3, 20, 21, 22, 6, 10, 13}"
graph_size_26_k_0.25,26,198111,452,0.057945966720581055,9,"{0, 3, 5, 9, 10, 11, 18, 19, 22}"
graph_size_27_k_0.25,27,218118,506,0.06367158889770508,8,"{3, 5, 6, 7, 13, 19, 22, 25}"
graph_size_28_k_0.25,28,219399,500,0.06406164169311523,8,"{6, 7, 10, 12, 13, 16, 20, 23}"
graph_size_29_k_0.25,29,236041,363,0.06553077697753906,6,"{18, 3, 8, 25, 10, 15}"
graph_size_30_k_0.25,30,246666,380,0.06928753852844238,7,"{0, 5, 7, 9, 10, 27, 25}"
graph_size_31_k_0.25,31,280698,518,0.07374215126037598,8,"{3, 5, 7, 9, 10, 13, 23, 27}"
graph_size_32_k_0.25,32,295692,523,0.07679057121276855,10,"{2, 13, 14, 15, 18, 20, 22, 23, 25, 28}"
graph_size_33_k_0.25,33,317346,369,0.07741761207580566,8,"{32, 5, 10, 12, 15, 16, 28, 31}"
graph_size_34_k_0.25,34,318730,517,0.07857489585876465,9,"{32, 4, 7, 8, 10, 20, 22, 23, 26}"
graph_size_35_k_0.25,35,355230,578,0.07886934280395508,11,"{32, 2, 4, 7, 9, 11, 13, 15, 16, 19, 22}"
graph_size_36_k_0.25,36,347201,529,0.07850337028503418,10,"{4, 7, 9, 10, 12, 14, 21, 23, 24, 25}"
graph_size_37_k_0.25,37,378974,540,0.08741188049316406,9,"{32, 3, 6, 8, 10, 18, 22, 28, 29}"
graph_size_38_k_0.25,38,388466,633,0.08584785461425781,10,"{32, 2, 3, 37, 10, 13, 14, 25, 28, 29}"
graph_size_39_k_0.25,39,410366,547,0.09005069732666016,9,"{35, 37, 8, 9, 13, 22, 23, 29, 30}"
graph_size_40_k_0.25,40,453709,471,0.10150694847106934,9,"{33, 35, 36, 3, 38, 11, 23, 25, 31}"
graph_size_41_k_0.25,41,433186,749,0.09295940399169922,12,"{32, 3, 39, 7, 10, 11, 20, 22, 25, 28, 30, 31}"
graph_size_42_k_0.25,42,454550,728,0.09864401817321777,11,"{33, 34, 37, 39, 40, 9, 7, 11, 13, 23, 25}"
graph_size_43_k_0.25,43,494535,562,0.10547113418579102,11,"{33, 34, 37, 40, 9, 42, 11, 8, 10, 19, 30}"
graph_size_44_k_0.25,44,477545,654,0.0970768928527832,14,"{32, 35, 3, 5, 38, 9, 10, 42, 14, 19, 21, 23, 28, 31}"
graph_size_45_k_0.25,45,499560,614,0.10384750366210938,12,"{32, 34, 3, 41, 10, 42, 17, 18, 20, 25, 27, 29}"
graph_size_46_k_0.25,46,546029,495,0.10909032821655273,11,"{1, 35, 6, 39, 40, 43, 45, 17, 19, 20, 25}"
graph_size_47_k_0.25,47,578495,614,0.11001896858215332,12,"{1, 34, 33, 38, 7, 40, 9, 45, 16, 23, 25, 27}"
graph_size_48_k_0.25,48,604792,532,0.1161797046661377,10,"{0, 34, 7, 40, 9, 8, 46, 17, 23, 25}"
graph_size_49_k_0.25,49,645187,545,0.11508345603942871,10,"{2, 4, 6, 7, 10, 44, 17, 25, 27, 29}"
graph_size_50_k_0.25,50,634542,534,0.11850786209106445,10,"{1, 34, 38, 6, 15, 21, 22, 23, 25, 26}"
graph_size_51_k_0.25,51,675054,663,0.12650370597839355,11,"{32, 34, 35, 7, 11, 44, 20, 21, 25, 29, 31}"
graph_size_52_k_0.25,52,736978,600,0.12354707717895508,13,"{37, 38, 6, 7, 41, 10, 44, 12, 14, 18, 20, 22, 24}"
graph_size_53_k_0.25,53,730939,546,0.12451744079589844,12,"{1, 36, 37, 40, 13, 46, 18, 20, 23, 28, 29, 31}"
graph_size_54_k_0.25,54,739181,692,0.12868118286132812,12,"{33, 34, 7, 40, 13, 14, 49, 18, 51, 52, 53, 22}"
graph_size_55_k_0.25,55,798496,552,0.13437557220458984,12,"{2, 5, 40, 43, 44, 15, 48, 16, 50, 53, 21, 24}"
graph_size_56_k_0.25,56,836361,604,0.1365201473236084,12,"{6, 7, 9, 44, 45, 16, 19, 20, 52, 23, 29, 31}"
graph_size_57_k_0.25,57,861089,619,0.1409919261932373,11,"{6, 39, 41, 10, 11, 46, 50, 18, 25, 29, 30}"
graph_size_58_k_0.25,58,854639,580,0.13520288467407227,14,"{2, 36, 38, 7, 44, 13, 17, 18, 20, 54, 55, 56, 26, 31}"
graph_size_59_k_0.25,59,960238,632,0.14495491981506348,11,"{34, 6, 8, 41, 13, 14, 48, 18, 22, 56, 29}"
graph_size_60_k_0.25,60,966945,618,0.1490468978881836,10,"{32, 34, 3, 35, 39, 9, 18, 52, 53, 58}"
graph_size_61_k_0.25,61,982531,727,0.14225053787231445,13,"{32, 2, 37, 8, 9, 44, 50, 18, 55, 25, 26, 59, 30}"
graph_size_62_k_0.25,62,1068664,659,0.1573200225830078,11,"{1, 3, 8, 40, 14, 47, 51, 20, 22, 23, 25}"
graph_size_63_k_0.25,63,1048515,600,0.15663766860961914,12,"{32, 3, 6, 43, 46, 29, 51, 22, 54, 62, 61, 30}"
graph_size_64_k_0.25,64,1106252,690,0.16330766677856445,12,"{32, 39, 42, 11, 50, 53, 54, 22, 24, 25, 29, 31}"
graph_size_65_k_0.25,65,1143539,647,0.1590290069580078,12,"{64, 33, 39, 10, 42, 13, 14, 15, 52, 53, 30, 63}"
graph_size_66_k_0.25,66,1200764,766,0.1588144302368164,15,"{32, 1, 64, 5, 10, 43, 15, 17, 51, 23, 55, 57, 58, 27, 60}"
graph_size_67_k_0.25,67,1249108,688,0.16382169723510742,14,"{1, 6, 38, 40, 9, 42, 11, 15, 20, 55, 23, 26, 28, 29}"
graph_size_68_k_0.25,68,1246659,657,0.1716468334197998,12,"{64, 34, 3, 40, 14, 15, 21, 56, 26, 59, 30, 63}"
graph_size_69_k_0.25,69,1305814,595,0.18019747734069824,12,"{64, 5, 38, 13, 14, 51, 52, 22, 55, 59, 61, 31}"
graph_size_70_k_0.25,70,1333377,620,0.17294836044311523,12,"{64, 1, 2, 4, 37, 8, 44, 13, 16, 22, 23, 63}"
graph_size_71_k_0.25,71,1393898,772,0.1786794662475586,13,"{65, 2, 1, 70, 9, 10, 43, 17, 52, 55, 56, 30, 63}"
graph_size_72_k_0.25,72,1389890,719,0.18839311599731445,11,"{32, 65, 40, 8, 9, 12, 53, 57, 59, 29, 63}"
graph_size_73_k_0.25,73,1385545,787,0.18239784240722656,15,"{65, 4, 40, 11, 46, 48, 49, 50, 51, 23, 25, 27, 60, 62, 57}"
graph_size_74_k_0.25,74,1407762,682,0.1849379539489746,12,"{1, 65, 40, 59, 10, 11, 13, 18, 24, 57, 27, 63}"
graph_size_75_k_0.25,75,1560469,630,0.18804645538330078,12,"{1, 4, 38, 71, 10, 12, 48, 17, 52, 53, 23, 30}"
graph_size_76_k_0.25,76,1573796,717,0.1861419677734375,13,"{1, 11, 75, 12, 13, 45, 16, 50, 22, 23, 25, 26, 29}"
graph_size_77_k_0.25,77,1684486,787,0.19813013076782227,10,"{1, 69, 10, 76, 12, 50, 53, 56, 25, 59}"
graph_size_78_k_0.25,78,1620943,795,0.18362021446228027,14,"{1, 2, 7, 40, 9, 42, 11, 44, 77, 20, 21, 56, 59, 61}"
graph_size_79_k_0.25,79,1717032,706,0.21381092071533203,12,"{69, 5, 39, 40, 37, 42, 11, 13, 51, 22, 60, 63}"
graph_size_80_k_0.25,80,1738874,667,0.19552254676818848,12,"{5, 6, 38, 70, 9, 77, 17, 53, 22, 27, 60, 63}"
graph_size_81_k_0.25,81,1795891,526,0.21848392486572266,12,"{33, 34, 35, 2, 69, 67, 40, 43, 49, 59, 62, 31}"
graph_size_82_k_0.25,82,1894475,759,0.2169787883758545,14,"{33, 4, 7, 71, 10, 75, 11, 13, 47, 81, 50, 52, 60, 30}"
graph_size_83_k_0.25,83,1937017,802,0.22257709503173828,11,"{1, 65, 2, 7, 77, 80, 81, 50, 53, 56, 29}"
graph_size_84_k_0.25,84,2020112,658,0.22762274742126465,11,"{35, 4, 7, 10, 42, 11, 82, 19, 51, 83, 25}"
graph_size_85_k_0.25,85,1961007,773,0.20162320137023926,13,"{32, 1, 6, 40, 10, 11, 42, 45, 13, 48, 49, 52, 63}"
