Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.125,100,104312,411,0.04601764678955078,11,"{2, 1, 7, 73, 75, 76, 54, 67, 84, 18, 69}"
graph_size_200_k_0.125,200,173573,3894,0.06679368019104004,86,"{7, 6, 11, 14, 21, 23, 24, 26, 27, 30, 33, 36, 37, 38, 41, 42, 43, 48, 51, 52, 53, 55, 56, 10, 57, 61, 62, 64, 66, 67, 68, 69, 70, 71, 74, 72, 78, 79, 80, 84, 81, 90, 87, 96, 97, 98, 99, 104, 105, 106, 107, 108, 109, 110, 111, 115, 122, 127, 129, 130, 133, 136, 137, 138, 145, 146, 147, 149, 150, 152, 154, 155, 156, 160, 164, 170, 174, 178, 183, 184, 186, 190, 185, 192, 193, 195}"
graph_size_300_k_0.125,300,152755,972,0.053258419036865234,17,"{0, 131, 200, 10, 205, 79, 273, 214, 231, 167, 169, 299, 45, 112, 243, 189, 253}"
graph_size_400_k_0.125,400,229948,1245,0.08349108695983887,25,"{12, 276, 292, 293, 294, 314, 58, 317, 332, 353, 98, 101, 105, 374, 377, 379, 380, 141, 156, 165, 182, 206, 209, 215, 232}"
graph_size_500_k_0.125,500,204399,735,0.06622600555419922,22,"{261, 263, 9, 266, 271, 15, 158, 34, 169, 47, 181, 188, 446, 68, 466, 470, 89, 346, 102, 487, 488, 235}"
graph_size_600_k_0.125,600,264450,87,0.08939051628112793,4,"{215, 89, 105, 572}"
graph_size_700_k_0.125,700,408410,3889,0.14407682418823242,80,"{0, 2, 515, 5, 519, 11, 527, 18, 22, 26, 540, 542, 31, 555, 46, 558, 563, 52, 574, 63, 575, 582, 587, 80, 593, 600, 601, 605, 603, 614, 106, 620, 625, 627, 116, 114, 639, 132, 138, 651, 657, 146, 149, 152, 154, 666, 160, 162, 163, 166, 176, 175, 689, 178, 208, 212, 225, 229, 230, 247, 262, 294, 300, 337, 341, 353, 356, 407, 408, 426, 428, 434, 441, 453, 460, 470, 480, 486, 489, 506}"
graph_size_800_k_0.125,800,406104,1757,0.1379990577697754,32,"{774, 7, 519, 528, 789, 22, 278, 793, 546, 559, 560, 59, 337, 96, 100, 359, 631, 376, 377, 656, 657, 402, 403, 404, 659, 154, 671, 163, 422, 449, 483, 756}"
graph_size_900_k_0.125,900,486712,2918,0.17218589782714844,65,"{522, 544, 566, 54, 579, 581, 70, 582, 583, 75, 593, 599, 616, 617, 112, 625, 633, 636, 645, 170, 710, 712, 202, 725, 743, 747, 242, 248, 251, 767, 259, 775, 791, 283, 799, 817, 820, 823, 829, 832, 327, 842, 848, 851, 344, 861, 349, 866, 364, 876, 368, 372, 891, 896, 382, 388, 410, 420, 458, 464, 469, 471, 485, 494, 502}"
graph_size_1000_k_0.125,1000,445769,1985,0.14282512664794922,38,"{0, 771, 520, 524, 526, 787, 796, 551, 558, 565, 313, 57, 827, 317, 62, 72, 595, 343, 364, 370, 122, 381, 897, 134, 908, 916, 666, 418, 421, 684, 959, 452, 457, 977, 983, 990, 491, 502}"
