Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.5,100,679,369,0.00014257431030273438,7,"{3, 37, 7, 85, 58, 60, 30}"
graph_size_200_k_0.5,200,1545,501,0.0002512931823730469,8,"{97, 3, 139, 108, 79, 178, 55, 58}"
graph_size_300_k_0.5,300,2487,356,0.0003440380096435547,9,"{34, 166, 40, 41, 74, 46, 21, 156, 30}"
graph_size_400_k_0.5,400,3476,346,0.0004622936248779297,9,"{38, 262, 296, 105, 41, 203, 335, 82, 24}"
graph_size_500_k_0.5,500,4501,556,0.0006012916564941406,9,"{416, 224, 40, 329, 12, 400, 278, 23, 440}"
graph_size_600_k_0.5,600,5558,536,0.0007593631744384766,10,"{352, 599, 233, 10, 209, 19, 407, 314, 316, 157}"
graph_size_700_k_0.5,700,6634,499,0.0008883476257324219,9,"{33, 487, 233, 473, 177, 21, 408, 601, 316}"
graph_size_800_k_0.5,800,7734,527,0.0009818077087402344,9,"{768, 743, 201, 682, 684, 176, 212, 601, 474}"
graph_size_900_k_0.5,900,8853,555,0.0010981559753417969,10,"{869, 620, 492, 433, 434, 659, 115, 23, 247, 861}"
graph_size_1000_k_0.5,1000,9986,490,0.0012946128845214844,10,"{68, 519, 776, 140, 211, 468, 694, 440, 635, 316}"
graph_size_1100_k_0.5,1100,11134,558,0.0013210773468017578,10,"{1090, 715, 108, 219, 143, 783, 307, 471, 474, 91}"
graph_size_1200_k_0.5,1200,12295,455,0.0014524459838867188,10,"{1093, 364, 209, 913, 627, 443, 699, 988, 510, 479}"
graph_size_1300_k_0.5,1300,13466,394,0.0016307830810546875,9,"{901, 326, 366, 212, 725, 1022, 538, 157, 190}"
graph_size_1400_k_0.5,1400,14654,353,0.001744985580444336,11,"{609, 354, 455, 330, 587, 139, 16, 1139, 405, 725, 1116}"
graph_size_1500_k_0.5,1500,15849,682,0.0019254684448242188,11,"{608, 226, 164, 840, 172, 951, 468, 566, 503, 346, 1086}"
graph_size_1600_k_0.5,1600,17053,437,0.0019664764404296875,11,"{609, 827, 35, 251, 1148, 1109, 280, 25, 1339, 924, 830}"
graph_size_1700_k_0.5,1700,18266,473,0.0020706653594970703,11,"{480, 1635, 101, 904, 1051, 170, 621, 692, 922, 347, 1309}"
graph_size_1800_k_0.5,1800,19485,629,0.00215911865234375,10,"{707, 1772, 141, 1744, 689, 1459, 1460, 533, 599, 1753}"
graph_size_1900_k_0.5,1900,20719,467,0.002285480499267578,12,"{420, 997, 712, 842, 1007, 1840, 241, 1267, 1302, 407, 1752, 1369}"
graph_size_2000_k_0.5,2000,21956,600,0.0024776458740234375,12,"{1543, 1528, 1479, 876, 302, 1880, 1172, 118, 1751, 216, 315, 575}"
graph_size_2100_k_0.5,2100,23198,432,0.0025513172149658203,11,"{1537, 217, 1700, 1765, 1577, 877, 1405, 1495, 184, 1625, 1725}"
graph_size_2200_k_0.5,2200,24452,610,0.0026731491088867188,12,"{332, 1677, 302, 1358, 238, 435, 1300, 471, 1369, 2170, 349, 895}"
graph_size_2300_k_0.5,2300,25708,557,0.0029494762420654297,11,"{64, 835, 808, 1482, 108, 1516, 172, 1171, 1110, 1403, 412}"
graph_size_2400_k_0.5,2400,26972,574,0.002978086471557617,11,"{800, 1377, 1883, 747, 2252, 1720, 793, 216, 2137, 1881, 2136}"
graph_size_2500_k_0.5,2500,28246,652,0.0033032894134521484,13,"{192, 1057, 1063, 1611, 1259, 1197, 493, 653, 625, 2193, 1588, 598, 155}"
graph_size_2600_k_0.5,2600,29520,418,0.003284931182861328,12,"{2473, 491, 172, 1935, 1137, 2427, 1880, 1142, 2199, 984, 2490, 763}"
graph_size_2700_k_0.5,2700,30805,840,0.0035276412963867188,14,"{1988, 936, 744, 2506, 842, 845, 815, 2128, 1971, 725, 2325, 1340, 445, 542}"
graph_size_2800_k_0.5,2800,32086,701,0.0034198760986328125,11,"{353, 386, 471, 1478, 554, 2255, 1298, 2356, 150, 791, 2134}"
graph_size_2900_k_0.5,2900,33378,569,0.0034699440002441406,11,"{2435, 2787, 2277, 2182, 1864, 176, 2609, 1713, 2715, 605, 447}"
graph_size_3000_k_0.5,3000,34679,725,0.004042387008666992,13,"{2530, 2373, 230, 2696, 170, 1035, 1422, 2255, 2642, 87, 1783, 1464, 894}"
graph_size_3100_k_0.5,3100,35976,598,0.003864288330078125,11,"{2977, 1698, 1124, 1284, 1574, 2278, 683, 951, 690, 2583, 1465}"
graph_size_3200_k_0.5,3200,37285,567,0.004099369049072266,12,"{1408, 1793, 1794, 2499, 357, 582, 1705, 1643, 331, 2933, 2297, 798}"
graph_size_3300_k_0.5,3300,38594,775,0.004185676574707031,11,"{2208, 1161, 3178, 1386, 426, 1678, 563, 2650, 1400, 1338, 2782}"
graph_size_3400_k_0.5,3400,39909,715,0.004450321197509766,11,"{1889, 3235, 1541, 263, 1960, 2669, 2255, 665, 889, 765, 2943}"
graph_size_3500_k_0.5,3500,41228,563,0.004328250885009766,11,"{2915, 828, 1771, 3083, 2638, 3023, 1358, 472, 2172, 3453, 2815}"
