Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_1_k_0.125,1,2,15,3.457069396972656e-05,1,{0}
graph_size_2_k_0.125,2,4,15,3.24249267578125e-05,1,{0}
graph_size_3_k_0.125,3,9,49,3.123283386230469e-05,2,"{0, 2}"
graph_size_4_k_0.125,4,14,122,3.147125244140625e-05,3,"{0, 2, 3}"
graph_size_5_k_0.125,5,20,142,3.337860107421875e-05,4,"{0, 2, 3, 4}"
graph_size_6_k_0.125,6,24,92,3.4809112548828125e-05,4,"{0, 2, 4, 5}"
graph_size_7_k_0.125,7,28,173,3.528594970703125e-05,4,"{0, 3, 5, 6}"
graph_size_8_k_0.125,8,36,232,3.600120544433594e-05,6,"{0, 2, 4, 5, 6, 7}"
graph_size_9_k_0.125,9,41,227,3.695487976074219e-05,6,"{0, 2, 3, 4, 5, 6}"
graph_size_10_k_0.125,10,46,238,3.7670135498046875e-05,6,"{0, 2, 3, 4, 6, 8}"
graph_size_11_k_0.125,11,51,281,3.838539123535156e-05,6,"{0, 2, 4, 7, 8, 10}"
graph_size_12_k_0.125,12,56,254,4.124641418457031e-05,6,"{0, 2, 3, 4, 7, 8}"
graph_size_13_k_0.125,13,63,299,4.220008850097656e-05,7,"{0, 2, 3, 4, 5, 8, 10}"
graph_size_14_k_0.125,14,66,424,4.124641418457031e-05,6,"{7, 8, 9, 10, 11, 13}"
graph_size_15_k_0.125,15,73,419,4.363059997558594e-05,7,"{1, 2, 5, 6, 9, 10, 13}"
graph_size_16_k_0.125,16,82,521,4.673004150390625e-05,9,"{1, 2, 7, 8, 10, 11, 13, 14, 15}"
graph_size_17_k_0.125,17,92,612,4.649162292480469e-05,11,"{1, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16}"
graph_size_18_k_0.125,18,98,452,4.673004150390625e-05,11,"{0, 5, 6, 7, 8, 9, 11, 12, 15, 16, 17}"
graph_size_19_k_0.125,19,101,396,5.078315734863281e-05,10,"{0, 4, 5, 7, 8, 9, 11, 12, 15, 17}"
graph_size_20_k_0.125,20,109,452,5.14984130859375e-05,11,"{1, 4, 5, 6, 7, 10, 12, 14, 16, 17, 18}"
