Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
1,2,15,0.0,{0}
2,4,15,0.0,{0}
3,9,86,0.0,"{1, 2}"
4,12,88,0.0,"{0, 3}"
5,18,159,0.0,"{1, 2, 3}"
6,22,106,0.0,"{1, 2, 4}"
7,26,145,0.0,"{1, 3, 4}"
8,28,38,0.0,"{0, 5}"
9,35,150,0.0,"{0, 3, 6}"
10,40,127,0.0,"{0, 8, 7}"
11,45,127,0.0,"{0, 8, 7}"
12,50,140,0.0,"{0, 9, 6}"
13,57,236,0.0,"{8, 10, 12, 6}"
14,64,285,0.0,"{6, 8, 11, 12, 13}"
15,67,288,0.0,"{9, 13, 6, 7}"
16,72,325,0.0,"{10, 13, 6, 7}"
17,82,195,0.0,"{4, 5, 11, 14, 15, 16}"
18,88,304,0.0,"{5, 9, 11, 12, 13, 14}"
19,89,227,0.0,"{10, 4, 14, 7}"
20,99,181,0.0,"{3, 4, 8, 17, 18, 19}"
21,105,263,0.0,"{4, 6, 8, 9, 11, 19}"
22,109,247,0.0,"{3, 4, 6, 7, 16}"
23,113,171,0.0,"{19, 9, 3, 0}"
24,123,262,0.0,"{0, 3, 6, 7, 16, 18}"
25,125,181,0.0,"{19, 17, 3, 22}"
26,135,315,0.0,"{3, 5, 9, 15, 19, 25}"
27,139,181,0.0,"{3, 5, 15, 18, 19}"
28,147,288,0.0009999275207519531,"{2, 12, 13, 14, 17, 23}"
29,151,154,0.0,"{5, 8, 11, 18, 21}"
30,160,254,0.0,"{2, 4, 13, 19, 23, 24}"
31,166,258,0.001003265380859375,"{2, 4, 11, 12, 25, 26}"
32,170,319,0.0,"{2, 4, 10, 22, 25}"
33,179,226,0.0,"{2, 4, 8, 12, 22, 28}"
34,183,297,0.0,"{2, 6, 9, 11, 22}"
35,192,297,0.0,"{2, 4, 9, 19, 22, 23}"
36,197,263,0.0,"{35, 9, 10, 27, 31}"
37,207,312,0.0,"{3, 6, 8, 10, 17, 19, 24}"
38,214,261,0.0,"{2, 37, 8, 16, 17, 20, 23}"
39,221,451,0.0,"{32, 3, 37, 11, 22, 25, 28}"
40,227,406,0.0,"{32, 2, 3, 35, 7, 9, 14}"
41,230,320,0.0,"{3, 37, 7, 8, 25}"
42,237,345,0.0,"{34, 3, 7, 8, 13}"
43,248,331,0.0,"{1, 7, 42, 13, 24, 27, 29}"
44,253,292,0.0,"{1, 34, 35, 6, 39, 26}"
45,260,375,0.0,"{1, 7, 41, 44, 25, 29}"
46,267,219,0.0,"{1, 6, 43, 45, 19, 28}"
47,276,299,0.0,"{1, 40, 45, 16, 20, 23, 28}"
