Graph Name,Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution Size,Solution
graph_size_100_k_0.125,100,711,1465,0.0002760887145996094,23,"{12, 13, 15, 23, 30, 32, 40, 44, 48, 50, 60, 63, 65, 70, 71, 72, 76, 81, 84, 86, 92, 96, 99}"
graph_size_200_k_0.125,200,1581,1875,0.0004801750183105469,26,"{131, 10, 138, 139, 13, 148, 23, 168, 170, 48, 179, 52, 58, 59, 63, 191, 193, 69, 73, 77, 96, 97, 100, 104, 108, 122}"
graph_size_300_k_0.125,300,2527,2260,0.0007026195526123047,29,"{4, 136, 10, 140, 13, 273, 147, 291, 293, 296, 168, 171, 48, 50, 51, 55, 58, 196, 201, 77, 218, 93, 97, 225, 101, 232, 235, 108, 237}"
graph_size_400_k_0.125,400,3526,2580,0.0009424686431884766,34,"{390, 138, 10, 140, 395, 397, 147, 148, 19, 152, 283, 29, 298, 172, 301, 174, 176, 48, 316, 318, 65, 197, 329, 332, 205, 335, 214, 342, 220, 221, 100, 110, 119, 381}"
graph_size_500_k_0.125,500,4551,2474,0.0011749267578125,34,"{390, 138, 267, 399, 272, 273, 148, 152, 281, 411, 412, 32, 50, 437, 55, 318, 448, 320, 198, 77, 468, 216, 218, 220, 92, 478, 353, 230, 493, 109, 499, 247, 123, 124}"
graph_size_600_k_0.125,600,5608,2686,0.0014646053314208984,35,"{518, 7, 525, 399, 152, 409, 281, 411, 283, 537, 413, 546, 293, 166, 316, 317, 451, 580, 453, 582, 198, 455, 457, 459, 335, 209, 599, 93, 106, 364, 496, 242, 499, 503, 254}"
graph_size_700_k_0.125,700,6692,3055,0.001687765121459961,38,"{258, 386, 525, 655, 657, 663, 409, 541, 164, 296, 554, 299, 300, 302, 177, 50, 689, 307, 314, 318, 588, 77, 83, 595, 601, 218, 603, 348, 96, 100, 619, 236, 369, 498, 371, 504, 254, 127}"
graph_size_800_k_0.125,800,7786,2738,0.0018737316131591797,35,"{773, 396, 141, 784, 149, 798, 417, 547, 166, 422, 428, 56, 317, 701, 588, 209, 84, 341, 342, 731, 361, 106, 233, 107, 237, 493, 365, 496, 369, 242, 113, 628, 500, 378, 127}"
graph_size_900_k_0.125,900,8915,3264,0.002233743667602539,41,"{131, 260, 390, 7, 139, 403, 538, 283, 669, 286, 544, 162, 676, 422, 172, 302, 48, 50, 310, 187, 63, 705, 451, 837, 459, 462, 340, 342, 91, 93, 613, 359, 746, 619, 494, 367, 881, 883, 247, 248, 123}"
graph_size_1000_k_0.125,1000,10040,2930,0.002325296401977539,37,"{138, 273, 657, 403, 792, 283, 543, 544, 545, 563, 56, 826, 187, 323, 201, 842, 585, 588, 591, 723, 979, 859, 990, 742, 361, 492, 237, 749, 494, 113, 498, 242, 500, 501, 373, 123, 127}"
graph_size_1100_k_0.125,1100,11194,3003,0.0026094913482666016,40,"{1026, 904, 137, 10, 529, 273, 919, 152, 536, 1050, 286, 292, 678, 296, 811, 172, 940, 304, 1073, 50, 55, 567, 322, 1092, 198, 711, 714, 459, 588, 335, 850, 852, 724, 864, 865, 612, 106, 1013, 378, 764}"
graph_size_1200_k_0.125,1200,12359,3271,0.0028486251831054688,42,"{1026, 1030, 263, 778, 1165, 273, 148, 406, 665, 538, 283, 667, 286, 670, 544, 546, 547, 932, 166, 172, 51, 694, 826, 448, 707, 839, 459, 845, 974, 853, 218, 221, 734, 478, 613, 1129, 1002, 369, 883, 628, 765, 511}"
graph_size_1300_k_0.125,1300,13530,3340,0.0033500194549560547,41,"{1030, 1161, 138, 1038, 273, 1170, 403, 1021, 789, 917, 533, 538, 283, 668, 286, 676, 164, 40, 172, 302, 177, 50, 821, 698, 58, 700, 957, 1213, 1215, 1088, 711, 842, 1104, 601, 863, 1126, 742, 112, 119, 378, 381}"
graph_size_1400_k_0.125,1400,14718,3307,0.003555774688720703,43,"{897, 1161, 10, 1036, 273, 24, 1308, 541, 670, 288, 163, 296, 810, 300, 815, 817, 1078, 1082, 59, 958, 191, 323, 835, 198, 201, 588, 335, 468, 220, 989, 1124, 1382, 1257, 746, 106, 1130, 1131, 1396, 1397, 119, 1273, 1020, 1277}"
graph_size_1500_k_0.125,1500,15919,3652,0.003656148910522461,46,"{904, 138, 656, 1425, 529, 915, 791, 409, 665, 547, 937, 563, 948, 440, 1465, 1337, 187, 185, 1213, 1467, 63, 1343, 441, 1474, 710, 967, 840, 459, 1355, 977, 721, 337, 1498, 1499, 734, 97, 1255, 1256, 753, 498, 1397, 503, 376, 1401, 1405, 1279}"
graph_size_1600_k_0.125,1600,17115,3393,0.004174709320068359,42,"{1284, 390, 1161, 138, 1036, 140, 1548, 923, 1185, 1061, 296, 169, 810, 555, 1066, 815, 948, 1460, 826, 571, 188, 957, 191, 578, 965, 1351, 201, 1355, 1364, 1122, 1251, 1124, 746, 759, 364, 1391, 113, 1011, 1013, 503, 1401, 381}"
graph_size_1700_k_0.125,1700,18330,3597,0.00408935546875,43,"{771, 1027, 1669, 789, 1435, 1567, 1057, 162, 422, 1448, 1453, 304, 1073, 691, 1337, 957, 1086, 191, 1600, 1476, 198, 967, 1097, 77, 848, 1370, 1499, 1626, 734, 608, 1251, 1508, 614, 1383, 106, 750, 1393, 1396, 1397, 1653, 500, 1404, 127}"
graph_size_1800_k_0.125,1800,19547,3309,0.0043218135833740234,41,"{1794, 903, 647, 1036, 268, 1553, 786, 279, 792, 1185, 1441, 293, 422, 939, 1198, 177, 1077, 1209, 957, 318, 1087, 1600, 189, 577, 707, 580, 325, 1352, 1744, 214, 218, 731, 93, 607, 1761, 1251, 1511, 106, 1522, 1396, 376}"
graph_size_1900_k_0.125,1900,20789,3708,0.0046460628509521484,47,"{1540, 1289, 778, 140, 782, 529, 917, 538, 1440, 297, 1707, 172, 302, 945, 1716, 1465, 1467, 318, 963, 67, 1477, 714, 459, 1868, 1100, 1110, 1114, 1754, 730, 1502, 1758, 1505, 1122, 1251, 742, 1511, 1383, 1385, 234, 1775, 1392, 369, 1265, 1779, 1139, 503, 1401}"
graph_size_2000_k_0.125,2000,22018,3561,0.004813194274902344,43,"{640, 1669, 1030, 778, 1930, 527, 273, 1426, 1687, 152, 1945, 923, 1308, 1950, 162, 34, 1830, 302, 177, 950, 1209, 701, 63, 834, 963, 709, 839, 1877, 1366, 735, 864, 353, 1251, 1636, 1637, 1385, 746, 361, 493, 749, 1392, 1398, 1401}"
graph_size_2100_k_0.125,2100,23262,3572,0.0051653385162353516,43,"{1536, 390, 519, 1801, 1294, 1553, 151, 152, 921, 922, 1946, 1692, 1308, 1694, 1567, 1312, 1185, 794, 1830, 296, 172, 556, 814, 707, 837, 967, 842, 971, 1868, 1107, 2004, 1877, 1367, 1370, 1502, 1892, 613, 361, 622, 242, 882, 1401, 1532}"
graph_size_2200_k_0.125,2200,24510,3423,0.005538225173950195,41,"{1540, 516, 903, 10, 1548, 152, 25, 1694, 1567, 544, 1951, 805, 422, 1830, 37, 2097, 1974, 1335, 701, 1472, 1352, 331, 588, 1613, 1495, 1370, 731, 860, 93, 1502, 225, 1889, 738, 2148, 1511, 1385, 1386, 1775, 629, 376, 1917}"
graph_size_2300_k_0.125,2300,25780,3987,0.006075859069824219,47,"{1669, 1417, 1802, 395, 140, 273, 1427, 1301, 792, 665, 667, 1692, 541, 1441, 1955, 296, 1448, 554, 428, 1584, 1331, 317, 1472, 194, 966, 711, 967, 1993, 842, 459, 77, 334, 1105, 1107, 2004, 1370, 1114, 2013, 1886, 1761, 1511, 1386, 1011, 1781, 1525, 2295, 890}"
graph_size_2400_k_0.125,2400,27042,3923,0.006212711334228516,46,"{2051, 265, 10, 138, 1656, 272, 917, 1687, 920, 1689, 283, 1694, 1569, 1060, 1446, 554, 1963, 2095, 687, 948, 1594, 2363, 1600, 704, 578, 1352, 201, 1097, 1098, 76, 1226, 1619, 1107, 601, 608, 1378, 2275, 106, 2283, 1135, 1522, 1653, 1397, 501, 1398, 2293}"
graph_size_2500_k_0.125,2500,28300,3428,0.006367683410644531,40,"{1669, 1809, 1938, 1425, 148, 152, 665, 410, 2335, 1440, 415, 676, 1830, 2218, 811, 1964, 1198, 2095, 177, 945, 56, 1209, 1211, 963, 1861, 458, 971, 2251, 2265, 220, 1761, 1766, 1000, 2153, 364, 1775, 1135, 498, 1011, 2290}"
graph_size_2600_k_0.125,2600,29592,4030,0.006656169891357422,48,"{512, 897, 1666, 2313, 1802, 396, 789, 1557, 21, 792, 538, 282, 541, 676, 1065, 811, 2095, 948, 1974, 310, 1976, 1721, 963, 323, 1861, 2374, 1097, 1228, 77, 2127, 1877, 1114, 1498, 858, 2270, 606, 2148, 2149, 106, 2542, 879, 1013, 1397, 119, 376, 2166, 378, 1150}"
graph_size_2700_k_0.125,2700,30869,3827,0.007646322250366211,46,"{1540, 1926, 2314, 1687, 792, 667, 1569, 1441, 2341, 2214, 554, 811, 171, 1457, 2610, 2612, 1077, 1209, 2622, 63, 2240, 1472, 963, 1347, 580, 1219, 459, 1870, 335, 81, 594, 1877, 2392, 731, 221, 2142, 1758, 1382, 2022, 615, 618, 1003, 1775, 113, 1397, 377}"
graph_size_2800_k_0.125,2800,32160,3873,0.007429361343383789,48,"{2055, 1416, 778, 2188, 2575, 1679, 1553, 1303, 792, 25, 538, 1308, 1823, 676, 2213, 548, 2216, 563, 2612, 1718, 1078, 2361, 1210, 2622, 63, 2496, 1347, 1352, 1865, 1610, 2124, 2514, 2517, 2265, 1758, 736, 1251, 613, 871, 1385, 1388, 1518, 633, 501, 1017, 2044, 1150, 2175}"
graph_size_2900_k_0.125,2900,33452,3886,0.010077953338623047,48,"{2563, 2691, 902, 1161, 1938, 663, 792, 667, 1567, 1312, 1823, 290, 676, 164, 422, 2343, 554, 811, 684, 45, 302, 1199, 2478, 1200, 51, 2617, 2364, 1215, 837, 582, 459, 2130, 2644, 2133, 2265, 2012, 1245, 1508, 2152, 106, 877, 2414, 1522, 1396, 1397, 2806, 124, 2557}"
graph_size_3000_k_0.125,3000,34751,3988,0.0076291561126708984,49,"{2945, 1540, 2692, 1416, 273, 1553, 2836, 2837, 1438, 1567, 1183, 2335, 2468, 1317, 1830, 806, 2729, 1964, 684, 2095, 948, 1332, 438, 2231, 1081, 1856, 578, 326, 199, 2248, 1097, 201, 840, 461, 848, 977, 1370, 731, 2529, 1892, 1511, 2794, 2156, 1005, 364, 496, 369, 1779, 1397}"
graph_size_3100_k_0.125,3100,36050,3836,0.007842540740966797,48,"{1540, 6, 1035, 2957, 2446, 272, 273, 1938, 1939, 2848, 2080, 162, 676, 2724, 1830, 1073, 1715, 563, 2622, 1474, 1861, 1863, 459, 339, 1364, 3029, 1110, 1366, 2649, 2780, 1245, 3037, 1372, 352, 1508, 2661, 1383, 749, 367, 2545, 626, 1907, 3059, 2805, 2039, 2169, 1150, 1279}"
graph_size_3200_k_0.125,3200,37359,4090,0.008175849914550781,49,"{1155, 1540, 2435, 1161, 3082, 1933, 2446, 2320, 1939, 789, 1685, 2967, 665, 1817, 667, 1308, 411, 1437, 2970, 2081, 2849, 422, 296, 428, 2095, 1586, 563, 53, 1974, 2236, 572, 1860, 325, 2248, 1352, 1738, 1618, 982, 216, 2783, 224, 2919, 2283, 619, 1522, 498, 1397, 1653, 1660}"
graph_size_3300_k_0.125,3300,38664,3969,0.008281707763671875,46,"{1669, 273, 3218, 538, 923, 3101, 541, 2333, 2729, 1451, 940, 3249, 177, 1204, 955, 2236, 1086, 702, 1856, 1604, 2503, 3274, 459, 588, 76, 3025, 1619, 3288, 1753, 2650, 220, 1760, 355, 613, 1511, 1386, 2923, 493, 1773, 2801, 883, 371, 1401, 1019, 2556, 1277}"
graph_size_3400_k_0.125,3400,39979,3940,0.008803367614746094,46,"{3204, 2314, 784, 3090, 1938, 1176, 665, 2074, 667, 794, 541, 1694, 929, 2978, 2980, 3365, 3366, 549, 1452, 820, 1716, 2231, 56, 1465, 2359, 3134, 1472, 704, 1602, 2119, 201, 1353, 974, 1231, 1881, 1758, 1504, 1251, 1508, 2794, 106, 2156, 3052, 369, 3068, 2686}"
