Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
100,673,308,0.013002395629882812,"{10, 44, 77, 39}"
200,1539,366,0.005060911178588867,"{41, 50, 150, 56, 152}"
300,2479,463,0.014000654220581055,"{242, 50, 22, 119, 152}"
400,3468,374,0.020547151565551758,"{160, 323, 200, 237, 191}"
500,4493,469,0.03402876853942871,"{422, 135, 296, 23, 127}"
600,5550,402,0.029892921447753906,"{386, 10, 304, 369, 119, 474}"
700,6628,466,0.026584625244140625,"{323, 652, 315, 119, 283, 191}"
800,7726,439,0.030453205108642578,"{586, 554, 152, 731, 93}"
900,8843,443,0.0869901180267334,"{676, 166, 746, 811, 637}"
1000,9976,422,0.06524062156677246,"{544, 963, 119, 701, 191}"
1100,11126,558,0.2394258975982666,"{711, 487, 201, 811, 588, 948}"
1200,12287,555,0.1891951560974121,"{963, 554, 239, 119, 376, 220}"
1300,13460,550,0.08115959167480469,"{10, 208, 273, 119, 376, 827}"
1400,14644,540,0.43833351135253906,"{1382, 583, 1161, 201, 1364, 1370}"
1500,15837,483,0.27460193634033203,"{395, 665, 1401, 731, 127}"
1600,17043,472,0.30330920219421387,"{837, 296, 504, 1484, 152, 731}"
1700,18256,517,0.3235502243041992,"{1600, 1508, 967, 811, 397, 986}"
1800,19479,578,0.6821162700653076,"{963, 1385, 555, 624, 1619, 537, 1245}"
1900,20709,611,1.2594692707061768,"{1665, 642, 963, 1251, 1385, 458, 56}"
2000,21944,520,1.8492469787597656,"{613, 422, 1550, 273, 1460, 1877}"
2100,23188,543,0.4096183776855469,"{1, 50, 152, 731, 2013, 191}"
2200,24444,566,0.6599531173706055,"{1634, 139, 798, 498, 1397, 1109, 1308, 1694}"
2300,25700,581,0.5750694274902344,"{1638, 554, 273, 1950, 1243, 2142, 1567}"
2400,26964,589,0.7132539749145508,"{1641, 10, 2320, 1264, 1877, 920, 2169}"
2500,28234,602,0.8239638805389404,"{963, 967, 10, 851, 1396, 948, 2428}"
2600,29506,476,0.9237351417541504,"{138, 428, 2156, 2028, 119}"
2700,30787,471,0.7236595153808594,"{1287, 811, 302, 2169, 1694}"
2800,32076,516,0.9145710468292236,"{1600, 1830, 140, 686, 563, 2612}"
2900,33370,625,0.5211226940155029,"{2756, 1097, 2283, 398, 214, 152, 1401}"
3000,34663,469,0.7334539890289307,"{711, 119, 1626, 1245, 1567}"
3100,35966,549,0.6988582611083984,"{2661, 811, 2283, 3055, 152, 1629}"
3200,37273,591,0.5258634090423584,"{967, 1352, 1161, 2283, 879, 1974}"
3300,38586,626,0.6027460098266602,"{1600, 1892, 3175, 2575, 242, 56, 283}"
3400,39899,590,0.6080002784729004,"{1830, 746, 493, 3374, 1135, 1938}"
3500,41218,560,0.9511241912841797,"{3233, 1938, 341, 731, 541, 1567}"
