Algorithm,Average Deviation,Maximum Deviation,Accuracy,k
Biggest Weight First,24.28205128205128,148,0.5897435897435898,0.125
Smallest Degree First,88.0,222,0.05128205128205128,0.125
Weight to Degree,17.76923076923077,142,0.48717948717948717,0.125
Biggest Weight First,40.236363636363635,241,0.4727272727272727,0.25
Smallest Degree First,130.12727272727273,367,0.10909090909090909,0.25
Weight to Degree,26.581818181818182,200,0.43636363636363634,0.25
Biggest Weight First,66.09322033898304,213,0.211864406779661,0.5
Smallest Degree First,162.51694915254237,457,0.059322033898305086,0.5
Weight to Degree,46.720338983050844,197,0.23728813559322035,0.5
Biggest Weight First,75.50840336134453,228,0.1134453781512605,0.75
Smallest Degree First,176.3109243697479,431,0.029411764705882353,0.75
Weight to Degree,58.88235294117647,207,0.17647058823529413,0.75
