Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
1,2,15,0.0,{0}
2,4,52,0.0,{1}
3,9,86,0.0,"{1, 2}"
4,12,125,0.0,"{1, 3}"
5,20,179,0.0,"{1, 2, 3, 4}"
6,22,159,0.0,"{1, 2, 3}"
7,26,187,0.0,"{1, 3, 6}"
8,30,171,0.0,"{3, 4, 7}"
9,39,262,0.0,"{0, 3, 6, 7, 8}"
10,42,189,0.0,"{8, 0, 6, 7}"
11,49,298,0.0,"{1, 2, 7, 8, 10}"
12,52,255,0.0,"{0, 10, 6, 7}"
13,59,286,0.0,"{0, 3, 8, 10, 11}"
14,64,370,0.0,"{3, 7, 8, 10, 13}"
15,69,306,0.0,"{0, 3, 7, 10, 12}"
16,76,422,0.0,"{6, 7, 8, 9, 10, 13}"
17,82,384,0.0,"{6, 7, 10, 13, 15, 16}"
18,92,423,0.0,"{5, 9, 10, 11, 13, 14, 15, 16}"
19,93,335,0.0,"{1, 5, 6, 7, 10, 18}"
20,99,363,0.0,"{5, 7, 9, 10, 13, 16}"
21,109,435,0.0,"{4, 7, 8, 9, 10, 13, 19, 20}"
22,115,445,0.0,"{4, 5, 6, 7, 9, 10, 13, 17}"
23,119,389,0.0,"{4, 6, 7, 10, 11, 15, 19}"
24,127,487,0.0,"{3, 10, 11, 13, 15, 16, 18, 23}"
25,133,461,0.0,"{3, 6, 10, 12, 13, 17, 21, 22}"
26,137,403,0.0,"{3, 7, 10, 11, 14, 15, 17}"
27,147,548,0.0,"{6, 7, 10, 11, 14, 18, 20, 22, 23}"
28,151,486,0.0,"{0, 6, 7, 10, 12, 16, 23, 25}"
29,155,476,0.0,"{3, 6, 10, 13, 15, 18, 25}"
30,164,522,0.0,"{5, 7, 10, 13, 15, 17, 23, 25}"
31,170,532,0.0,"{5, 7, 9, 10, 13, 18, 25, 29}"
32,174,481,0.0010001659393310547,"{7, 10, 13, 14, 22, 25, 28}"
33,187,578,0.0,"{2, 3, 4, 7, 10, 15, 25, 28, 29, 30}"
34,193,557,0.0,"{32, 4, 7, 8, 10, 13, 14, 20, 23, 26}"
35,196,489,0.0,"{33, 10, 13, 16, 22, 23, 24, 25}"
36,203,547,0.0,"{35, 7, 9, 10, 23, 24, 25, 29}"
37,209,402,0.0,"{33, 35, 10, 21, 23, 25, 27, 28}"
38,218,614,0.001003265380859375,"{2, 3, 10, 11, 13, 23, 25, 26, 29}"
39,223,590,0.0,"{32, 3, 38, 7, 10, 13, 22, 29}"
40,233,654,0.0,"{32, 3, 35, 7, 9, 10, 22, 23, 26, 31}"
41,236,549,0.0,"{36, 9, 10, 12, 13, 22, 23, 25}"
42,249,742,0.0,"{33, 34, 37, 7, 40, 9, 10, 11, 39, 13, 25}"
43,250,480,0.0009996891021728516,"{7, 39, 8, 10, 42, 18, 23, 25}"
44,261,530,0.0,"{35, 3, 37, 38, 10, 13, 14, 16, 23, 28}"
45,266,650,0.0,"{32, 3, 39, 10, 11, 13, 23, 25, 28}"
46,277,687,0.0,"{32, 34, 37, 7, 8, 9, 10, 21, 23, 29, 30}"
47,278,539,0.0,"{3, 8, 41, 10, 11, 13, 22, 25}"
48,291,678,0.0,"{3, 37, 7, 9, 10, 18, 23, 25, 26, 29, 31}"
49,294,595,0.0,"{32, 4, 6, 7, 10, 44, 13, 17, 25}"
50,303,642,0.0,"{32, 34, 37, 6, 7, 10, 15, 48, 19, 22}"
51,306,589,0.0,"{1, 10, 48, 50, 22, 25, 29, 31}"
52,317,640,0.0,"{35, 37, 10, 11, 44, 50, 51, 20, 21, 23}"
53,324,647,0.0,"{2, 39, 10, 11, 13, 15, 48, 50, 25, 28}"
54,331,671,0.0,"{40, 10, 13, 48, 50, 18, 52, 53, 22, 20}"
55,338,589,0.0,"{33, 3, 10, 43, 44, 12, 50, 18, 53, 30}"
56,346,629,0.0,"{34, 36, 10, 50, 51, 55, 21, 23, 25, 27}"
57,353,708,0.0,"{1, 34, 35, 9, 10, 44, 50, 18, 56, 25}"
58,358,598,0.0,"{10, 43, 13, 48, 16, 50, 49, 56, 25}"
59,368,601,0.0,"{6, 10, 47, 16, 50, 53, 25, 27, 29, 31}"
60,379,822,0.0,"{1, 33, 7, 10, 13, 50, 19, 21, 23, 56, 25, 29}"
61,386,756,0.0,"{9, 10, 45, 50, 18, 20, 53, 56, 25, 26, 59, 30}"
62,392,740,0.0,"{1, 40, 10, 47, 24, 22, 23, 56, 25, 59, 30}"
63,403,928,0.0,"{37, 6, 40, 41, 10, 13, 14, 53, 22, 56, 25, 58, 59}"
64,402,709,0.0,"{7, 40, 39, 10, 11, 13, 22, 56, 63}"
65,414,832,0.0,"{1, 6, 7, 10, 13, 47, 53, 55, 23, 56, 63}"
66,419,646,0.0,"{1, 27, 9, 10, 47, 16, 50, 56, 25, 59}"
67,431,782,0.0,"{66, 35, 10, 31, 47, 51, 53, 22, 23, 60, 29, 63}"
68,434,790,0.0,"{34, 7, 40, 10, 13, 50, 54, 56, 25, 63}"
69,448,831,0.0,"{32, 65, 6, 38, 10, 42, 46, 15, 53, 56, 25, 30, 63}"
70,450,646,0.0,"{1, 35, 4, 10, 50, 53, 55, 23, 54, 63}"
71,463,967,0.0,"{4, 10, 13, 48, 50, 53, 23, 56, 25, 59, 31, 24, 63}"
72,471,937,0.0,"{1, 4, 37, 7, 71, 10, 44, 50, 51, 56, 59, 60, 63}"
73,474,766,0.0,"{32, 1, 9, 10, 11, 43, 15, 50, 23, 25, 60}"
74,484,834,0.0,"{65, 1, 33, 71, 9, 10, 13, 50, 51, 24, 59, 63}"
75,492,811,0.0,"{32, 66, 10, 16, 20, 22, 23, 56, 25, 58, 59, 60}"
76,499,820,0.0,"{66, 37, 38, 10, 43, 44, 50, 51, 53, 23, 56, 58}"
77,509,935,0.0,"{1, 73, 10, 76, 44, 12, 14, 50, 51, 53, 56, 25, 59}"
78,509,613,0.0,"{2, 3, 4, 10, 21, 23, 56, 25, 63}"
79,520,803,0.0,"{5, 10, 11, 42, 13, 15, 50, 51, 56, 58, 63}"
80,528,728,0.0,"{1, 10, 45, 79, 48, 50, 53, 56, 58, 27, 63}"
81,536,755,0.0,"{33, 6, 40, 10, 43, 80, 23, 56, 59, 29, 31}"
82,542,729,0.0,"{7, 10, 76, 77, 16, 22, 56, 59, 62, 31}"
83,554,817,0.0,"{1, 6, 10, 12, 77, 13, 45, 50, 19, 56, 59, 60}"
84,557,781,0.0,"{68, 10, 76, 77, 50, 19, 56, 25, 59, 63}"
85,565,750,0.0,"{32, 65, 40, 10, 11, 44, 77, 42, 50, 25}"
86,577,898,0.0,"{32, 71, 9, 10, 77, 14, 19, 53, 56, 25, 58, 63}"
87,583,711,0.0,"{34, 38, 9, 10, 12, 77, 45, 82, 23, 56, 29}"
88,593,753,0.0,"{1, 10, 44, 45, 47, 48, 82, 22, 87, 56, 25, 63}"
89,603,817,0.0,"{34, 4, 10, 77, 46, 15, 50, 52, 53, 22, 56, 28, 62}"
90,609,859,0.0,"{32, 2, 10, 42, 77, 84, 20, 23, 56, 25, 30, 63}"
91,615,819,0.0,"{32, 34, 39, 10, 76, 77, 47, 50, 18, 59, 63}"
92,627,934,0.0,"{34, 40, 8, 10, 11, 91, 77, 80, 83, 53, 56, 26, 59}"
93,637,901,0.0,"{65, 3, 4, 26, 67, 10, 77, 50, 83, 86, 22, 56, 58, 27}"
94,641,818,0.0,"{33, 35, 37, 8, 9, 10, 77, 83, 55, 56, 90, 63}"
95,645,783,0.0,"{32, 10, 76, 77, 83, 56, 57, 27, 93, 63}"
96,657,781,0.0,"{32, 65, 68, 7, 71, 10, 82, 61, 53, 56, 58, 93}"
97,665,800,0.0,"{96, 33, 4, 7, 9, 10, 41, 14, 56, 25, 59, 93}"
98,671,833,0.0,"{97, 36, 10, 77, 80, 50, 83, 82, 86, 58, 63}"
99,679,853,0.0,"{34, 3, 98, 7, 9, 10, 77, 50, 20, 53, 56}"
100,689,987,0.0,"{70, 39, 10, 44, 77, 13, 80, 50, 83, 51, 53, 56}"
101,697,709,0.0,"{96, 34, 67, 69, 41, 10, 75, 13, 49, 50, 23, 56}"
102,705,969,0.0009989738464355469,"{97, 98, 40, 10, 77, 48, 50, 55, 25, 59, 29, 63}"
103,717,1009,0.0,"{96, 34, 5, 102, 9, 10, 44, 50, 53, 23, 25, 58, 27, 93}"
