Edge Probability (p),Node Count,Number of Operations,Solution,Execution Time (seconds)
0.25,1,2,"(0,)",0.0
0.25,2,9,"(1,)",0.0
0.25,3,33,"(1, 2)",0.0
0.25,4,101,"(1, 3)",0.0
0.25,5,292,"(1, 2, 3, 4)",0.0
0.25,6,755,"(1, 2, 3)",0.0
0.25,7,1954,"(1, 3, 6)",0.0009999275207519531
0.25,8,4929,"(3, 4, 7)",0.0
0.25,9,12151,"(0, 3, 6, 7, 8)",0.0010042190551757812
0.25,10,29306,"(1, 2, 3, 4, 9)",0.002000093460083008
0.25,11,69792,"(1, 2, 7, 8, 10)",0.0039958953857421875
0.25,12,164055,"(0, 6, 7, 10)",0.0070040225982666016
0.25,13,381258,"(0, 3, 8, 10, 11)",0.01399993896484375
0.25,14,877323,"(7, 8, 9, 10, 11, 13)",0.029000282287597656
0.25,15,1999724,"(0, 6, 7, 8, 10, 11)",0.05500006675720215
0.25,16,4523146,"(6, 7, 8, 9, 10, 13)",0.11897134780883789
0.25,17,10160876,"(6, 10, 11, 13, 14, 15, 16)",0.24700284004211426
0.25,18,22680318,"(5, 9, 10, 11, 13, 14, 15, 16)",0.48618292808532715
0.25,19,50335925,"(1, 5, 6, 7, 9, 13, 18)",0.9798407554626465
0.25,20,111155106,"(5, 7, 9, 10, 11, 14, 19)",1.8538818359375
0.25,21,244328029,"(4, 7, 8, 9, 10, 13, 19, 20)",3.7990660667419434
0.25,22,534786986,"(4, 5, 6, 7, 9, 10, 13, 17)",8.300491333007812
0.25,23,1166029433,"(4, 6, 7, 8, 9, 11, 13, 15, 21)",16.15112829208374
0.25,24,2533381457,"(3, 10, 11, 13, 15, 16, 18, 23)",32.3534619808197
0.25,25,5486174552,"(3, 6, 10, 12, 13, 17, 21, 22)",65.91452240943909
