Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
100,679,369,0.0050008296966552734,"{3, 37, 7, 85, 58, 60, 30}"
200,1545,501,0.002998828887939453,"{97, 3, 139, 108, 79, 178, 55, 58}"
300,2487,356,0.013000726699829102,"{34, 166, 40, 41, 74, 46, 21, 156, 30}"
400,3476,346,0.013000249862670898,"{38, 262, 296, 105, 41, 203, 335, 82, 24}"
500,4501,556,0.02499866485595703,"{416, 224, 40, 329, 12, 400, 278, 23, 440}"
600,5558,536,0.0279998779296875,"{352, 599, 233, 10, 209, 19, 407, 314, 316, 157}"
700,6634,499,0.04500079154968262,"{33, 487, 233, 473, 177, 21, 408, 601, 316}"
800,7734,527,0.04327535629272461,"{768, 743, 201, 682, 684, 176, 212, 601, 474}"
900,8853,555,0.1257774829864502,"{869, 620, 492, 433, 434, 659, 115, 23, 247, 861}"
1000,9986,490,0.06999921798706055,"{68, 519, 776, 140, 211, 468, 694, 440, 635, 316}"
1100,11134,558,0.07899999618530273,"{1090, 715, 108, 219, 143, 783, 307, 471, 474, 91}"
1200,12295,455,0.07800078392028809,"{1093, 364, 209, 913, 627, 443, 699, 988, 510, 479}"
1300,13466,394,0.10800004005432129,"{901, 326, 366, 212, 725, 1022, 538, 157, 190}"
1400,14654,353,0.21471381187438965,"{609, 354, 455, 330, 587, 139, 16, 1139, 405, 725, 1116}"
1500,15849,682,0.17300057411193848,"{608, 226, 164, 840, 172, 951, 468, 566, 503, 346, 1086}"
1600,17053,437,0.2541031837463379,"{609, 827, 35, 251, 1148, 1109, 280, 25, 1339, 924, 830}"
1700,18266,473,0.2129976749420166,"{480, 1635, 101, 904, 1051, 170, 621, 692, 922, 347, 1309}"
1800,19485,629,0.24699974060058594,"{707, 1772, 141, 1744, 689, 1459, 1460, 533, 599, 1753}"
1900,20719,467,0.23600029945373535,"{420, 997, 712, 842, 1007, 1840, 241, 1267, 1302, 407, 1752, 1369}"
2000,21956,600,0.9039990901947021,"{1543, 1528, 1479, 876, 302, 1880, 1172, 118, 1751, 216, 315, 575}"
2100,23198,432,6.258204460144043,"{1537, 217, 1700, 1765, 1577, 877, 1405, 1495, 184, 1625, 1725}"
2200,24452,610,0.5063531398773193,"{332, 1677, 302, 1358, 238, 435, 1300, 471, 1369, 2170, 349, 895}"
2300,25708,557,0.4931638240814209,"{64, 835, 808, 1482, 108, 1516, 172, 1171, 1110, 1403, 412}"
2400,26972,574,0.5514030456542969,"{800, 1377, 1883, 747, 2252, 1720, 793, 216, 2137, 1881, 2136}"
2500,28246,652,0.8853476047515869,"{192, 1057, 1063, 1611, 1259, 1197, 493, 653, 625, 2193, 1588, 598, 155}"
2600,29520,418,0.21415257453918457,"{2473, 491, 172, 1935, 1137, 2427, 1880, 1142, 2199, 984, 2490, 763}"
2700,30805,840,0.37799811363220215,"{1988, 936, 744, 2506, 842, 845, 815, 2128, 1971, 725, 2325, 1340, 445, 542}"
2800,32086,701,0.3710920810699463,"{353, 386, 471, 1478, 554, 2255, 1298, 2356, 150, 791, 2134}"
2900,33378,569,0.34522390365600586,"{2435, 2787, 2277, 2182, 1864, 176, 2609, 1713, 2715, 605, 447}"
3000,34679,725,0.2689852714538574,"{2530, 2373, 230, 2696, 170, 1035, 1422, 2255, 2642, 87, 1783, 1464, 894}"
3100,35976,598,0.24702167510986328,"{2977, 1698, 1124, 1284, 1574, 2278, 683, 951, 690, 2583, 1465}"
3200,37285,567,0.37599706649780273,"{1408, 1793, 1794, 2499, 357, 582, 1705, 1643, 331, 2933, 2297, 798}"
3300,38594,775,0.3020017147064209,"{2208, 1161, 3178, 1386, 426, 1678, 563, 2650, 1400, 1338, 2782}"
3400,39909,715,0.4654088020324707,"{1889, 3235, 1541, 263, 1960, 2669, 2255, 665, 889, 765, 2943}"
3500,41228,563,0.005013227462768555,"{2915, 828, 1771, 3083, 2638, 3023, 1358, 472, 2172, 3453, 2815}"
