Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
1,2,15,0.0,{0}
2,4,52,0.0,{1}
3,9,86,0.0,"{1, 2}"
4,12,125,0.0,"{1, 3}"
5,18,159,0.0,"{1, 2, 3}"
6,20,125,0.0,"{1, 3}"
7,26,187,0.0,"{1, 3, 6}"
8,28,125,0.0,"{1, 3}"
9,35,169,0.0,"{2, 3, 6}"
10,40,127,0.0,"{8, 0, 7}"
11,47,264,0.0,"{8, 1, 10, 7}"
12,50,225,0.0,"{9, 10, 6}"
13,55,207,0.0,"{8, 10, 3}"
14,62,290,0.0,"{9, 11, 13, 7}"
15,67,288,0.0,"{9, 13, 6, 7}"
16,72,325,0.0,"{10, 13, 6, 7}"
17,78,320,0.0,"{10, 3, 13, 6}"
18,86,288,0.0,"{3, 5, 9, 10, 14}"
19,89,230,0.0,"{10, 5, 14, 7}"
20,97,312,0.0,"{3, 4, 8, 10, 13}"
21,101,314,0.0,"{9, 10, 3, 7}"
22,111,292,0.0,"{3, 4, 6, 7, 15, 17}"
23,113,218,0.0010006427764892578,"{19, 3, 12, 13}"
24,121,360,0.0,"{3, 7, 10, 11, 15}"
25,127,349,0.0,"{3, 6, 10, 12, 22}"
26,135,366,0.0,"{3, 9, 15, 19, 22, 25}"
27,139,377,0.0010001659393310547,"{1, 9, 13, 23, 25}"
28,143,267,0.0,"{8, 13, 6, 23}"
29,149,323,0.0,"{7, 13, 22, 23}"
30,160,370,0.0,"{2, 10, 13, 15, 19, 23}"
31,164,364,0.0,"{7, 10, 13, 25, 27}"
32,172,397,0.0,"{7, 10, 13, 14, 16, 25}"
33,177,299,0.0009999275207519531,"{10, 11, 12, 23, 24}"
34,183,353,0.0,"{32, 9, 10, 20, 22}"
35,192,415,0.0,"{33, 6, 9, 10, 22, 23}"
36,197,348,0.0,"{9, 10, 13, 24, 25}"
37,201,291,0.0,"{25, 10, 17, 23}"
38,212,353,0.0,"{2, 8, 10, 11, 20, 23}"
39,221,451,0.0,"{32, 3, 37, 11, 22, 25, 28}"
40,225,400,0.0,"{3, 38, 7, 15, 23, 25}"
41,232,457,0.0,"{32, 3, 7, 8, 10, 25}"
42,237,406,0.0,"{34, 6, 7, 10, 25}"
43,246,371,0.0010004043579101562,"{1, 7, 11, 13, 18, 29}"
44,253,394,0.0,"{3, 37, 7, 10, 21, 23}"
45,258,404,0.0,"{7, 9, 10, 25, 29}"
46,269,400,0.0,"{4, 6, 11, 44, 21, 23, 25}"
47,274,372,0.0,"{32, 1, 35, 40, 43, 23}"
48,281,406,0.0,"{34, 7, 40, 46, 23, 25}"
49,290,342,0.0010001659393310547,"{7, 10, 11, 44, 16, 21, 26}"
50,297,441,0.0,"{32, 34, 6, 7, 15, 17, 23}"
51,302,424,0.0,"{32, 34, 35, 7, 10, 31}"
52,307,367,0.0,"{44, 13, 51, 23, 30}"
53,318,474,0.0,"{5, 10, 13, 15, 48, 23, 29}"
54,323,442,0.0,"{6, 40, 44, 13, 22, 25}"
55,328,339,0.0,"{6, 13, 51, 25, 27}"
56,338,345,0.0,"{33, 38, 42, 13, 51, 53}"
57,347,464,0.0,"{10, 44, 13, 46, 16, 56, 25}"
58,350,357,0.0,"{34, 15, 50, 56, 31}"
59,360,392,0.0,"{3, 5, 8, 13, 51, 23}"
60,369,507,0.0,"{33, 13, 50, 19, 23, 56, 25}"
61,374,463,0.0,"{9, 50, 56, 25, 59, 57}"
62,382,544,0.0,"{10, 22, 23, 56, 25, 59}"
63,387,398,0.0,"{35, 10, 13, 51, 22}"
64,396,429,0.0010001659393310547,"{1, 10, 43, 48, 58, 63}"
65,404,466,0.0,"{10, 13, 15, 53, 55, 25}"
66,413,521,0.0,"{32, 10, 11, 13, 50, 28, 29}"
67,419,429,0.0,"{41, 10, 53, 23, 63, 31}"
68,426,466,0.0,"{32, 34, 38, 10, 53, 63}"
69,432,406,0.0,"{10, 11, 52, 56, 63}"
70,442,517,0.0,"{10, 11, 51, 53, 58, 63}"
71,447,438,0.0,"{34, 50, 58, 59, 63}"
72,457,436,0.0009999275207519531,"{2, 4, 10, 23, 56, 63}"
73,464,444,0.0,"{9, 10, 11, 13, 25, 30}"
74,472,492,0.0,"{65, 71, 10, 13, 51, 63}"
75,478,441,0.0009999275207519531,"{13, 51, 22, 56, 25}"
76,487,471,0.0,"{3, 10, 43, 13, 50, 58}"
77,495,489,0.0,"{1, 10, 76, 44, 50, 51}"
78,505,543,0.001001119613647461,"{65, 3, 35, 10, 51, 59, 29}"
79,512,476,0.0,"{10, 76, 44, 78, 50, 20, 59}"
80,520,383,0.0,"{10, 75, 15, 47, 49, 23, 56}"
81,526,389,0.0,"{8, 10, 11, 16, 51, 23}"
82,534,473,0.0,"{7, 39, 9, 10, 50, 51}"
83,542,481,0.0,"{10, 77, 80, 60, 29, 63}"
84,551,511,0.0,"{34, 12, 77, 50, 56, 59, 61}"
85,561,538,0.0,"{7, 10, 76, 45, 48, 18, 29, 63}"
86,565,467,0.0,"{32, 3, 10, 83, 19, 56}"
87,577,484,0.0,"{3, 10, 11, 77, 78, 80, 55, 28}"
88,583,458,0.0,"{3, 35, 39, 73, 77, 25, 63}"
89,591,487,0.0,"{10, 79, 81, 50, 19, 56, 59}"
90,599,439,0.0,"{3, 7, 10, 16, 20, 62, 63}"
91,607,524,0.0,"{7, 10, 16, 81, 50, 51, 25}"
92,615,530,0.0009996891021728516,"{3, 40, 9, 10, 53, 56, 30}"
93,621,510,0.0,"{34, 10, 77, 50, 56, 31}"
94,629,442,0.0009999275207519531,"{10, 77, 46, 50, 83, 52}"
95,637,535,0.0,"{7, 10, 22, 23, 56, 93}"
96,647,555,0.0,"{10, 77, 13, 50, 84, 86, 28}"
97,653,539,0.0009996891021728516,"{96, 7, 10, 51, 59, 63}"
98,661,525,0.0,"{10, 11, 83, 51, 86, 63}"
99,671,568,0.0,"{65, 7, 10, 50, 53, 56, 31}"
100,677,498,0.0,"{97, 70, 10, 77, 55, 25}"
101,689,543,0.0,"{65, 76, 15, 80, 22, 56, 61, 63}"
102,695,492,0.0,"{27, 9, 77, 87, 59, 93, 63}"
103,701,477,0.0,"{99, 70, 9, 10, 50, 25}"
104,711,504,0.0,"{9, 15, 18, 53, 56, 59, 63}"
105,719,539,0.0,"{32, 100, 7, 77, 50, 61, 63}"
106,728,487,0.0,"{2, 72, 76, 77, 22, 25, 63}"
107,736,505,0.0009999275207519531,"{106, 42, 50, 55, 25, 93, 62}"
108,742,518,0.0,"{65, 100, 7, 106, 56, 93}"
109,754,538,0.0,"{100, 4, 45, 50, 51, 53, 56, 31}"
110,758,511,0.0,"{106, 51, 23, 56, 93, 30}"
111,769,520,0.0,"{3, 100, 6, 72, 10, 56, 93}"
112,779,531,0.0,"{97, 105, 106, 51, 22, 56, 90, 61}"
113,781,385,0.0,"{97, 72, 10, 59, 93}"
114,793,508,0.0,"{103, 106, 43, 108, 77, 83, 25}"
115,802,584,0.0,"{106, 108, 77, 45, 83, 25, 93}"
116,808,491,0.0,"{13, 77, 50, 51, 56, 92}"
117,818,421,0.0,"{97, 100, 7, 83, 19, 116, 55}"
118,831,618,0.0,"{96, 35, 4, 36, 77, 112, 83, 25, 93}"
119,837,625,0.0,"{35, 77, 47, 50, 83, 25, 58, 59}"
120,841,431,0.0,"{98, 77, 51, 83, 25, 26}"
121,852,385,0.0,"{97, 66, 77, 78, 79, 83, 84}"
122,858,499,0.0,"{2, 50, 51, 23, 56, 59}"
123,866,421,0.0,"{96, 69, 72, 10, 106, 50}"
124,877,536,0.0009999275207519531,"{72, 80, 50, 83, 119, 23, 123}"
125,885,551,0.0,"{1, 2, 76, 51, 119, 25, 63}"
126,892,479,0.0009996891021728516,"{2, 104, 106, 50, 25, 63}"
127,902,633,0.0,"{9, 10, 106, 50, 23, 56, 59}"
128,908,521,0.0,"{6, 106, 22, 119, 59, 63}"
129,921,617,0.0010001659393310547,"{96, 7, 8, 10, 13, 77, 119, 126}"
130,927,611,0.0,"{7, 106, 108, 77, 76, 59, 29}"
131,936,487,0.0,"{1, 100, 44, 77, 78, 113, 63}"
132,944,562,0.0,"{113, 83, 23, 117, 19, 119, 63}"
133,955,561,0.0,"{129, 11, 48, 50, 117, 56, 121, 59}"
134,957,398,0.0,"{76, 113, 19, 56, 127}"
